Year,Month,State,Suicides
1999,1,Alabama,43
1999,2,Alabama,48
1999,3,Alabama,33
1999,4,Alabama,52
1999,5,Alabama,55
1999,6,Alabama,46
1999,7,Alabama,34
1999,8,Alabama,57
1999,9,Alabama,48
1999,10,Alabama,49
1999,11,Alabama,41
1999,12,Alabama,48
2000,1,Alabama,57
2000,2,Alabama,53
2000,3,Alabama,48
2000,4,Alabama,49
2000,5,Alabama,49
2000,6,Alabama,58
2000,7,Alabama,41
2000,8,Alabama,50
2000,9,Alabama,50
2000,10,Alabama,48
2000,11,Alabama,37
2000,12,Alabama,42
2001,1,Alabama,42
2001,2,Alabama,41
2001,3,Alabama,44
2001,4,Alabama,27
2001,5,Alabama,41
2001,6,Alabama,38
2001,7,Alabama,45
2001,8,Alabama,51
2001,9,Alabama,45
2001,10,Alabama,50
2001,11,Alabama,48
2001,12,Alabama,40
2002,1,Alabama,40
2002,2,Alabama,48
2002,3,Alabama,40
2002,4,Alabama,43
2002,5,Alabama,45
2002,6,Alabama,46
2002,7,Alabama,47
2002,8,Alabama,42
2002,9,Alabama,50
2002,10,Alabama,34
2002,11,Alabama,35
2002,12,Alabama,43
2003,1,Alabama,52
2003,2,Alabama,24
2003,3,Alabama,42
2003,4,Alabama,40
2003,5,Alabama,41
2003,6,Alabama,45
2003,7,Alabama,48
2003,8,Alabama,46
2003,9,Alabama,34
2003,10,Alabama,48
2003,11,Alabama,47
2003,12,Alabama,53
2004,1,Alabama,49
2004,2,Alabama,53
2004,3,Alabama,35
2004,4,Alabama,34
2004,5,Alabama,42
2004,6,Alabama,53
2004,7,Alabama,44
2004,8,Alabama,51
2004,9,Alabama,41
2004,10,Alabama,35
2004,11,Alabama,51
2004,12,Alabama,53
2005,1,Alabama,53
2005,2,Alabama,32
2005,3,Alabama,48
2005,4,Alabama,44
2005,5,Alabama,46
2005,6,Alabama,34
2005,7,Alabama,44
2005,8,Alabama,47
2005,9,Alabama,42
2005,10,Alabama,58
2005,11,Alabama,52
2005,12,Alabama,35
2006,1,Alabama,32
2006,2,Alabama,52
2006,3,Alabama,52
2006,4,Alabama,58
2006,5,Alabama,53
2006,6,Alabama,49
2006,7,Alabama,53
2006,8,Alabama,38
2006,9,Alabama,56
2006,10,Alabama,51
2006,11,Alabama,42
2006,12,Alabama,43
2007,1,Alabama,54
2007,2,Alabama,39
2007,3,Alabama,37
2007,4,Alabama,34
2007,5,Alabama,57
2007,6,Alabama,53
2007,7,Alabama,58
2007,8,Alabama,62
2007,9,Alabama,53
2007,10,Alabama,44
2007,11,Alabama,51
2007,12,Alabama,50
2008,1,Alabama,61
2008,2,Alabama,50
2008,3,Alabama,46
2008,4,Alabama,50
2008,5,Alabama,55
2008,6,Alabama,48
2008,7,Alabama,62
2008,8,Alabama,49
2008,9,Alabama,47
2008,10,Alabama,55
2008,11,Alabama,45
2008,12,Alabama,34
2009,1,Alabama,66
2009,2,Alabama,51
2009,3,Alabama,63
2009,4,Alabama,51
2009,5,Alabama,54
2009,6,Alabama,62
2009,7,Alabama,58
2009,8,Alabama,68
2009,9,Alabama,40
2009,10,Alabama,68
2009,11,Alabama,48
2009,12,Alabama,44
2010,1,Alabama,61
2010,2,Alabama,56
2010,3,Alabama,73
2010,4,Alabama,54
2010,5,Alabama,62
2010,6,Alabama,58
2010,7,Alabama,55
2010,8,Alabama,58
2010,9,Alabama,46
2010,10,Alabama,56
2010,11,Alabama,56
2010,12,Alabama,44
2011,1,Alabama,62
2011,2,Alabama,45
2011,3,Alabama,63
2011,4,Alabama,62
2011,5,Alabama,68
2011,6,Alabama,58
2011,7,Alabama,58
2011,8,Alabama,57
2011,9,Alabama,38
2011,10,Alabama,38
2011,11,Alabama,54
2011,12,Alabama,51
2012,1,Alabama,54
2012,2,Alabama,52
2012,3,Alabama,60
2012,4,Alabama,69
2012,5,Alabama,60
2012,6,Alabama,65
2012,7,Alabama,75
2012,8,Alabama,67
2012,9,Alabama,65
2012,10,Alabama,60
2012,11,Alabama,56
2012,12,Alabama,41
2013,1,Alabama,52
2013,2,Alabama,53
2013,3,Alabama,65
2013,4,Alabama,56
2013,5,Alabama,65
2013,6,Alabama,55
2013,7,Alabama,58
2013,8,Alabama,62
2013,9,Alabama,67
2013,10,Alabama,63
2013,11,Alabama,63
2013,12,Alabama,61
2014,1,Alabama,54
2014,2,Alabama,58
2014,3,Alabama,67
2014,4,Alabama,55
2014,5,Alabama,45
2014,6,Alabama,56
2014,7,Alabama,48
2014,8,Alabama,67
2014,9,Alabama,74
2014,10,Alabama,68
2014,11,Alabama,66
2014,12,Alabama,56
2015,1,Alabama,79
2015,2,Alabama,47
2015,3,Alabama,71
2015,4,Alabama,49
2015,5,Alabama,58
2015,6,Alabama,73
2015,7,Alabama,75
2015,8,Alabama,67
2015,9,Alabama,71
2015,10,Alabama,55
2015,11,Alabama,52
2015,12,Alabama,53
2016,1,Alabama,59
2016,2,Alabama,78
2016,3,Alabama,71
2016,4,Alabama,64
2016,5,Alabama,71
2016,6,Alabama,57
2016,7,Alabama,68
2016,8,Alabama,77
2016,9,Alabama,64
2016,10,Alabama,65
2016,11,Alabama,57
2016,12,Alabama,57
2017,1,Alabama,79
2017,2,Alabama,59
2017,3,Alabama,73
2017,4,Alabama,72
2017,5,Alabama,79
2017,6,Alabama,82
2017,7,Alabama,74
2017,8,Alabama,71
2017,9,Alabama,71
2017,10,Alabama,57
2017,11,Alabama,70
2017,12,Alabama,48
2018,1,Alabama,75
2018,2,Alabama,68
2018,3,Alabama,77
2018,4,Alabama,46
2018,5,Alabama,73
2018,6,Alabama,73
2018,7,Alabama,82
2018,8,Alabama,78
2018,9,Alabama,56
2018,10,Alabama,56
2018,11,Alabama,66
2018,12,Alabama,73
2019,1,Alabama,65
2019,2,Alabama,79
2019,3,Alabama,73
2019,4,Alabama,65
2019,5,Alabama,66
2019,6,Alabama,60
2019,7,Alabama,72
2019,8,Alabama,67
2019,9,Alabama,76
2019,10,Alabama,69
2019,11,Alabama,56
2019,12,Alabama,56
2020,1,Alabama,66
2020,2,Alabama,64
2020,3,Alabama,80
2020,4,Alabama,55
2020,5,Alabama,65
2020,6,Alabama,72
2020,7,Alabama,72
2020,8,Alabama,65
2020,9,Alabama,77
2020,10,Alabama,63
2020,11,Alabama,65
2020,12,Alabama,49
1999,1,Alaska,10
1999,2,Alaska,14
1999,3,Alaska,10
1999,4,Alaska,5
1999,5,Alaska,6
1999,6,Alaska,4
1999,7,Alaska,15
1999,8,Alaska,8
1999,9,Alaska,10
1999,10,Alaska,6
1999,11,Alaska,5
1999,12,Alaska,3
2000,1,Alaska,21
2000,2,Alaska,6
2000,3,Alaska,6
2000,4,Alaska,10
2000,5,Alaska,14
2000,6,Alaska,14
2000,7,Alaska,10
2000,8,Alaska,12
2000,9,Alaska,9
2000,10,Alaska,11
2000,11,Alaska,11
2000,12,Alaska,13
2001,1,Alaska,5
2001,2,Alaska,8
2001,3,Alaska,8
2001,4,Alaska,8
2001,5,Alaska,15
2001,6,Alaska,5
2001,7,Alaska,5
2001,8,Alaska,5
2001,9,Alaska,13
2001,10,Alaska,4
2001,11,Alaska,12
2001,12,Alaska,13
2002,1,Alaska,10
2002,2,Alaska,14
2002,3,Alaska,13
2002,4,Alaska,10
2002,5,Alaska,11
2002,6,Alaska,11
2002,7,Alaska,14
2002,8,Alaska,13
2002,9,Alaska,14
2002,10,Alaska,6
2002,11,Alaska,7
2002,12,Alaska,9
2003,1,Alaska,10
2003,2,Alaska,15
2003,3,Alaska,12
2003,4,Alaska,9
2003,5,Alaska,11
2003,6,Alaska,16
2003,7,Alaska,11
2003,8,Alaska,3
2003,9,Alaska,6
2003,10,Alaska,9
2003,11,Alaska,10
2003,12,Alaska,12
2004,1,Alaska,20
2004,2,Alaska,17
2004,3,Alaska,11
2004,4,Alaska,9
2004,5,Alaska,5
2004,6,Alaska,13
2004,7,Alaska,8
2004,8,Alaska,14
2004,9,Alaska,13
2004,10,Alaska,20
