Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,3.20711060622445e-07,4.20083831182884e-07,1.52092215463523e-06,0,0,0,3.09782898675488e-06,0,3.56927469802256e-06,0,0,1.1136670063052e-06,9.19355574815101e-07,0,2.24320449735001e-06,1.46579944064635e-06,0,0,0,0,0,2.7957920986373e-06,8.43124011506349e-07,0,0,0,1.7014305977122e-06,1.76644998328893e-06,1.03452718366373e-06,7.38573852541064e-07,1.56144825372011e-06,0,2.28498803051583e-07,4.94071807094156e-07,5.26921982327711e-07,5.70554100404319e-07,0,2.78319388870806e-06,3.13641209996515e-06,1.01099832544053e-06,5.36418737536382e-07,9.17347137575431e-07,0,9.00033345022602e-07,4.34350822048135e-07,7.88033992413776e-07,4.92591571701023e-07,3.30657463696682e-06,7.3840284690975e-07,6.7551321618154e-07,3.64605755223812e-07,1.21994056646733e-06,2.23452728132217e-07,2.55643044076719e-07,8.08262970306095e-07,2.95568424444562e-07,5.1495695413063e-07,1.38830285316077e-06,1.46704699874479e-06,8.1014816722494e-07,4.38337242281337e-07,1.12829103934849e-07
2000,2,6.90152477795404e-07,3.36891177750088e-07,5.42770516822621e-07,6.38255467082219e-08,3.68329504506145e-07,0,0,0,3.74038695919549e-07,0,3.73879633276613e-07,5.47535552378938e-07,1.37121583021889e-06,6.34748907955098e-07,7.03896189210009e-07,7.07400336495942e-07,0,0,0,0,0,5.00528237870467e-07,2.94462233034447e-07,0,0,0,0,0,0,1.62748829975233e-07,6.19613506098439e-07,3.12877212019633e-06,1.59398234912278e-07,4.70683666030719e-07,0,1.5310749458401e-07,0,3.91206926843506e-07,0,8.04543782152497e-07,1.70555393487874e-07,0,0,4.79371240323823e-07,3.36920830966004e-07,0,3.46888393691633e-07,0,2.7298291656576e-07,1.13556325715163e-07,3.27586148411021e-07,3.64678959435551e-07,1.27601106579178e-07,0,1.32380089003123e-07,2.56149332160617e-07,4.92362610980846e-07,2.6367424761011e-07,6.97718087111677e-07,3.23963283547033e-07,1.85119451923479e-07,9.7352709185279e-08
2000,3,9.88477283635671e-07,3.19391912150075e-07,4.90813555993695e-07,2.21416645762519e-07,0,0,0,2.38651866756658e-07,3.98045835210555e-07,1.06717256733652e-06,0,2.80770800952195e-07,0,1.10096059000025e-06,3.36960674386027e-07,0,0,0,0,1.91312653182089e-07,8.32653952349518e-07,1.391417414657e-06,3.00718937131994e-07,0,1.00626072745394e-06,0,0,4.80223173731894e-07,8.2651237247227e-07,0,2.1508632686292e-07,0,1.75343755703422e-07,4.0783577077175e-07,0,3.39405797503963e-07,0,0,0,5.50442526525071e-07,3.15923978263508e-07,0,0,0,3.00169411523252e-07,7.77539509824779e-07,7.17696505048749e-07,0,2.88337966707779e-07,1.59515723868819e-07,3.19678631342942e-07,3.50338489505183e-07,2.22394935972364e-07,0,2.02081157351182e-07,2.14604657417782e-07,5.40010204605758e-07,2.13582562450616e-07,7.63216916805075e-07,2.99137633225647e-07,2.43534066448781e-07,2.11385770521926e-07
2000,4,6.37168105851099e-07,2.2421470940679e-06,0,3.90462684433069e-07,0,0,2.10844742338138e-06,2.17169885112406e-07,1.75274655705252e-07,0,0,2.78416467669905e-07,0,0,6.68833728392087e-07,9.58226327178837e-07,0,0,0,0,3.31037584884134e-07,0,8.58883936269532e-07,1.41103182127773e-06,0,8.49565877960659e-07,0,2.49860248817378e-07,0,1.07205797076601e-07,1.77175456127755e-07,2.44195644223986e-06,0,4.32584114466911e-07,0,3.71348282828137e-07,0,0,2.2396503594326e-06,7.39576345059197e-07,4.58536631332262e-07,0,0,2.04699664641666e-07,0,0,3.44996018345059e-07,0,3.09142973759567e-07,1.78100518701718e-07,2.20908984181684e-07,3.47241074368378e-07,4.35441900304055e-07,0,2.33549252722485e-07,8.08857513479051e-08,5.22294331481616e-07,1.8043440778822e-07,5.64492251226528e-07,4.85842592805394e-07,7.09885994978399e-07,3.02005976541069e-07
2000,5,7.34938174740038e-07,0,2.82215113457825e-06,1.8941737075625e-07,0,1.57563764792711e-06,0,2.4386305282973e-07,6.39235693342365e-07,0,0,5.17329090952083e-07,7.77066215151357e-07,1.40865197495758e-06,3.37965466876851e-07,7.2633946766116e-07,0,0,0,4.21023323670665e-07,0,1.04904887873497e-06,6.84006614598289e-07,1.69357651446003e-06,0,0,0,0,1.96432646292483e-06,3.7240754196392e-07,2.25066379951997e-07,0,1.80870213318684e-07,1.41071712762207e-06,0,5.23807483311699e-07,0,0,0,8.02414852655061e-07,2.47664673036884e-07,0,0,5.66789262745743e-07,3.42960712139408e-07,0,8.08770040019393e-07,0,4.01944760023804e-07,3.86743440029424e-07,3.75487157076223e-07,5.13221401497464e-07,2.3050315834494e-07,3.37586312369797e-07,3.98344302391213e-07,3.11968277894735e-07,5.25193291388537e-07,3.02852922683188e-07,7.06376640021103e-07,6.92780502817475e-07,3.10177113716713e-07,1.93269823140648e-07
2000,6,7.02928863233211e-07,2.96514498529858e-07,5.09823839454959e-07,2.78833555136128e-07,0,0,0,1.06487672979006e-07,3.63847785701233e-07,0,1.50535904081146e-07,1.16567246105261e-06,6.10401381765939e-07,0,3.62467640986518e-07,6.53249070415629e-07,0,0,4.34404000486137e-07,0,3.80510548205412e-07,9.54659188261196e-07,5.65439190750486e-07,1.48034587864338e-06,0,0,0,0,8.34094754536248e-07,5.97309044690792e-07,1.93970396256343e-07,0,8.21043506632449e-07,0,0,9.66684471990114e-07,0,1.15139677408021e-06,0,4.96906038773244e-07,5.95752148682595e-07,0,0,2.37325531726602e-07,0,1.57736878462034e-06,0,0,3.95396381564392e-07,5.16476013567963e-07,3.94442115753653e-07,4.38877054656506e-07,2.29418010726319e-07,1.63746178180385e-07,6.29473007183344e-07,4.09399511434817e-07,3.61430034150865e-07,3.18854564687223e-07,5.9706587989963e-07,5.3106927834489e-07,2.55983602164885e-07,2.15970175630199e-07
2000,7,9.91513559119635e-07,0,5.35640867065857e-07,3.51443790798521e-07,4.02835694424241e-07,0,0,9.73226267422497e-08,3.49456198071742e-07,0,2.99353836841556e-07,5.01802537798372e-07,0,6.28096769393734e-07,9.87838535476846e-07,1.4401842083983e-06,0,0,0,1.85480677808208e-07,0,9.88445008262889e-07,2.73449329371785e-07,0,0,1.85387500193205e-06,0,0,8.30757471897762e-07,1.09098173208018e-07,0,0,7.34684792415086e-07,4.64987711636549e-07,4.59559204940303e-07,6.984960601047e-07,0,3.86866280552328e-07,0,9.69245878179705e-07,3.09707481160724e-07,0,0,0,0,0,0,0,3.39397670963631e-07,2.29344484215505e-07,3.21829414887713e-07,4.00582463102584e-07,3.26429356509096e-07,0,3.03957848118941e-07,3.8677500869521e-07,1.74947370056312e-07,1.2127744836808e-07,9.82566750026141e-07,5.07347601169956e-07,3.57011413987532e-07,3.11196503238458e-07
2000,8,2.06413042405095e-06,0,1.11757597491191e-06,6.21647730717581e-07,3.72031704444398e-07,1.65269156739196e-06,0,1.03461985974572e-07,5.65763656878663e-07,1.31480761594782e-06,1.67664506859513e-07,3.10247060659627e-07,0,1.25037581783402e-06,3.81733106213441e-07,7.05538814651159e-07,0,3.53805810744775e-07,0,1.8758543555415e-07,0,5.12290467327423e-07,9.32485298145515e-07,0,0,0,0,3.64226040340262e-07,0,2.72123227582903e-07,0,0,1.24158796848224e-06,4.62817047674705e-07,4.79916800295991e-07,1.03369435896959e-06,0,8.25965829244393e-07,0,1.43426840849632e-06,1.49193746181944e-07,0,0,2.10446987508028e-07,3.10246496157866e-07,0,0,6.23879413542681e-06,4.71825663258227e-07,5.37252837790023e-07,4.41445411958482e-07,4.45704964525391e-07,5.05885155889428e-07,3.65706571992255e-07,5.92874119480994e-07,4.34549312731689e-07,4.55915762004976e-07,2.52629575938e-07,1.18564027600509e-06,3.4669995272842e-07,3.64606775907948e-07,5.68863460538212e-07
2000,9,1.80033065727605e-06,7.78071662558946e-07,5.62122289818815e-07,3.07989527276845e-07,0,0,0,0,2.01617162455309e-07,1.20372657409077e-06,0,3.15701828887672e-07,0,0,1.45567001953583e-06,0,0,0,0,2.17920490681192e-07,0,5.0124715152897e-07,3.11733468182466e-07,0,1.17031019966144e-06,0,0,6.16529797991309e-07,0,4.71442911003358e-07,2.29703860751205e-07,0,3.46981959157372e-07,1.51229643763867e-06,5.1282980738454e-07,9.26672714406457e-07,0,4.13929116092854e-07,0,5.40758935931688e-07,2.75984095103742e-07,0,0,0,0,8.83585949321447e-07,1.1862887266538e-06,0,3.6848268985179e-07,4.974825900378e-07,2.85955974103334e-07,4.19209551890184e-07,2.87889813436215e-07,0,6.72591818778197e-07,3.28091236758397e-07,1.97280533799659e-07,1.5232982945738e-07,1.06964526237331e-06,4.025839036885e-07,2.98978826421502e-07,2.82648156173082e-07
2000,10,3.36914131425261e-07,0,1.04532686666258e-06,5.29599040801987e-07,5.48889151806793e-07,0,0,3.90506983168976e-07,3.88948845083255e-07,1.38522275040595e-06,2.64248973988117e-07,5.86261840202751e-07,0,0,2.63438166081793e-06,1.78895476963294e-06,1.69658927961775e-06,0,0,0,1.45935335935847e-06,9.36213547501544e-07,1.85198636656278e-06,3.31941760043728e-06,2.10057065334749e-06,1.23839561389995e-06,0,9.48921793542848e-07,8.23630960205447e-07,3.74233946036167e-07,6.96024334188149e-07,0,5.28004338083642e-07,1.15795522476635e-06,3.49884013589495e-07,2.69655921810617e-07,0,6.90264375949787e-07,1.32302432777134e-06,1.1688280342469e-06,8.45552688092905e-07,0,2.05046438917486e-06,1.20625518271488e-06,4.32374649509172e-07,0,0,NaN,6.4488986111537e-07,4.2827193164014e-07,5.89280835885408e-07,7.99730748969087e-07,5.40012011983643e-07,5.12389243125705e-07,3.95784583822772e-07,3.01309341377096e-07,1.23102627855445e-06,4.79561584624344e-07,1.07992933031223e-06,1.05390652962118e-06,6.6021296402648e-07,4.84841882221771e-07
