Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,17860,10758,11788,45541,23611,6,1057,19178,16906,4312,13444,14663,2607,7987,17459,12767,2606,3043,1768,10190,7635,12200,14172,4407,1766,4238,2733,2602,6299,6267,12795,1708,20200,11957,9658,34599,774,9342,1997,18928,43667,4611,1123,13636,7839,8589,10368,2196,513857,52478,106737,231172,123470,9010,43468,68865,37872,84546,66447,80179,60432,63038
2000,2,19309,12185,15649,45565,24811,0,1133,20590,19331,5322,13844,14732,2829,8219,21621,13280,2723,3538,2147,11173,9677,15169,16932,5301,1732,4432,2650,2778,7687,7084,15180,1901,24204,14962,11551,37513,853,11052,2288,21178,47586,5831,1590,15794,9146,11546,13013,2688,579319,57338,120544,266918,134519,9963,47375,76966,43578,98164,77277,91477,68257,66262
2000,3,16992,12255,13091,49556,27655,0,1251,20224,17433,5562,14398,15093,2899,8355,19364,12336,3514,3511,2547,12233,13129,12341,16401,6002,1719,4424,3318,3263,7724,8923,12973,2431,24696,12702,12463,48082,939,10049,2500,19940,45172,5549,1961,17908,10114,10854,16615,2683,593144,72547,130469,246141,143987,12279,60268,83035,47434,94203,68637,83301,71854,72133
2000,4,13017,10624,10228,47335,21777,6,1108,17554,12861,5112,11478,9487,2285,5896,16387,9776,2966,3251,2490,11429,11916,9143,14225,5744,1429,3963,3068,2985,6240,8495,10616,2210,21170,11516,10993,38820,784,7073,2300,14344,36447,4379,1708,13361,8390,9255,14440,2358,492439,61322,108265,195937,126915,11022,50300,68004,40261,75079,52891,67967,60197,66718
2000,5,11832,9387,8874,45163,17662,0,870,16610,11037,4568,9893,4466,1544,5493,12913,9064,2434,2456,1581,8675,7917,8458,10574,5222,1257,3799,2455,2744,5759,5892,8921,1671,15376,9323,9236,32349,669,6325,1901,12968,34399,4006,1222,11352,7633,7143,9922,2069,415084,49346,78689,172545,114504,8361,40985,48332,30357,64714,46171,61660,52472,62032
2000,6,12944,9501,9180,44150,20610,0,880,17684,12188,4400,9005,4578,1666,5205,13879,9653,2406,2645,1663,8883,8432,9220,11084,5325,1291,3611,2652,2924,6040,5389,10146,1729,15730,10371,9375,31118,682,6992,1905,12596,36038,3964,1129,11129,7805,7397,9160,2133,426487,47963,78668,182942,116914,8532,39431,47356,31312,69061,48639,65242,55584,61330
2000,7,12449,9545,8724,44850,19288,0,912,16818,12476,4376,9329,4507,1714,5153,13354,10187,2686,2912,1499,9731,8832,9271,10612,4646,1479,3585,2720,2571,5401,5674,10305,1718,14878,9467,8159,30932,595,7021,2094,16221,36590,3953,1206,11886,7758,7743,9498,1977,427302,47883,79545,186336,113538,8706,39177,47943,31602,70073,51295,64968,52771,60767
2000,8,16403,10946,12239,50801,25564,0,1042,19575,16131,5560,12230,6781,2892,6776,18049,13738,3651,3541,2004,13042,14321,13038,13907,5560,2095,3738,3215,3049,6678,7983,15577,2741,20887,11635,10244,34700,699,10800,3181,19446,51811,5111,1544,13970,9237,9060,14009,2531,551732,56845,112862,246055,135970,11113,45732,66949,45913,89696,66936,89423,65688,70282
2000,9,19885,11305,15124,47738,28961,0,1275,19988,18899,7774,12690,7448,4716,8008,20108,17801,5814,4719,2075,23493,23292,14049,16137,7913,3013,4303,4158,3012,7268,12410,17167,4044,24115,13080,15228,41591,754,10789,4695,19087,58520,7019,2231,16397,11769,12058,22239,3625,657784,72045,153890,278946,152903,15032,57013,89985,63905,101292,73129,104525,78168,74735
2000,10,19647,11158,16780,52059,30214,0,1612,22717,21641,6845,14398,8968,6264,10516,21371,19434,7569,5317,2530,23312,22736,15286,21208,8972,4833,3991,4508,3276,8509,14527,19283,4584,25035,14820,11427,48106,867,10762,6187,20078,56324,6522,2688,17457,12197,13650,24736,3010,707931,84071,172777,296179,154904,18162,65909,96449,76328,112439,76382,107358,79221,75683
