Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,2.04234137866097e-05,1.88609071398739e-05,1.84798856711073e-05,1.64635715760162e-05,1.68513096759302e-05,1.89344145294373e-05,1.83119206788636e-05,1.73224892441544e-05,1.68007669098853e-05,1.77770253110979e-05,1.90151551037501e-05,1.35296890364264e-05,1.22303550624703e-05,1.61489055311301e-05,1.53293760435526e-05,2.03493605045747e-05,6.26432965408372e-06,2.02363966180956e-05,1.55633361756073e-05,1.82166200282343e-05,1.05159286273194e-05,2.04550341529778e-05,1.63342703449012e-05,2.17889975605685e-05,1.53299222046232e-05,2.12778882751901e-05,9.21746700780512e-06,1.1367292318482e-05,3.08518430664549e-05,1.46245189604285e-05,1.65945949795562e-05,4.6727297931694e-06,1.13357968386105e-05,1.8741719748996e-05,1.3765173687028e-05,1.54670566752845e-05,Inf,1.68318937886014e-05,1.48840236874276e-05,2.02156431314528e-05,1.37462425463271e-05,1.28313541266615e-05,1.09358100755993e-05,1.51049954330844e-05,1.31693900355566e-05,1.35186981383013e-05,1.25123542654818e-05,1.34870861150448e-05,1.53727393673514e-05,1.27666880128472e-05,1.43843719431525e-05,1.69191187156624e-05,1.62277774938606e-05,1.01369344524817e-05,1.35376622670775e-05,1.46746779373019e-05,1.38159999334432e-05,1.69016068028917e-05,1.91234715425669e-05,1.58691251533587e-05,1.89441188882679e-05,1.54945669295136e-05
2000,2,1.71950990124498e-05,1.91377306301852e-05,1.59549890110996e-05,1.32085011284473e-05,1.45185254874108e-05,1.14309932917656e-05,1.01732892660353e-05,1.61838976443509e-05,1.17806621347332e-05,9.40583349793542e-06,1.50191074411856e-05,1.57710297632942e-05,6.08322780536663e-06,1.71276270784713e-05,1.6410002428845e-05,2.12252029438741e-05,9.47479860180162e-06,1.60985600920649e-05,1.46201036801159e-05,1.34517180212318e-05,7.87587527902894e-06,1.70468883440906e-05,1.7789357951308e-05,1.03270769688111e-05,1.30035326263635e-05,2.4767912277999e-05,1.0753711509106e-05,1.09464906897979e-05,2.39486540856404e-05,1.1399741740794e-05,1.47059518169213e-05,1.24606127817851e-05,1.11196811028897e-05,1.65318786107267e-05,1.20603959181471e-05,1.4286676034276e-05,8.56924137458249e-06,1.54464600992539e-05,3.96907298331402e-06,1.55780712858524e-05,1.18895790534662e-05,1.02472619761533e-05,1.37791206952551e-05,1.24780397055914e-05,1.18771436383176e-05,1.75242383274277e-05,1.2002235206966e-05,1.21383775035404e-05,1.33741730138948e-05,1.10842968916179e-05,1.29002030478208e-05,1.48061662194967e-05,1.37239991939653e-05,9.4215914016181e-06,1.15862628701727e-05,1.32177088370616e-05,1.22591413350853e-05,1.46002019471964e-05,1.64687968975297e-05,1.4156759098816e-05,1.63068156139871e-05,1.28148211180505e-05
2000,3,1.71394265918445e-05,2.83761379037187e-05,1.71358939859359e-05,1.35381206517038e-05,1.27111172124474e-05,7.89121824875334e-06,1.43061880303622e-05,1.49555865814738e-05,1.59036861100709e-05,1.03891706363559e-05,1.24437244078851e-05,1.75688413085624e-05,9.90076362199977e-06,1.6528215156299e-05,1.50900674508727e-05,2.14301873445613e-05,1.00490288200926e-05,2.2368525601606e-05,9.11791412308304e-06,1.87446865400535e-05,1.05097464235408e-05,2.37564187678517e-05,1.66598749067805e-05,1.81059141660974e-05,1.48790421397813e-05,2.14655239742658e-05,6.45222690546358e-06,9.77639163610592e-06,1.97671430548143e-05,1.13766431664947e-05,1.41917576974485e-05,1.24606127817851e-05,1.26304195610008e-05,1.94237650605968e-05,1.04965204034862e-05,1.63239573221147e-05,5.71282758305499e-06,1.51374977645788e-05,9.26117029439937e-06,1.80803086547567e-05,1.28175490307571e-05,9.80172884675532e-06,9.84222906803933e-06,1.4366164134727e-05,1.31371121188028e-05,1.24860198082922e-05,1.52735421052367e-05,1.82075662553105e-05,1.43246686765203e-05,1.11038128775694e-05,1.42207226584623e-05,1.57922518290529e-05,1.45315671886009e-05,7.2781224640821e-06,1.23067467546878e-05,1.47324694157899e-05,1.35365758679024e-05,1.52800951086915e-05,1.83322135170575e-05,1.53035770080789e-05,1.77055392634436e-05,1.32370541161039e-05
2000,4,1.4674482176082e-05,2.40114288335202e-05,1.56799029936668e-05,1.57175094359499e-05,1.44643747589918e-05,1.21344390327973e-05,1.33524421616714e-05,1.31093406315889e-05,1.59274552061593e-05,1.00043865387131e-05,1.31944969990336e-05,1.11168272943335e-05,1.0294693209082e-05,1.10443664264625e-05,1.1088248671503e-05,2.1547321287811e-05,1.4616769192862e-05,2.34845554984722e-05,6.97992046663598e-06,1.70267957471108e-05,1.10030610515845e-05,1.69434299629356e-05,1.60654101465029e-05,1.41997308321153e-05,1.36391219614662e-05,2.40942250640374e-05,1.25459967606236e-05,1.52776408760399e-05,2.01201277522217e-05,1.29698375625862e-05,1.89170133589652e-05,9.73485373576959e-06,1.33060352483115e-05,1.30125218383118e-05,1.43093590115902e-05,1.52112106250167e-05,9.52137930509165e-06,8.57308354929635e-06,1.98453649165701e-05,1.78602005493944e-05,1.20982081782385e-05,1.43941472574728e-05,9.84222906803933e-06,1.40985643426812e-05,1.29712394910401e-05,1.05648518146215e-05,1.46002145630355e-05,1.21383775035404e-05,1.42558839005441e-05,1.24009489943919e-05,1.36792047514297e-05,1.4746749342096e-05,1.59426560544069e-05,9.18424440595074e-06,1.33130818383277e-05,1.39685459884544e-05,1.29723043859144e-05,1.51628753913561e-05,1.51860311433264e-05,1.39314626196712e-05,1.85934539648501e-05,1.49428513840684e-05
2000,5,2.57949882001441e-05,1.85008059162273e-05,2.31865232193763e-05,1.73817120909912e-05,1.57661186788481e-05,1.01253553633355e-05,1.14449504242897e-05,1.56089859952275e-05,1.76217640017311e-05,6.92611375757063e-06,1.84153961011121e-05,1.47737983731093e-05,8.22218588148831e-06,1.56539199209805e-05,1.29822041899275e-05,2.02251275344613e-05,8.05413812667906e-06,1.76990017386445e-05,7.91922282672945e-06,1.67016385133532e-05,1.01343983369858e-05,2.25694337344122e-05,1.57126422427065e-05,2.15762143812661e-05,1.31285665939247e-05,1.97017484029538e-05,1.2232346841608e-05,1.44339900939682e-05,3.11149474010966e-05,1.30570982354342e-05,1.83581690939008e-05,1.09030361840619e-05,1.08796683347235e-05,2.03800119558877e-05,1.54620460489065e-05,1.33646695665616e-05,1.55515861983164e-05,1.96968969866613e-05,1.85223405887987e-05,1.780636458423e-05,1.44985144852309e-05,1.59810796414489e-05,1.02523219458743e-05,1.70126656637638e-05,1.18010081021746e-05,1.87178396995744e-05,1.27726112342038e-05,1.61845033380538e-05,1.53935244830091e-05,1.17215039614901e-05,1.42642724883518e-05,1.75618411450262e-05,1.62709484398911e-05,9.26403970593887e-06,1.26100471015566e-05,1.4980569212156e-05,1.28724206839891e-05,1.72366005733269e-05,1.96632469490103e-05,1.68389991605611e-05,1.83183696519643e-05,1.59737766731613e-05
2000,6,2.14227474488924e-05,2.28282248457558e-05,1.54163752122606e-05,1.74486253848197e-05,1.62828360985896e-05,9.84824037444417e-06,1.35643856880471e-05,1.47006618101987e-05,1.65090019661983e-05,1.20052638464558e-05,1.70745490835845e-05,1.22704603154436e-05,8.34005211508355e-06,1.48833173233613e-05,1.59806240454029e-05,2.32564120052282e-05,1.64438653419698e-05,1.61456319051996e-05,1.17380043883368e-05,1.34697630088212e-05,1.0655595965745e-05,1.96974402954601e-05,1.63053191390435e-05,1.73874255087126e-05,1.75496394469215e-05,3.46750771891986e-05,5.64569854228064e-06,1.04618627738099e-05,2.10387136606795e-05,1.00985962550785e-05,1.77013595991538e-05,7.78788298861567e-06,1.09273941272962e-05,1.59218843405373e-05,1.44276884856348e-05,1.39203510077561e-05,7.61710344407332e-06,1.7705281243112e-05,1.05841946221707e-05,2.32151510992562e-05,1.47055319871819e-05,1.25306192643179e-05,1.4763343602059e-05,1.49390064722813e-05,1.40029672357239e-05,1.67402592443585e-05,1.37023404054157e-05,1.82075662553105e-05,1.4795580829184e-05,1.08178803018833e-05,1.31707195445026e-05,1.65810300997143e-05,1.7036583572597e-05,9.3721681196909e-06,1.13270265873177e-05,1.340995605089e-05,1.2918011817335e-05,1.58700198512694e-05,2.04212170973565e-05,1.58680038189075e-05,1.96037947341022e-05,1.62480797435444e-05
2000,7,1.90121006731595e-05,2.24054012470677e-05,2.29598579550121e-05,1.43138851718065e-05,1.61777855431148e-05,1.33654690796028e-05,1.22079471192424e-05,1.4815046494804e-05,1.54023742652969e-05,1.93931185211978e-05,2.29413476515553e-05,1.9076343162471e-05,8.19373541131015e-06,1.40634146883675e-05,1.45813024926272e-05,2.41089607626314e-05,1.31550922735758e-05,1.75179563035111e-05,7.63319630610592e-06,1.53774676849288e-05,9.71139736292028e-06,1.65787815703398e-05,1.8200261633581e-05,7.74530772660834e-06,6.41841033480762e-06,2.5263270523559e-05,1.04848687213783e-05,2.20624316998712e-05,2.33362105508224e-05,1.22589134528759e-05,1.85291901731343e-05,1.24606127817851e-05,1.32765301326031e-05,2.12774272550816e-05,1.62446149101573e-05,1.69166469361722e-05,1.142565516611e-05,1.32748738406343e-05,7.93814596662803e-06,1.964840229984e-05,1.35954553030846e-05,1.4257060140735e-05,1.31229720907191e-05,1.62090539945753e-05,1.29199697697317e-05,1.43232164657613e-05,1.41988020143076e-05,3.12129707233895e-05,1.52130326540235e-05,1.28499785247898e-05,1.54406050206378e-05,1.63887857096401e-05,1.57216407133151e-05,1.00360430147671e-05,1.41276546364832e-05,1.70372959117028e-05,1.23819229735098e-05,1.57524128755602e-05,1.7787214313515e-05,1.6679636769593e-05,1.94587064081872e-05,1.41412841654557e-05
2000,8,2.3675047084964e-05,1.72317496357828e-05,1.76841011206769e-05,1.83681510757847e-05,1.45269910999399e-05,1.71464899376483e-05,NaN,1.3891700536019e-05,1.64006763010106e-05,1.40061411541984e-05,2.043194181369e-05,1.67201876825825e-05,1.40578793821498e-05,1.59839103277469e-05,1.62508418701706e-05,2.04916637248864e-05,1.37815252389842e-05,2.48991062757271e-05,7.31005184005795e-06,1.42569811344837e-05,1.23436971744487e-05,1.48038767198682e-05,1.83460970633372e-05,1.79801786510551e-05,1.28951698544771e-05,2.16381488174155e-05,8.06528363182948e-06,1.0016396709619e-05,2.47089288185179e-05,1.42219962152621e-05,2.13889382562868e-05,1.36287952300774e-05,1.31649081628855e-05,1.67245578486139e-05,1.57447806052294e-05,1.48529445450562e-05,1.99948965406925e-05,1.34835642968139e-05,7.93814596662803e-06,1.73921611495938e-05,1.44893949613963e-05,1.50957107372488e-05,1.14826005793792e-05,1.52981539424589e-05,1.31099448722017e-05,1.81830442795866e-05,1.22580968102153e-05,1.21383775035404e-05,1.55089024521174e-05,1.22580190369658e-05,1.50473466797131e-05,1.68035917293547e-05,1.70602645701945e-05,1.02427654954699e-05,1.30196800806293e-05,1.51954996303412e-05,1.49234095362858e-05,1.68123769911283e-05,1.83407899912175e-05,1.59047535971271e-05,1.72786676144781e-05,1.71752123555005e-05
2000,9,2.21206248016078e-05,1.91340396503144e-05,1.43241219077483e-05,1.36937096198254e-05,1.1940746472299e-05,1.14309932917656e-05,7.6299669495265e-06,1.36966988220905e-05,1.37770331403811e-05,1.49516106512636e-05,1.64040491542046e-05,1.86455524295104e-05,8.19373541131015e-06,1.93044387958337e-05,1.6464885380112e-05,1.7106879984615e-05,1.23328990064773e-05,1.56107249377599e-05,4.85090997681265e-06,1.71632438776997e-05,9.21696859279548e-06,1.25608650956457e-05,1.96081914774651e-05,1.21711978560988e-05,1.31020442371693e-05,2.03509679217559e-05,5.64569854228064e-06,1.12210002086442e-05,1.63941781684769e-05,1.08376943565796e-05,1.78377604692382e-05,1.24606127817851e-05,8.7049363846222e-06,1.51981623250583e-05,1.89520507285168e-05,1.49929889939058e-05,1.142565516611e-05,1.67633502068497e-05,1.65378040971417e-05,1.84599421150735e-05,1.42222332947858e-05,1.18237638186384e-05,1.84541795025737e-05,1.68875725338832e-05,1.41082696007036e-05,1.52938807221187e-05,1.32438457456176e-05,1.21383775035404e-05,1.40464277638035e-05,1.10181451934222e-05,1.43213388514148e-05,1.54816838110989e-05,1.44045971144863e-05,8.11076129356688e-06,1.19548106972001e-05,1.4266222724137e-05,1.44407038077276e-05,1.52239831088459e-05,1.77326736121984e-05,1.46177974574178e-05,1.54878464890634e-05,1.40829756690332e-05
2000,10,1.79687536849983e-05,1.93566955171161e-05,1.87004903669057e-05,1.38666407071112e-05,1.45368958665989e-05,1.27662375224276e-05,7.6299669495265e-06,1.602073736998e-05,1.59147516350094e-05,1.48416723376513e-05,1.72869498753248e-05,1.56414658966094e-05,9.55935797986185e-06,1.83763407768032e-05,1.65966044631529e-05,2.28957356403829e-05,1.47907783499199e-05,1.89793550559081e-05,8.08484996135442e-06,1.76652482554547e-05,1.00151701212565e-05,1.89583243369063e-05,1.79766143507954e-05,2.72362469507106e-05,1.03967638481181e-05,2.80703005817322e-05,2.2986058350714e-05,9.56829475155705e-06,2.84947413041621e-05,1.30047966934827e-05,1.8835286143971e-05,NaN,1.25794717739927e-05,1.95961653421997e-05,1.5912994073234e-05,1.52033485184783e-05,Inf,1.66408935753975e-05,1.74639211265817e-05,2.0086055675482e-05,1.56922668174907e-05,1.41085490976023e-05,6.56148604535955e-06,1.19295544438072e-05,1.3921926609017e-05,1.61762199945486e-05,1.30256816199631e-05,2.02306291725673e-05,1.51325455954465e-05,1.21850479964771e-05,1.48022542204255e-05,1.68063939248361e-05,1.53496355309496e-05,1.12105909060558e-05,1.23609726224364e-05,1.5257271907257e-05,1.38485325352717e-05,1.5805175907269e-05,1.86692738518977e-05,1.74262462901814e-05,1.95704448837141e-05,1.38038339812579e-05
