Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,24,15,14,113,9,9,2,56,42,1,46,13,3,8,10,41,0,40,7,51,4,16,16,3,6,5,0,10,12,56,34,0,19,10,3,45,1,9,0,29,68,2,1,21,7,4,9,1,895,129,175,420,171,18,111,138,37,208,79,133,48,123
2000,2,14,18,9,98,10,4,1,37,22,1,43,19,1,12,14,41,1,20,6,31,2,19,23,1,6,11,2,10,8,48,28,0,24,10,4,30,1,16,0,20,58,0,1,18,8,7,9,0,766,103,170,334,159,15,88,126,44,149,67,118,49,110
2000,3,20,33,13,84,3,1,1,39,45,0,41,22,0,7,8,39,1,39,5,55,6,29,20,1,3,5,0,9,7,54,31,0,23,8,5,30,0,19,0,25,65,0,0,22,5,2,11,0,836,100,188,405,143,7,93,152,36,198,82,125,49,94
2000,4,12,24,10,132,4,4,0,17,27,0,43,16,1,5,11,40,2,34,2,50,8,14,19,0,3,6,1,12,5,52,47,0,17,10,3,36,1,7,0,22,55,2,0,23,10,4,7,0,798,110,169,333,186,10,100,133,36,159,59,115,41,145
2000,5,41,27,14,136,5,8,0,24,44,0,57,18,4,8,7,37,1,30,5,41,5,27,14,2,3,3,1,17,11,51,40,0,19,11,2,24,4,21,0,24,61,2,1,30,6,6,6,0,898,112,175,417,194,20,92,141,34,195,99,123,50,144
2000,6,27,27,9,155,9,3,1,39,39,2,50,16,3,10,15,34,0,29,9,33,8,20,16,3,10,12,0,12,6,40,48,0,17,10,6,33,3,19,0,32,76,2,0,29,8,4,14,0,938,100,177,431,230,15,85,130,47,208,94,129,61,169
2000,7,30,27,16,132,11,9,1,53,36,4,84,24,0,5,8,33,2,33,5,41,6,14,21,0,0,8,0,24,11,55,34,0,20,13,3,53,1,9,0,32,65,2,0,30,9,5,16,2,987,149,217,412,209,17,132,185,32,201,84,127,65,144
2000,8,35,22,9,154,3,8,0,23,44,2,62,19,3,5,13,28,1,32,5,37,9,14,26,2,3,9,0,10,7,62,47,1,21,8,5,36,5,14,0,22,74,1,0,21,9,6,7,0,924,127,193,390,214,19,108,146,47,187,84,119,46,168
2000,9,27,11,7,121,7,5,1,29,32,1,61,31,1,12,13,25,1,26,2,40,8,9,27,0,1,5,0,17,5,42,41,1,21,4,11,37,1,14,1,31,77,2,1,24,16,7,11,0,867,106,215,367,179,10,96,164,51,174,80,113,31,148
2000,10,21,29,14,126,6,5,0,46,35,0,61,16,4,7,8,33,0,27,6,39,4,18,32,2,1,12,3,14,9,56,35,0,24,12,6,30,2,18,0,37,79,1,0,17,12,6,10,0,923,116,198,406,203,16,100,150,48,184,84,138,59,144
