Year,Month,permissive,restrictive,permissive_northeast,restrictive_northeast,permissive_midwest,restrictive_midwest,permissive_south,restrictive_south,permissive_west,restrictive_west,permissive_new_england,restrictive_new_england,permissive_middle_atlantic,restrictive_middle_atlantic,permissive_east_north_central,restrictive_east_north_central,permissive_west_north_central,restrictive_west_north_central,permissive_south_atlantic,restrictive_south_atlantic,permissive_east_south_central,restrictive_east_south_central,permissive_west_south_central,restrictive_west_south_central,permissive_mountain,restrictive_mountain,permissive_pacific,restrictive_pacific,permissive_continuous,restrictive_continuous,permissive_northeast_continuous,restrictive_northeast_continuous,permissive_midwest_continuous,restrictive_midwest_continuous,permissive_south_continuous,restrictive_south_continuous,permissive_west_continuous,restrictive_west_continuous,permissive_new_england_continuous,restrictive_new_england_continuous,permissive_middle_atlantic_continuous,restrictive_middle_atlantic_continuous,permissive_east_north_central_continuous,restrictive_east_north_central_continuous,permissive_west_north_central_continuous,restrictive_west_north_central_continuous,permissive_south_atlantic_continuous,restrictive_south_atlantic_continuous,permissive_east_south_central_continuous,restrictive_east_south_central_continuous,permissive_west_south_central_continuous,restrictive_west_south_central_continuous,permissive_mountain_continuous,restrictive_mountain_continuous,permissive_pacific_continuous,restrictive_pacific_continuous,ratio,northeast_ratio,midwest_ratio,south_ratio,west_ratio,new_england_ratio,middle_atlantic_ratio,east_north_central_ratio,west_north_central_ratio,south_atlantic_ratio,east_south_central_ratio,west_south_central_ratio,mountain_ratio,pacific_ratio,sum,northeast_sum,midwest_sum,south_sum,west_sum,new_england_sum,middle_atlantic_sum,east_north_central_sum,west_north_central_sum,south_atlantic_sum,east_south_central_sum,west_south_central_sum,mountain_sum,pacific_sum
2000,1,0,7,0,2,0,2,0,1,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,7,0,2,0,2,0,1,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,NaN,Inf,NaN,NaN,NaN,Inf,7,2,2,1,2,2,0,2,0,1,0,0,0,2
2000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,2,0,1,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,NaN,Inf,NaN,NaN,NaN,Inf,7,2,2,1,2,2,0,2,0,1,0,0,0,2
2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,2,0,1,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,NaN,Inf,NaN,NaN,NaN,Inf,7,2,2,1,2,2,0,2,0,1,0,0,0,2
2000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,2,0,1,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,NaN,Inf,NaN,NaN,NaN,Inf,7,2,2,1,2,2,0,2,0,1,0,0,0,2
2000,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,8,0,2,0,2,0,1,1,3,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,2,8,Inf,Inf,Inf,3,Inf,NaN,Inf,NaN,Inf,NaN,NaN,1,Inf,7,2,2,1,2,2,0,2,0,1,0,0,0,2
2000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,2,0,2,0,1,1,3,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,2,8,Inf,Inf,Inf,3,Inf,NaN,Inf,NaN,Inf,NaN,NaN,1,Inf,7,2,2,1,2,2,0,2,0,1,0,0,0,2
2000,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,0,2,0,2,0,1,1,4,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,2,9,Inf,Inf,Inf,4,Inf,NaN,Inf,NaN,Inf,NaN,NaN,2,Inf,8,2,2,1,3,2,0,2,0,1,0,0,1,2
2000,8,2,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,10,0,3,0,2,1,1,2,4,0,2,0,1,0,2,0,0,0,1,1,0,0,0,2,2,0,2,3.33333333333333,Inf,Inf,1,2,Inf,Inf,Inf,NaN,Inf,0,NaN,1,Inf,7,3,2,0,2,2,1,2,0,1,-1,0,0,2
2000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,3,0,2,1,1,2,4,0,2,0,1,0,2,0,0,0,1,1,0,0,0,2,2,0,2,3.33333333333333,Inf,Inf,1,2,Inf,Inf,Inf,NaN,Inf,0,NaN,1,Inf,7,3,2,0,2,2,1,2,0,1,-1,0,0,2
2000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,3,0,2,1,1,2,4,0,2,0,1,0,2,0,0,0,1,1,0,0,0,2,2,0,2,3.33333333333333,Inf,Inf,1,2,Inf,Inf,Inf,NaN,Inf,0,NaN,1,Inf,7,3,2,0,2,2,1,2,0,1,-1,0,0,2
2000,11,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,6,0,2,1,1,2,4,0,2,0,4,0,2,0,0,0,1,1,0,0,0,2,2,0,2,4.33333333333333,Inf,Inf,1,2,Inf,Inf,Inf,NaN,Inf,0,NaN,1,Inf,10,6,2,0,2,2,4,2,0,1,-1,0,0,2
