Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,3280548.52631579,3393262.02739726,1785725.33333333,14516898.6508475,2611073.01724138,1003463.82352941,436873.888888889,9987017.31382979,5773545.96491228,618776.19047619,4101991.25773196,3991222.55172414,1717039.27586207,1486168.82758621,2935540.225,3095920.38461538,798170,3014370.64864865,578282.181818182,6093336.73469388,1996970.57142857,2004396.55555556,3795700.61538462,734315.5625,1108942.35294118,1268922.91428571,867917.4,2199292.43478261,939976.258064516,6632696.79245283,5122149.71830986,214007.666666667,6527992.78723404,2027562.06521739,1670883.38461538,7370503.8,0,2911140.04255319,335930.666666667,3858398.14705882,12439763.0424242,1402813.75,365770.8,4568025.21428571,3417014.75,1405460.77777778,3116919.42,370725,156575867.350746,22088735.9130435,35246585.8087986,64837892.4715789,32105443.9030303,4537861.04819277,17432847.3664122,24259476.1889169,10929357.3195876,33192110.4627767,12079396.75,19219711.045977,11296381.8091603,19813396.6180905
2000,2,3024117.50943396,3187420.76470588,1817613.28571429,17261610.3661417,3443875.89795918,1137259,393186.5,8279834.86702128,5347746.95,1063170,5393130.07228916,3867851.42857143,2301409.78571429,2043482.13793103,3168799.04347826,3156624.70588235,1160974.54545455,2236224.84210526,615590.709677419,5947195.73170732,2031520.23529412,2229145.82608696,3147949.47368421,677829.75,999728.333333333,1009370.5,743929.2,1553009.13157895,876876,7719473.125,5235975.26760563,160505.75,5755560.74025974,2359078.53658537,2155816.45714286,6509561.76068376,350089.333333333,2719069.59459459,755844,3658989.54716981,12952519.1184211,1658979.73913043,435441.428571429,4487884.42105263,3283617.77777778,1084212.6,2499534.41860465,329533.333333333,157766764.181072,22373994.7084548,35270762.6626747,62068734.4972437,35558148.401421,5306959.07608696,17089203.1553785,23907320.3908046,11338477.6470588,29520139.6226415,12083457.0514286,20414276.8823529,11958190.0363636,22864150.6034985
2000,3,3617390.5625,2325897.91549296,1984139.25925926,17579988.1034483,2596152.6,1774124.04,629098.4,8023757.5,5784822.421875,866286.666666667,5946772.65217391,3415137,1515034.65517241,1936083.21875,2584481.4893617,3499736.08695652,696584.727272727,2414106.36363636,1096742.06896552,4908057.53424658,3330242.1,2357257.65517241,3421394.23728814,662766.866666667,806503.529411765,1211244.6,619941,2966329.61111111,910602,9229436,5918928.56338028,401264.375,6413088.62376238,2059332.98076923,1905393.33333333,7779976.23333333,875223.333333333,2840628,323933.142857143,4148159.27272727,13575138.2407407,1734387.90909091,304809,4872560.22857143,3044809.21212121,1521701.89473684,2487962.5,384455.555555556,163354563.574341,27377982.9822335,35441236.8558559,66235012.6709402,33444431.2641815,5908117.12941176,21207879.3203884,23417662.7327824,11745954.1875,32133307.8431373,12655318.4526316,21106176.6689896,10618145.9487179,22512561.8877285
2000,4,3816148.28571429,3165159.41333333,1785725.33333333,16860177.5669291,2281467.43636364,741690.652173913,224678,8619808.05714286,4897204.16666667,699693.076923077,5684187.88571429,4767547.30434783,1359923.96428571,1539246.28571429,3787793.83870968,3295073.15789474,547316.571428571,2384545.87755102,1719217.2972973,5755633.73493976,2726514,2183737.3,2863294.46808511,492967.090909091,806503.529411765,1328119.07894737,797067,1505468.03571429,944328,7170483.01886792,5180521.79487179,513618.4,5335924.53913044,2382320.68965517,2026645.63636364,7165767.58333333,210053.6,2682815.33333333,251948,3975319.3030303,14134324.4785276,1042090.21428571,304809,4042964.84482759,3546307.2,1419802.21428571,2328732.9,247150,155023709.186889,21691888.2677165,33554582.1808118,64420976.9869848,33369596.5204583,4790813.27272727,16900669.787234,23696095.5187166,9867175.19047619,29216094.4785276,13565097.9545455,21605771.6420233,10326214.826087,22753354.849162
2000,5,2907541.55102041,3621463.85964912,2027039.56756757,14728123.3666667,2346804.61016949,1975239.31578947,524248.666666667,8264470.225,5447808.74324324,866286.666666667,5810355.60747664,3384370,2067576.70588235,1405398.7826087,2387884.17948718,3263267.43243243,993278.222222222,2655517,1641575.22580645,5268944.11764706,2466846,2215385.66666667,3436723.06451613,602515.333333333,685528,1268922.91428571,572253.230769231,2286270.10169492,1092722.4,6892802.54901961,5229279.64705882,275152.714285714,5331044.86419753,2158978.125,2263607.28,7183118.11016949,450114.857142857,2792318,431910.857142857,4211977.10769231,13449653.7696078,1564349.87878788,487694.4,3997022.0625,2626894.22222222,1228774.28,2583653.36538462,308937.5,155260090.217677,23802406.3223141,33229875.5780969,62806626.6453155,32819230.0512,6476656.17857143,17367104.0430108,22429054.2796834,10720594.3146067,30168361.6666667,11747805.4666667,20903855.190184,11573082.3227092,20158038.1764706
2000,6,3454272.15517241,3723460.78481013,1751384.46153846,15760553.8508065,1903845.24,1827737.67857143,294889.875,10203622.2543353,5936155.32911392,999561.538461538,5271003.0326087,4237819.82608696,2158259.89473684,1410975.76190476,3128788.95454545,2235942.5,851381.333333333,3034876.57142857,1363093.71428571,5048344.20289855,2158490.25,2081488.73076923,3679780.78125,632641.1,1310568.23529412,692139.771428571,354252,2580802.34693878,1235817,9011153.40206186,5818762.08,385213.8,6222892.5952381,1570165.90909091,2425891.02439024,6824540.55555556,787701,2146252.26666667,472402.5,4178305.77906977,13328317.5454545,1436481.28,406412,4618781.05,2999364.29850746,1314197.09090909,2627288.4,164766.666666667,162143009.300995,25420876.5789474,35457440.1513944,66039322.8535826,32987834.538843,6615331.60824742,18804581.9755102,23415438.4107143,11843927.8554217,33585339.2116183,12829793.5794393,18905969.7378277,10712211.7349398,21664098.5
2000,7,3366277.14634146,3347407.13513514,1785725.33333333,19421701.1428571,2472526.28571429,1421573.75,491483.125,9989843.77483444,5713404.86111111,464082.142857143,5448677.29213483,3354940.69565217,854311.208333333,1635449.17857143,2468915.24390244,2862006.4,912194.285714286,3367972.78048781,3013154.52631579,5722658.75,2986182,2050814.16,3241711.640625,516441.714285714,1246414.54545455,1345827.33333333,858379.846153846,1405103.5,857037.176470588,7341596.81818182,5019107.64210526,401264.375,4745215.75824176,1973922.85714286,2400795.6,6798037.48543689,262567,2184578.2,629870,3308157.02,14784352.2352941,1122251,152404.5,5305676.69333333,3250781.6,1535967.85,2746710.6,288341.666666667,162229323.773078,23657627.0857988,33353615.3092224,66081771.9620902,36001331.5608108,6775578.77142857,16704825.1158798,22245314.1604278,10983754.3240223,33709121.5291751,11187811.4522293,21163530.4099379,10637911.6708861,25386661.9042254
2000,8,3294608.02,2843588.20408163,1696439.06666667,16387060.3392857,2202796.14545455,1049777.53846154,0,9646047.26775956,5609524.77272727,928164.285714286,4894297.41489362,3708092.34782609,1422689.68571429,1564072.83870968,3015228.40425532,3074420.9375,798170,2329400.87719298,2051969.03225806,5260580.71428571,2349377.14285714,2229145.82608696,3706510.42372881,556168,1008129.41176471,1432654.90322581,743929.2,1996726.02631579,849895.2,7101675.35353535,5142845.27272727,366870.285714286,6684437.05882353,1853561.70731707,1714854,6732671.74038462,350089.333333333,2892410.28125,629870,4139796.0483871,11663703.0359281,1192391.6875,609618,3660572.39393939,3585064.65573771,1099925.82608696,2528940.70588235,329533.333333333,154298475.17503,23250086.2611276,34624044.4305317,61534463.3846154,32414503.1704918,6248312.53125,16974303.4107884,23427989.119171,11056454.5989848,30275314.4465291,12649400.6043956,18422165.3111888,10301720.246696,21833791.1775457
2000,9,2938434.18,2508618.19444444,1884932.2962963,18037479.0219298,2596152.6,1137259,393186.5,9345317.55882353,5734180.87878788,1070118.82352941,5791253.06849315,3271557.66666667,976355.666666667,1346840.5,3036765.75,2630520.58823529,729755.428571429,3074809.15789474,1855322,5243763.97849462,2929379.625,2229145.82608696,3416939.296875,410805.909090909,992211.578947368,1424993.64705882,531378,2940914.30232558,1158948,7012561.66666667,5550024.07228916,321011.5,6892640.83606557,2302910,2057824.8,6202899.23762376,525134,3102005.22916667,302337.6,3466966.45098039,12515615.2560976,1268631.56521739,270941.333333333,3552908.5,3331379.49090909,1242326.9375,3246791.0625,247150,158403263.620779,22417566.2658228,34843111.0510805,63300608.1223176,34641718.6148282,5548184.48863636,16896963.5,24463378.0607903,10387305.3555556,32054686.1167002,11673366.6071429,19496781.2921348,10718081.44,23645570.9237805
2000,10,3060868.9375,3409672.89285714,2032032.27586207,17235609.1895735,2545247.64705882,1096642.60714286,393186.5,8364159.33333333,6220643.73170732,1010667.77777778,5842557.57831325,2940900.82758621,1673752.57142857,1142773.75757576,2530638.125,3013661.63043478,676096.941176471,2212930.83333333,2473762.66666667,4924923.71134021,2396364.68571429,2109891.11111111,4005203.57142857,587452.45,1346572.85714286,1211244.6,391541.684210526,3448890.40909091,1017731.64705882,7151207.52688172,4194255.36708861,0,6677545.88659794,2041215.68181818,2073776.93023256,6709048.33076923,0,2944553.41463415,343565.454545455,4231791.51612903,11916697.7068966,1346701.2,304809,4861874.78947368,3447798.66666667,1174563.65,2686999.5,247150,156682164.613035,23389321.0828877,34183982.5519126,61821709.3236515,35245136.5316901,5084477.74766355,18445150.4719101,23136508.4233766,11048102,30559609.2592593,11891196.2918919,19166491.4197952,11292538.3818898,23181965.2738854
