Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,3118071.4443062,2380477.24232607,1972487.54044188,13525822.3411879,2227323.14904023,978386.963871391,322806.71537248,6233176.93781618,4202534.4836334,723236.147746296,3854227.19130397,2693803.42868651,1087718.42733549,1311889.1395163,2674744.99408683,2728886.29172636,534055.486849178,1690633.82577759,1220617.58213129,3962056.10836523,1779090.49583936,2146082.32240318,2372130.28297788,490591.634351395,644908.405492132,944612.931118473,587740.693828262,1698321.50832504,966625.155714658,5415842.96037288,3842586.51268473,253067.139124431,4376390.5396662,2023997.29278507,1897814.1613725,5258046.5163147,277585.295158759,2155796.62787531,318835.653009728,2967363.96540795,9321076.33481181,1090099.87499718,313318.298580245,3333209.83782513,2302286.42203232,1268980.7922333,2030079.39528236,302427.771876131,117821864.262982,16283915.3054317,24684196.2065996,50002435.9191874,26851316.8317631,3911704.32041913,12372210.9850126,16916556.6633043,7767639.54329532,23049725.7332181,10906262.7262042,16046447.4597651,9125393.90717043,17725922.9245927
2000,2,2897910.33771077,2968317.5637856,1842399.26268288,15667707.5493218,2714960.34872579,657931.568254557,369015.251244101,9307613.93802542,5347040.35122124,751387.345524566,5349315.1859393,3652730.84334046,1458559.59063771,1575426.10545261,2841328.06890832,2827253.39078415,617607.390265681,2455560.10220511,264086.009677361,5265423.41054262,2136737.90386818,1997889.27844425,3396021.24759754,622053.862693253,868357.250124812,1097631.44353624,524292.788850017,2432215.87126994,1081013.74641226,6144437.41409496,4841727.90049445,319614.200582064,6273595.19100277,2124569.15795063,1908091.73803974,6531358.91692945,162862.523034975,2556191.95720435,400400.862317978,3728821.31035023,11726395.5076401,1240425.28868777,277612.528125566,4172131.80884395,2968056.31498903,1291186.41755067,2882771.572026,328045.325700729,142866082.942612,17612405.0105025,33578953.363432,60327034.0412606,31347690.5274168,2504392.80820816,15108012.2022944,23423836.2028512,10155117.1605809,30340467.7267893,11465948.9954136,18520617.3190578,10803834.9250662,20543855.6023506
2000,3,3034971.11128932,3130949.66390421,2037433.53823105,18065489.0973744,3326622.71749957,943361.977589981,323560.740717141,8380407.9439249,5024546.98198778,937055.571523755,6020209.5833024,3561623.91747517,1681387.88837049,1816595.45143168,2967705.36152948,2906982.1179193,741660.342479828,2116397.80719338,1088616.76950229,5227045.7984199,2401958.21368115,2156074.7827348,3325364.24056684,698794.045211765,993778.225381225,1191146.84944057,590140.432647175,2082365.14749764,1209903.24320106,6870504.27097365,4649296.00400553,364056.669757191,5703083.04386618,2451967.3644803,2256495.83003858,5892651.25907771,266752.099709759,2478119.07416442,527760.454578485,3633440.19334034,12661273.8355164,1450646.73114782,330871.101171228,3833744.15694097,3331452.0454478,1286108.27792578,2786693.24140592,373486.306898046,149130551.522474,18806923.4006493,34409556.7282366,59942029.2919008,35972042.1016876,3961402.72310026,14845520.677549,23298655.5844696,11110901.1437671,28092180.9868599,11792191.4488939,20057656.856147,12318605.1288268,23653436.9728608
2000,4,3138889.06496425,2676006.41183371,2055219.53415316,17927449.3545104,2901379.15273291,1673733.18115915,474282.635132665,9209380.0158563,5705331.41814659,882810.119032137,6420000.12242736,3591741.56747659,1517384.30601393,1737637.80713812,2990279.81858527,3130784.36159488,733172.802823305,3047544.36784197,2726299.86023533,5068417.05897172,3020805.02535689,2214979.27509309,3492905.00533771,708701.238994365,863037.329325484,1177071.75622501,674300.446058517,4002237.26956622,1173429.61786918,9327853.78467432,5644122.62203481,409507.713856992,6747490.8872328,2311689.14104101,2163448.07057622,8078669.37515482,504841.641316059,2790790.00462034,446498.26513695,4056376.35660166,13085105.0712507,1386729.7733621,352925.541035838,4885205.8539057,3087451.82538953,1496424.20788836,2898584.1772812,363287.09885165,164972211.335667,28074033.9020236,36214009.2655557,66236403.7487108,34447764.4193772,6665273.47262821,21408760.4293954,24726233.8133897,11487775.4521661,33253081.1254267,12400524.5152443,20582798.1080398,11269415.1689011,23178349.2504761
2000,5,2721317.34170353,2672640.99456486,1771698.16978892,15838040.5557446,2285468.36480226,634663.687628679,264430.905789988,8201324.37772951,4693104.64237992,732402.60460656,5820119.91125592,3866011.08458687,1286891.61940366,1419797.10784151,2958882.1877011,2753533.42210643,521669.326394277,1752485.91227658,857007.172971152,4750330.65285582,2417766.35360621,1906488.85913854,2923948.33224615,590466.38369264,724715.495220795,1034212.04724547,481505.700365948,1454200.05322489,1018160.69668076,5370460.5160595,4443133.6222375,371069.465182075,5528826.34266623,2126577.99445368,1942627.54782466,5727295.03792676,206510.423059075,2291367.59349584,376116.021060137,3738714.44437187,12113152.6883256,1056894.98077934,260849.097081467,3528648.35567145,2915785.87460338,1240967.01727101,2472890.81078231,281647.395370923,134346819.191776,15514161.0147117,31958483.1967077,56505827.5344414,30368347.4459155,2962205.4075006,12551955.6072111,22438178.8021472,9520304.39456053,26415462.4268518,11325402.832915,18764962.2746746,9671893.46774282,20696453.9781727
2000,6,2845238.12381347,3372516.36920987,1961461.82781307,17931844.6718472,2676893.59370278,1502626.36410273,426161.365112651,9390758.3105619,5496804.09939959,870787.771966028,6642933.4988479,3431495.6676492,1638266.27834118,1592911.46924918,2758866.96334693,3061619.35864295,791921.295556408,2806024.12682682,2302004.58301699,5338922.8309791,2628048.03892103,2094988.47818432,3537073.539854,675517.805957903,859356.542915652,1218225.68432466,698192.432560517,3451443.63346776,1198904.55438243,8370876.0890911,5155425.87580448,365554.086243656,6089811.27018195,2261444.23100852,2160784.80666951,7241245.93166278,447866.158608662,2605531.01027797,445938.930974169,4024905.80500405,13428403.0996626,1373342.04093345,364401.928909897,4213621.65597924,3058715.30976274,1267934.3090217,2922855.13415459,333312.860928386,159333779.815434,25170578.4169768,35493167.2883116,63799188.6404603,34870845.469685,6107012.7627552,19063565.6542216,24426018.4018128,11067148.8864989,31362260.7529844,11723999.3703488,20712928.5171271,11719500.6814055,23151344.7882795
2000,7,3025677.23094347,3309768.9429168,1866922.5249332,17072431.3733565,2482401.66857424,1615085.15941928,398746.527473238,10275102.8560749,5723177.92912463,864329.322057335,6681056.84263727,3985631.497152,1710388.58827757,1592111.35724395,3036933.55974603,2777422.48295348,734316.211837366,2634764.92171489,2615626.40579283,5391397.16231805,2602475.00040499,2023380.14080807,3656984.6497608,682939.503378405,994075.257963638,1078821.3865097,647282.889826297,3415286.31566808,1203720.74140438,9166056.31969014,5468232.81970668,397834.505430241,6805639.71327594,2150594.46728269,2175998.19403008,7158236.51066912,482568.598838165,2584872.47472771,478140.161017592,4126919.79409003,12915412.9083636,1275791.78852913,327060.233555876,4558354.8228129,3245396.44657792,1338971.91037219,2991099.36011122,306350.221624989,162051789.700978,26161518.6452972,37286834.0955933,64905487.3711277,33697949.5889594,6421939.49926982,19739579.1460273,25854824.5754945,11432009.5200988,32982224.2620071,12212910.7255876,19710352.383533,11204123.574995,22493826.0139645
2000,8,2906793.06408591,3092959.84677407,1789587.50447158,19303537.0468547,2687942.95769342,1210147.15598513,417060.655003858,9665385.70258807,5302567.53597624,760567.544537015,5964291.54107079,3223237.62834002,1373176.99983695,1599519.09775776,2619631.31759618,2834712.92927926,704606.40541296,2826409.20423257,2245760.2822175,5330904.27327624,2870569.22994788,1952017.58333884,3217208.89966444,621207.532401941,990824.134956389,1169557.6243745,612296.869692246,2745547.78967971,1095202.61629912,7349611.48948852,4951346.50117051,404181.798305946,5637941.23146749,2160680.99700351,2083694.50576276,6771827.60964059,405449.242129334,2421407.67715492,511458.069548269,3486097.83941485,13405387.6330779,1222710.26507845,290605.395012028,4751790.5190344,3223243.49310672,1330949.94515715,2855973.30802827,320574.770794737,154718163.263722,22335852.239258,33979286.2122004,62821826.6085858,35581198.2036775,5468865.3504492,16866986.8888088,23012347.9821828,10966938.2300176,31666917.7403177,10964539.8044358,20190369.0638322,10970723.1579532,24610475.0457242
2000,9,2777267.59792289,2570457.31934555,1778972.33059789,16234318.238703,2428244.03659292,977880.097624431,220642.485420737,8614123.38504602,4959895.21835307,830753.446442226,5286269.55569671,3167545.79320414,1348524.82174343,1463035.06548301,2747875.51183851,2754777.75773772,706256.000536492,1425442.43438748,1691547.20868034,4588829.60879046,2373730.18026074,1995023.80601998,3207868.58668211,627124.377720295,854474.309708053,1084565.16134199,667143.668001139,1621981.61914973,1007163.94822042,6363442.80501575,4353431.39958415,393059.070608901,5763988.43575873,1983738.0591098,1949964.65806084,5395648.23941379,317140.075797576,2415872.57605642,497155.635933326,3698505.68729696,10870191.6277904,1163776.43256473,350045.642790249,3137650.36622605,3043522.30542489,1131751.81290281,2528895.31241033,322070.658964615,135691584.372962,18091085.3570095,31473376.37628,54865162.0562909,31261960.5833814,4710012.69343023,13381072.6635793,21335528.7058604,10137847.6704196,26258809.6779767,11218672.6030783,17387679.7752358,10034155.3811927,21227805.2021887
2000,10,2968115.33481739,2257756.375,1913277.14209183,11329325.6553373,1821861.47550607,1364710.8,262124.333071209,5121547.33769404,5142064.375,721905.55613308,3784309.86848399,3411444.96,1171626.8,979520.364615884,1518382.875,2794928.125,589417.846743264,2186896.353566,334794.947703216,4190505.2673484,2055705.00164456,2136264.75,2699803.89179637,301257.666365409,952122.22298392,807496.4,826588.000413294,1053827.625,1214136.00060707,5344250.625,4310194.13063946,321011.5,5681771.5,1727182.5,2858089.99885676,3708429.59162719,300076.571728648,1448720.28,755844,1711115.7,10643925.7147878,448900.4,487694.4,1658023.96429806,2312809.04450618,722808.4,2845058.29569823,0,113197623.969065,14009790.4082156,28848723.6725714,46265571.3159658,24073538.5723119,3903282.56658842,10106507.8416272,19913089.8915306,8935633.78104074,20852379.1742688,8333878.65981739,17079313.4818796,7573313.87361163,16500224.6987003
2000,11,2296664.61544985,2367662.84000225,1771668.67399344,13373585.7981606,2170632.29492237,379582.555737359,283352.548178261,6690854.53358436,4644811.48000789,743181.303416562,4418463.1370104,2269532.95460001,1164051.9817889,1248658.46712543,2413346.56838607,2561052.53037925,577859.123241778,1732803.4098748,272896.353218071,3450421.84036756,1725699.48769764,1812066.01655111,2953270.46563581,623975.576037029,743103.813088237,881513.911424312,363534.69107293,1938671.25225266,943258.610462095,3971622.11110304,3546642.81992496,269948.056432013,4716528.39160452,1780103.45751173,1699449.75908988,4905919.18746575,143882.887879659,2091471.10612635,425029.291311591,3189641.8096783,9117470.87187001,1017682.81060371,216080.323419799,3301998.28392263,2460447.43774725,1204268.54416917,2150242.26764027,254117.016732118,113278723.2679,12770048.485391,25534950.1543024,48438217.2696082,26535507.3585981,1953835.9345696,10816212.5508215,17005188.5912228,8529761.56307963,23496202.7257884,9711719.01006532,15230295.5337544,9002024.36360044,17533482.9949977
2000,12,2881775.69345731,2620115.52701698,1990754.33835638,15950994.3429753,2232130.70146272,853539.535806806,330384.711825569,7414967.32598242,4617358.66255665,722504.586135991,4581996.95819934,3088349.11933543,1414694.65751628,1505422.1805803,2759937.42511882,2793207.69349922,660351.108005295,2023732.67856394,1225910.91814082,4634051.94244777,1835657.30713459,2074791.54847227,3085797.22961014,549432.534636249,805888.300958861,913425.421831133,585776.992752792,1859915.80903784,965828.982750078,5835728.73880132,4131787.84989706,306362.084314349,5475157.25749398,2093276.77645493,1884019.91226277,5177528.86020826,278264.450735494,2194107.95358564,440883.776587377,3132247.45133618,10329237.9089347,980922.545623473,312354.025150651,3702676.33904767,2416032.20715228,1395450.00504653,2649404.73486237,286334.650506745,130000471.762169,16789370.4386393,29823665.5490408,53865694.3621353,29521741.4123537,3916197.03059185,12873173.4080474,20428960.0123389,9394705.5367019,25810465.5265055,10848752.1183846,17206476.7172453,9270694.94996337,20251046.4623904
