Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,7.69706545493868e-06,6.30125746774325e-06,-3.47187650160534e-07,-4.52051834772259e-06,5.06602719157088e-07,1.17990137584003e-06,4.45166448621099e-06,2.69135717273485e-06,1.10772465854485e-06,-6.16632380306755e-07,1.36857789799e-06,-1.11565336317675e-06,4.45519712500243e-07,1.50567655140404e-06,4.11171990027919e-07,2.5098212951201e-06,-1.1815974947668e-06,3.10140362179407e-06,3.00725577957764e-06,2.25773286649891e-06,4.68886158943874e-08,-1.46555249978585e-06,1.9014624735336e-07,2.76114385684267e-06,1.55208356079972e-06,4.56679448175206e-09,-1.00265755305029e-06,6.25956152255193e-06,2.52956218256212e-06,1.24230676777711e-06,3.50252381772357e-08,8.6551219571577e-07,2.33274794680209e-07,1.38969441947296e-07,1.5124031002563e-07,1.28851030985191e-06,-2.67431291672932e-07,-8.32149995436282e-07,2.12279946774931e-07,1.29261431141862e-06,8.1102552485936e-07,-6.32594608025123e-09,-1.71538654068908e-08,-1.01110470045288e-06,-3.2223225012109e-07,-2.82154366429975e-07,2.43758223166607e-07,1.65063780741866e-06,5.19327324436179e-07,-7.86672260003923e-08,8.52624375403829e-07,8.43193199210473e-07,-5.82830672122955e-07,-2.47694395007051e-07,7.9341580294022e-10,8.97719538447514e-07,6.1961329770753e-07,1.01520143151329e-06,2.91446994392568e-07,9.29419725513697e-07,1.27252994579513e-07,-1.19635371999096e-06
2000,2,4.83106734456782e-06,6.06404119950158e-06,7.47812996003382e-07,1.23628178290555e-06,1.97977399472421e-06,1.01133796882078e-06,1.38005953780277e-06,7.03122345728569e-07,-8.68029839639649e-07,1.15016197700256e-06,1.79312839165336e-06,9.49516106096531e-07,-1.22414258927101e-06,2.74343607686355e-06,1.14282722367875e-06,3.23404804564369e-06,-1.3761286275518e-07,-3.36913294331374e-06,8.22639532660988e-06,-1.42931750038541e-06,-2.644068862809e-07,1.35325351379681e-06,1.63510377727716e-06,-1.15493126637098e-06,1.3971449073107e-06,4.42863301178564e-06,1.90446062891879e-06,-1.23592408528719e-06,4.87290541749072e-07,7.43442912280316e-07,-6.62841292714829e-07,8.57944856967006e-07,7.97159616115711e-07,3.1680805318506e-07,6.80258107829603e-08,4.96534060370501e-07,-7.56804315667694e-07,5.42004288931072e-07,-5.33140799841937e-07,8.16342271913591e-09,5.92895368071595e-07,1.12755643249088e-09,2.34532141022799e-06,3.64589939506201e-07,1.20913398470641e-06,1.28209291134514e-06,6.62811043945249e-07,9.91925576143801e-07,5.08603112956204e-07,9.52575913919007e-07,6.38099191300438e-07,2.00271019788904e-07,7.53450555469472e-07,2.13641253043241e-06,5.44100926088546e-07,4.82297881062761e-07,9.53867847991783e-07,-1.35036336328609e-07,-2.42014471203314e-07,9.78659855458089e-07,1.02458397307862e-06,6.78067089259792e-07
2000,3,6.58984855757114e-06,1.05399331009525e-05,8.63032579714356e-07,-3.53869798364079e-06,-1.33602246140618e-06,-8.27208413396324e-07,-1.37790358136284e-07,1.48101057285826e-07,1.92278997162085e-06,-4.67547057612536e-07,-9.7310014622763e-07,9.81704307552523e-07,5.78453956716939e-09,-1.71699626633094e-06,-4.52056889851457e-07,8.06947903959612e-07,7.7035126449071e-07,4.93733753590575e-06,8.32911756086403e-07,1.62113478138162e-06,-3.74042351611264e-07,4.79777616188146e-06,2.9111952479975e-07,-6.5425868560483e-09,-3.21354442202074e-06,-1.80483065361774e-06,-1.40206025931074e-07,5.7015681744796e-06,-1.69408961412739e-06,2.39506289776725e-06,-1.38027193690773e-06,-1.49259245384749e-06,9.78862771794262e-08,-4.3020094979906e-07,-7.0275075030747e-07,1.53728041408835e-08,-3.71085798262325e-06,2.36446345802284e-06,7.1071246835294e-07,2.6805877453918e-07,-1.78044173935001e-07,-3.23542553342052e-07,-3.41516045701606e-07,2.33338108913549e-07,-1.48423222752263e-06,-5.17970288996512e-07,7.9743603339653e-07,-8.09382543812748e-07,2.15216148895832e-08,5.76570058003614e-07,8.89269859851451e-08,5.28905158691538e-07,-1.4388346283508e-06,-1.01845914315909e-07,7.04845663959465e-07,4.67909018432757e-07,-6.26639344072739e-07,7.93128170069419e-07,7.57884771727963e-07,-2.37747029542889e-08,-5.60460540675553e-07,-1.99033499311763e-06
2000,4,3.82300863510659e-06,8.96858837627158e-06,-1.54737225705896e-06,2.83486787999933e-06,-1.37674842910564e-06,-1.14218653654036e-06,-4.0456453694757e-06,-2.29842124055124e-06,-1.99932611364997e-06,-7.76089396299824e-07,-2.86262430645589e-06,2.38012090201138e-09,4.02468758615813e-08,-1.42336214775327e-06,4.85398338442773e-07,-1.66010464545043e-06,1.32860684316975e-06,-9.08503699631975e-07,-2.80203586332517e-06,1.68724054500007e-06,5.57226912298524e-07,-4.09834809464321e-06,-3.00580369166551e-07,-2.21218375295975e-06,-3.15174664710603e-07,-3.70541854305161e-06,1.44710428062722e-07,-2.70778283900994e-06,-3.59336025194436e-06,-8.36896001029463e-07,1.13386879512553e-06,-1.69962798149405e-07,-3.57561925570564e-07,-1.09757608340957e-06,-6.30795177801948e-07,-9.82301293158681e-07,2.74477478138129e-07,-2.64700879281009e-06,8.03044431636779e-07,-2.43708484089494e-06,-9.44249758536213e-07,1.04276210368363e-07,-5.09351941680239e-07,-1.48035676635044e-06,4.00671418243275e-07,-2.47869240148876e-06,-8.35041347257458e-07,-9.13663439074163e-07,-8.40175310659547e-07,-2.76516057142523e-08,-4.57963108591726e-07,-1.34838614730269e-06,-2.07410402873283e-07,3.87423548928425e-09,-1.37028968765646e-07,-5.8669002339992e-07,-1.35413716881017e-07,-1.37251967944238e-06,-1.67184441059429e-06,-1.12435345924284e-06,-1.18424544993506e-06,4.64837588160475e-07
2000,5,1.50662325821708e-05,1.0102366930279e-05,1.22806003930547e-06,2.58338227500359e-06,-3.26259592082114e-08,2.9439902431651e-06,-2.46849852730536e-06,-1.3367908350234e-06,1.40579747873791e-06,-2.34537745339107e-06,9.08972293658999e-08,-8.89574862491633e-07,8.74218765611799e-07,3.93431303070915e-07,-2.22874843747817e-06,-4.95462164766409e-07,6.16659700625668e-07,6.34490371232833e-07,-2.2050320362542e-06,-5.40051963343806e-07,-2.74736875289046e-07,2.98117272751383e-06,-1.85753909848494e-06,1.73766899160145e-07,-7.21115444335882e-07,-4.33307215150398e-07,1.1893754182732e-06,-3.57977418255782e-06,2.90656616124558e-06,-2.77733356867221e-08,5.13898883752373e-07,-8.89054581415731e-07,8.02993822470596e-08,1.92692280503215e-06,6.74413118228993e-09,-1.20445647357451e-06,8.50574784277052e-06,3.07847534138313e-06,-1.73906268270488e-07,-1.64845876964564e-06,-5.11151400793654e-07,2.72323082421678e-07,2.63550147841412e-06,1.57908056913245e-06,-3.48810852643448e-07,6.84211969087673e-07,-6.46091335985599e-07,-1.27780276210684e-06,1.97007195915191e-07,4.75742148047601e-07,-4.26024575833751e-07,2.71499390836366e-07,7.00356687328172e-07,1.84038193265758e-06,1.36231366880054e-07,-3.30307788701989e-07,-6.7544831879247e-07,4.13949006998429e-07,4.28957876303299e-07,-6.83819886554717e-08,4.70796815460474e-07,9.15249872944569e-07
2000,6,9.48953965364835e-06,8.00589146030616e-06,-1.37280457063905e-06,3.7141581955098e-06,6.14068259884732e-07,-2.55943606663494e-06,1.04113709511089e-06,-5.72384926587103e-07,3.09463479842204e-07,1.19188453765603e-06,-1.7191824224733e-06,-5.54813954999922e-07,2.78268129590468e-07,-1.90003157125905e-06,-5.19769926729848e-07,-3.59408839374247e-06,-1.29211627488644e-06,-3.29829919696915e-06,-3.08235539430545e-06,-9.07324460926918e-07,3.14729225494999e-07,2.30953749178534e-07,-1.4910587932311e-06,1.27448604560312e-06,6.52954294133867e-06,2.23715960701791e-06,-1.38692921121638e-06,-2.86730177248451e-06,-1.00091785205948e-06,-2.09995675359461e-06,1.14040621872623e-06,-1.47338212341173e-06,-1.11672658916669e-07,2.50197416995053e-07,3.92871303369496e-07,-1.49635141005057e-06,-1.35920612154433e-06,5.92592570346948e-09,-2.89288187071927e-07,-2.65839957121111e-07,-1.60952664576065e-07,1.0648191620326e-06,-1.62615924581363e-06,-1.33091177550324e-07,-3.68140197071808e-07,1.71577705402299e-07,-2.00186762884048e-07,-1.69693408684265e-06,-1.67725598854078e-07,-1.25076769577521e-06,-6.19183800213861e-07,-2.58433051935526e-07,1.38803224003874e-06,-1.4597200506566e-06,-1.24266289783151e-06,-7.52685283158817e-07,-1.96327563734318e-07,-1.24252498829135e-07,1.86270343450253e-07,-7.06357623772393e-07,7.59737956629355e-07,1.84397733783441e-06
2000,7,9.91513559119635e-06,8.15766915022344e-06,1.1330077028774e-06,3.19965410567596e-06,8.22782868168527e-07,1.04970879479697e-07,2.35930055015917e-07,1.70160948599847e-07,-8.8450474037535e-07,2.92176019456266e-06,8.30210949364839e-07,5.36034293411696e-07,-9.47645152085169e-07,-1.93347720631099e-06,-5.11812190654167e-07,-2.49728092699499e-06,1.05223802508306e-06,-4.07822540850344e-07,-6.64139522489134e-06,-3.26957722166234e-06,-5.75490951704078e-07,-1.24015003034907e-06,-1.59121341718609e-06,-3.0278215085165e-06,-2.30973929490235e-06,-1.58364620283704e-06,-2.09002818780537e-07,-1.03819133773506e-05,-9.9597428566718e-07,-2.93651977934545e-06,-9.02582838735578e-07,3.69381778193914e-07,-2.75884553366291e-07,1.2245131435368e-07,-2.42746048889662e-07,8.60373162967377e-07,-6.91922101012364e-06,-2.55828259608238e-06,-6.37165417336833e-07,-2.71756081201817e-06,-8.77946381376746e-07,-2.49019798969567e-07,-2.83763592588494e-06,6.13037382375474e-08,1.05636412299851e-07,-6.66159170484189e-07,6.43968990707499e-07,2.95117002259691e-06,-5.88343896429904e-07,-1.49855518353175e-07,-7.42859213108975e-07,-7.26414678739246e-07,-1.05154574124221e-07,-9.00037036102419e-07,1.74054217743034e-07,-4.69877284688561e-07,-1.26175518516064e-06,-5.76981279560671e-07,-8.79890272671187e-07,-8.54815664374707e-07,-2.35498071411728e-07,2.34435039304193e-07
2000,8,1.20407608069639e-05,7.11292777465113e-06,-5.56504802780807e-07,-1.67124023648758e-06,-1.98891985573991e-06,3.86263750761339e-07,-6.67332863625962e-06,-1.95182079078725e-06,-2.3405784214672e-07,1.25129155953625e-06,-1.34389612328127e-06,6.06924628064898e-07,-1.61063412194991e-07,-1.84179654491013e-06,3.19747019327115e-07,-2.48693174393291e-06,-9.22562479040719e-07,-3.82242145430977e-06,-7.83845015406385e-06,-2.31862304684071e-06,1.55678987593863e-08,-2.38958276514692e-06,-3.90670835699656e-07,1.02555951432435e-06,-9.22513804018291e-07,-3.6989216733014e-07,-1.66412032702541e-06,-1.41461283445609e-06,-7.1632485795549e-07,-7.87257797430011e-07,-2.05179099316721e-07,6.97701195354731e-07,-1.12809202641817e-06,-1.14824505351412e-06,-1.39290871264351e-07,-1.01040486819896e-06,1.17184046651743e-06,-1.11622477457942e-06,-7.56172811482865e-07,-4.86927755882144e-07,-2.21522632514847e-07,4.11160593517536e-07,-9.04498499907629e-07,-1.09428350498719e-06,-1.13808641895801e-06,3.56412760849847e-07,-7.38721868298712e-07,-5.06570604341664e-07,-7.97586381049293e-07,-1.89454011248992e-06,-9.26976573801577e-07,-8.55948583052182e-07,-2.72352973306657e-07,-2.47866866030652e-06,-1.6242841669701e-06,-1.05306387139694e-06,-6.25598994828766e-07,-1.14207909031575e-06,-2.8091813636627e-07,-7.30979075788628e-07,-4.51208288173242e-07,-3.20795877141102e-07
2000,9,9.7217855492907e-06,4.2793941440742e-06,-1.43589707324157e-06,2.12490212252188e-06,-4.85452941974031e-07,2.59670795576385e-07,4.24263568990264e-06,-1.409942492849e-06,-2.24229318461627e-06,-7.69188688909584e-07,1.3580198710832e-06,2.8373791448714e-06,-3.78198155004437e-07,1.11548266077072e-06,1.25249584128371e-06,-2.00381663763346e-06,-2.35936067278541e-07,3.86116509317125e-06,-6.91074931880965e-06,-4.07991869711747e-07,4.78376308703281e-07,-4.85447000351272e-06,6.32922014950993e-07,-1.45491257276939e-06,-3.51773420987595e-06,-1.04183999976232e-06,-1.07634915082356e-06,-5.24834307715188e-06,-1.07894798208372e-06,-1.06514699491517e-06,1.4159581753293e-06,9.6450606214872e-09,-5.72467887985365e-07,-1.09323845735759e-06,1.75256863984052e-06,8.22000932348161e-07,-2.06330600631574e-06,-3.86696756678487e-07,9.85917443137118e-07,7.38965557097108e-07,1.02832902867364e-06,-1.09103904185218e-06,1.6217472741994e-06,8.79566858116458e-07,1.92607746983984e-06,1.34773704359233e-06,-1.4623561546976e-07,-1.81939569489611e-06,-1.84577331417923e-08,2.75871203748176e-07,3.44182447480468e-07,-1.70136326901229e-07,-1.15540769933975e-07,-4.87013817145578e-07,6.81829465338334e-07,4.1566723721748e-07,1.77547219125008e-07,-3.72167812228974e-07,-7.7934780347968e-08,7.46483863019173e-08,-1.65093296897201e-06,7.87127097488634e-07
2000,10,7.07519675993049e-06,1.28446099504425e-05,1.15711877590814e-06,-2.31377505715381e-06,-3.73985832227246e-07,-2.50719185530984e-06,1.78941451781564e-06,2.00841021746984e-06,-4.11079895340262e-07,-2.18915669498262e-06,1.3426523739781e-06,-2.05925643436134e-06,1.14101660320803e-06,2.08625888004835e-06,1.03986467854935e-06,2.37758771652039e-06,-5.91731713808643e-07,-2.97966128561955e-06,5.16742983325299e-06,-5.34175441799221e-07,-1.00183935910671e-06,1.95363692022754e-06,3.67510636959451e-06,3.19245198264503e-06,-1.30447074512118e-06,3.76401784277116e-06,1.96498528347292e-06,6.91082694438165e-06,1.14809364723496e-06,4.99019746344333e-07,-1.25280177942041e-08,6.79340739544464e-07,6.1225425647334e-07,1.81620617478443e-06,3.56054121049195e-07,1.00640042567084e-07,3.34848080195292e-06,3.9688369227829e-06,-7.86934085024332e-07,9.63940702814496e-06,5.29608296395987e-07,-1.01237539594913e-06,-2.91439203578425e-06,2.90127273326118e-06,1.10960175387391e-06,3.55708727846326e-06,-6.82053559294992e-07,NaN,8.50183882967025e-07,-5.46133834015417e-07,1.64390048583685e-07,1.3869701296302e-06,8.8083431232898e-07,-1.01610192330025e-06,-1.07109332403878e-07,-3.23541998400966e-07,1.04514871776479e-06,1.12142315919873e-06,2.6889955087754e-06,1.05252709157364e-06,1.46108496862692e-06,3.2646552381932e-07
