Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,1.34698645461427e-05,2.01640238967784e-05,-9.24735972246415e-07,-4.90056588233719e-06,1.61913930897952e-06,-5.71726024966955e-08,-2.49606721550491e-07,3.37771532160296e-06,-5.62832219936342e-07,2.28588578404572e-06,-5.77520930016076e-07,1.75848852852071e-06,4.26805468343021e-06,1.14819284456004e-06,1.13424521656615e-06,-1.54489377438449e-06,-3.69927887925884e-06,9.80699985336249e-07,-1.12489635970245e-05,1.47035174854105e-06,5.42941893069774e-07,-1.57462151415527e-06,5.39364776391528e-06,1.20007320268776e-05,4.51425890564483e-06,1.11123804559061e-06,-2.17429871046031e-06,4.47963774983645e-06,9.74887309443744e-07,-1.07081122926298e-07,-2.07451675592761e-09,-1.44291561229542e-06,2.33682967985568e-06,1.15305740740169e-06,-2.44868558360181e-06,-2.27045305355999e-07,2.08339421755103e-06,3.39278205737937e-06,-1.98257761489393e-06,3.41918017661838e-07,-4.2870974347745e-07,-1.68054388108731e-06,1.49243668834946e-06,1.58126346368606e-06,2.02353527071742e-06,-2.46009335752441e-07,2.61915681329891e-06,-5.02645468814187e-06,5.93016361933771e-07,-2.02130035399365e-06,1.99606115831065e-06,6.02237999968192e-07,-1.67385411948616e-07,-5.70515972870671e-06,-1.11736510931547e-06,1.52579236782013e-06,2.92852393625226e-06,1.47222498547016e-06,2.67053202529765e-07,-5.10220924977856e-07,1.2550330061204e-06,-1.1084458660955e-06
2000,2,1.24227446003173e-05,1.41494294655037e-05,-7.76936472567675e-08,1.91367081399202e-06,2.30654071376207e-06,3.42336234179993e-06,-2.67359504819493e-06,2.40031440016742e-08,-4.64536588112848e-07,2.77813016015674e-06,6.20834833149347e-07,1.18672010108825e-06,-4.60541616773839e-07,2.96556664005098e-06,2.66317450231679e-06,7.39460564870376e-07,1.57315059275045e-06,-1.01741076981348e-06,9.40606080450082e-07,5.92743138331495e-07,-6.62563512020076e-07,1.03346801154789e-06,-6.94201325913254e-07,-4.14262015572531e-06,-4.70758152943095e-07,-2.84090633246591e-06,2.05852826104954e-06,-2.98287028657433e-06,5.6354214737846e-07,3.8301341307042e-07,-1.0766772234633e-06,-2.36144308758964e-06,-9.10836570536655e-07,2.69260423911059e-06,5.30241134144709e-07,-5.22908462691742e-07,-2.45731017214684e-06,5.50653864229186e-08,-8.83330763987795e-07,-2.06022515877626e-06,3.85747505007198e-07,-1.11262514981695e-07,7.29153423521842e-07,-1.09344510826671e-06,-6.76165336463208e-07,3.2615254532228e-08,-1.69977764676557e-06,5.62202165902328e-06,3.04127104490936e-07,4.22924896379338e-07,1.24351806859927e-08,4.38052352403735e-08,1.08464882976259e-06,4.06299703722525e-06,-2.59252304689104e-07,6.32534288668263e-08,-6.58655689587982e-08,-4.60851348614074e-07,1.77384558616617e-07,6.84272095612887e-07,1.42971785995791e-06,9.18596443128131e-07
2000,3,1.28502046872637e-05,1.02205411888024e-05,2.69306401051358e-07,-1.54381086588507e-06,-1.54243432032599e-06,3.08968928478721e-06,1.11813715521788e-05,-2.29281154961615e-06,3.58425877804543e-07,-1.09048215650299e-07,-3.86119849556947e-07,-4.72489336570191e-07,-6.15087332079992e-07,1.91247028851713e-06,-2.98013550240892e-07,2.06933603723461e-06,-2.0436140712593e-07,-1.82921561732261e-06,-4.17707473517674e-06,-1.59303843791716e-06,1.44778080774039e-06,3.82583728991378e-06,-2.43346498754728e-06,2.73069188506833e-06,-6.01075645395597e-06,-3.11594166843653e-08,1.50500776665265e-06,6.82805483847645e-06,-2.26015380798367e-06,1.52802282394668e-06,4.2067617093164e-07,1.57051354711174e-06,1.68482240184369e-06,7.5002855344374e-07,-3.73594375571353e-06,4.32218671776474e-06,6.67399620173418e-06,-4.26446250128781e-08,-2.36926411751983e-06,2.39538507324021e-06,-3.10596545542775e-07,8.62591346205279e-07,-4.36566169498021e-06,1.97215653795499e-06,1.08295053712524e-07,3.96499861108476e-06,1.91560236918253e-07,-4.12835856978413e-07,2.9804655972718e-07,2.12493682648614e-06,-2.90767998916782e-07,2.71639735107316e-07,-7.11851339877144e-07,2.72659504746384e-07,2.50033488873248e-06,-1.143277129472e-07,-7.31709487818551e-07,-8.39066191301667e-08,1.23558541945529e-06,2.29533585354985e-07,-1.72563902421593e-06,-3.30358928010631e-07
2000,4,1.33805302228731e-05,1.71897943878539e-05,-1.42077073001763e-06,2.72957580248525e-06,-1.27461931715737e-06,-4.6663833409483e-06,-5.88166849590123e-06,-1.44281766318938e-06,-3.04763482529965e-07,-8.04428343453478e-07,-1.12683520815126e-06,-1.05715816596041e-06,-1.0790927395632e-06,-3.62040164418593e-06,-1.4243244398372e-06,-1.07748270328807e-07,-1.35749090408979e-06,-3.98996449695738e-07,-2.44154506366913e-06,9.43194808270932e-07,3.35285857452426e-07,-1.931088594767e-06,-4.13984141998185e-06,-9.64219028967174e-06,4.05129630323481e-07,-3.81933844161537e-07,4.42777809907222e-06,-3.5123734381362e-06,2.19011896356505e-08,-6.2575819577654e-07,-8.52862536927503e-07,2.65105486017896e-06,-6.25334827783887e-07,-3.77638622432712e-06,6.09991687035659e-07,-1.62846939898963e-06,9.67540824062904e-07,-4.646316516035e-06,-4.22132339605548e-06,-2.59653189467951e-06,-8.37982906081835e-08,-6.16350583045016e-06,-1.28266055092734e-06,-4.39407684835342e-06,1.31745456009344e-07,-4.49554248528285e-06,-1.96707519825883e-07,-3.00905161502735e-06,-1.08991578958998e-06,-3.85895583082738e-08,-9.93526011840978e-07,-1.23881480238759e-06,-6.14203907558129e-07,1.6639664852693e-06,-3.03330834619533e-07,-5.24078340766946e-07,-1.96914368733899e-06,-1.81834238003512e-06,-8.68695141626367e-07,-6.21673787897866e-07,-1.27214962090137e-06,-7.46338515713459e-08
2000,5,1.17590107958406e-05,1.49664695263392e-05,3.71798220308098e-06,1.36942984750869e-06,1.21488397784481e-06,1.87922556379671e-06,8.3635866565918e-06,4.29575716615605e-08,1.45802644480898e-06,-4.35668185761627e-06,1.7334978867698e-06,-3.31786706870514e-06,-9.07370335791445e-07,-9.72874191075164e-07,-3.25921871702795e-06,1.12504879663582e-06,-7.42633726321127e-07,-1.57165986982058e-07,5.71094834701095e-06,-1.32160843429163e-06,-5.81622539873605e-07,4.98271114875654e-08,5.12273278250531e-07,3.30978288353846e-06,-5.07116635136506e-07,2.66375698449137e-06,-2.17340972159166e-06,-1.85158615837226e-07,3.6345331804214e-06,4.99802588438016e-07,4.975507088468e-08,1.15424296535233e-06,-1.70988825624528e-06,1.00000619622596e-06,4.20238271847179e-06,1.04221611257341e-06,-1.43983077100251e-06,2.38820752379428e-06,7.34528538876874e-06,6.92696321168951e-07,8.30946772250631e-07,5.75192185682504e-06,1.11905476577054e-07,-2.07650941959634e-07,-1.99539126425221e-06,5.22090540534582e-07,8.46670804956599e-07,5.17457897654238e-06,2.94576842056078e-07,1.55838925491216e-06,-5.39264944158551e-07,4.58551932167003e-07,4.24003126605355e-07,7.43276471158216e-07,1.61852513861149e-06,-6.83585065065283e-07,-9.08183411401022e-08,5.28688725193564e-07,-9.25601020400879e-07,1.17466471653169e-06,1.53216573947706e-06,5.14172623910939e-08
2000,6,1.58158994227473e-05,1.69013264162019e-05,-1.78448155175158e-06,1.66366889758361e-06,-2.43591170042852e-06,1.04970337207343e-06,-6.31743907171092e-06,3.23274499465293e-08,1.01742248746328e-06,-1.48476226878214e-06,-2.21832073460901e-07,7.10794861330523e-07,-4.74015688552329e-07,-3.17298884660549e-06,-8.95035105370043e-07,-3.68958138573669e-06,3.16132041432694e-06,-1.31045907533725e-06,2.09720147756452e-06,-6.85554963404981e-07,-1.45389772610972e-06,5.83425596873527e-08,7.87538291541474e-07,-2.2645421493579e-06,2.24744986242921e-06,-4.71938364612567e-06,-2.80564884736877e-06,-3.36175141982094e-06,3.95519622935851e-06,6.23574941767723e-07,4.08117886101387e-08,-9.41108970356201e-07,2.053849732405e-07,-3.52310859209791e-06,1.65669658130275e-06,-2.88679363032395e-06,-5.48807214093636e-06,-3.2913983170254e-06,7.28885863245871e-06,3.19326033610305e-06,2.44507856202929e-07,1.8851750706881e-07,5.05177413247429e-06,-2.44678621143803e-07,-1.20510373902653e-07,1.16158975497642e-06,-9.48518450648728e-07,7.08909793635889e-07,-2.39055090152108e-07,-3.19072844593293e-07,-2.11755119708582e-07,-1.60756614056235e-07,2.12203581986776e-07,1.67499638052353e-06,-8.25019025160722e-07,-2.04085691310267e-07,-2.1099931316821e-07,-2.26542201626427e-07,1.39248605813501e-06,-9.48443579900144e-07,1.29864450018164e-07,2.52219849855137e-07
2000,7,1.02456401109029e-05,1.45025229337306e-05,9.24453525542447e-07,4.73391318975574e-06,1.65541083444268e-07,-2.22288901805756e-06,5.21184665767014e-06,-9.83580835832502e-07,-1.2755717161031e-06,-5.73998287523853e-06,9.69529355704202e-07,-1.50239602961384e-06,-4.36262689115807e-06,-2.06462400569284e-06,-3.43530469211584e-06,-1.10467714996782e-09,2.44185274243078e-06,2.67824495675718e-06,1.29093552326523e-05,-1.73210367185919e-07,2.0444914889087e-06,-1.28229710229681e-06,-1.09474004946092e-06,-1.2345405131925e-05,-1.27928583020327e-06,2.81055307686756e-06,2.19741821652466e-06,-8.99981379612273e-06,-7.49995303685381e-06,-9.9356778897317e-07,8.90022954908377e-07,3.86146127676169e-06,-2.19622733201098e-06,1.36268580922659e-07,2.93414285329407e-06,-2.07343956676057e-06,-7.3446091394225e-06,-3.09921571978958e-06,1.90159020282094e-07,-4.8175978906424e-06,1.23884321539637e-06,-3.98660998435126e-06,-3.41874699522541e-06,2.49472676024041e-07,-1.67024410055212e-06,-6.57314058932193e-07,-7.32397159319303e-07,7.76611264427891e-06,-5.2966401697231e-07,2.06677919019014e-07,-7.89480632517935e-07,-3.69297979976769e-07,-7.23702266065456e-08,2.98690752536881e-06,-5.81336590619465e-07,-7.13784863038773e-07,-9.13003577022799e-07,-2.08779920943568e-07,-2.96589902382613e-06,8.95751162728301e-07,-2.08382893583737e-06,1.1235211061167e-06
2000,8,1.27288042816475e-05,8.72950226889002e-06,6.82822417641873e-10,-2.77242299938395e-06,-2.29404290491922e-06,-6.78892868541281e-06,-1.24492320626577e-05,-8.98348865793344e-07,-9.8668806999861e-07,-3.90701553722691e-07,-7.97498105427391e-07,2.70915427348305e-06,1.7977742877694e-06,5.20419929852107e-08,6.90672682117872e-07,1.63220868794147e-06,-1.0066665201082e-06,-2.26563749024729e-06,-8.14119309120133e-06,-1.25426451574639e-06,-2.29957556101328e-06,-3.1652775929285e-07,-3.76195275705075e-07,-5.3744031196281e-06,-2.36104116356501e-07,-1.69800469805914e-06,-2.25574662456653e-06,-2.671837904373e-06,-3.80649411155831e-06,-2.18108907409344e-06,2.08227770372078e-07,-1.20313517133592e-06,8.73078317114548e-07,-2.71660790527986e-06,-2.53899599007191e-06,-1.91242250771414e-06,-2.44115135933465e-06,-1.2008441811077e-06,-6.78517517237454e-08,1.23211175364565e-06,-2.11590081695654e-06,3.0743175360714e-06,3.51587947780406e-06,-3.75281838670095e-06,1.03317888172872e-06,-3.39775352297849e-06,-2.08038970646981e-06,-3.85042497675615e-06,-1.14132390232494e-06,-3.0679949543025e-06,-2.45577338318478e-07,-1.12129260772771e-06,-1.32312228841894e-06,-6.08564656166255e-06,-2.68537637828549e-06,-1.26579149523215e-07,-5.62300689541961e-07,-1.47954860433294e-06,3.60342813861691e-07,-1.47046218456956e-06,-2.35486398408267e-06,-8.95085626473e-07
2000,9,1.1882182338022e-05,1.36162540947816e-05,-1.70539668454146e-07,3.36667501996538e-06,8.72531979410099e-08,-2.22346739968887e-06,-6.19913352417107e-07,-5.9463552620335e-07,-2.70322346541529e-07,3.8984676607685e-06,-2.87917954003286e-07,9.05471906413131e-07,-1.11203304437759e-06,8.27230566353605e-07,3.46195304075306e-07,-1.35632305008044e-06,3.03703467507577e-07,6.62688101862629e-06,-3.60951280262831e-06,2.12607929433728e-06,7.98193061355859e-07,8.64964966259846e-07,1.56755299140529e-06,-4.11440021254365e-06,1.83053279619814e-06,2.87824310190316e-06,-2.65260384012413e-06,-1.94045495989267e-06,2.15620460992871e-06,1.36208110690513e-07,2.99550129171869e-06,-2.25395887193787e-07,-2.16998213609009e-06,2.15596917083915e-06,2.84399531127846e-06,-6.1259808973054e-07,3.66598397397518e-06,3.71215613511285e-06,-1.95237574959209e-06,-2.98519710891707e-06,3.52769485348687e-07,-2.47501930620483e-07,3.57599457666472e-06,1.12447879161218e-06,5.44521822736761e-07,-2.33204689279254e-06,1.13312310538183e-06,-2.4399301856095e-06,4.92012550848029e-07,6.5949917370053e-07,2.54288862003796e-07,4.69413112743648e-07,1.06944028697298e-06,8.67514454252155e-07,6.78747440658683e-07,5.34129901174556e-08,6.8105078417549e-07,1.08467004769398e-06,-6.98763225438113e-07,2.50493067864042e-07,2.27140757429761e-07,1.53902258306634e-06
2000,10,1.11181663370336e-05,1.63879506264266e-05,-1.96330153654933e-07,-3.86074188615049e-06,2.56675912473347e-06,-2.04944276236217e-06,-1.51707146508565e-06,3.09040658276116e-06,8.51771515732527e-07,7.71024417708803e-06,1.95168926688476e-06,-2.7052046737963e-06,8.9272733029651e-07,3.27981896445172e-06,7.38293618937547e-06,6.09788863089757e-07,3.11158235197827e-06,-1.83927496372667e-06,1.69998928245253e-05,1.23331724654017e-07,-9.41589337711049e-07,1.06691417256511e-07,1.08135913407212e-06,2.4073625928448e-05,-1.18723735017246e-06,7.05023497609923e-06,-5.71347225819275e-06,1.01575819270912e-05,1.40829143200985e-06,-7.49652566816494e-07,-1.85711155008903e-06,-5.60517567294706e-06,-4.92745469751939e-07,2.71392646895658e-06,-2.94104937204766e-06,6.16484520510142e-06,-8.81666487978385e-07,7.81282484141411e-06,-1.93118912531458e-06,9.71856059519011e-06,-1.87296403753309e-06,1.80756231150187e-05,-8.22493243553153e-06,9.68279506448596e-06,8.40681426424546e-07,5.48556720626677e-06,-9.27172712420225e-07,-1.18182640264694e-05,1.08673633035819e-06,4.540319251154e-07,2.09249268285084e-08,1.25035591114279e-06,1.40289508277631e-06,-4.12749541637241e-06,1.60176295449827e-06,-1.33303861657883e-07,3.33349477198491e-07,1.96230994757899e-06,3.43193480310023e-06,-8.0613949370473e-07,4.74220077695956e-06,-2.28752274866747e-07
