Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,-2.50390743130355e-07,-3.25375361805302e-07,5.13049196549943e-07,-3.46406476955528e-07,7.31681401915758e-08,-1.7778613462838e-07,1.01245674605446e-06,-1.54759511934409e-07,1.7541715689052e-06,1.48488361015571e-07,-1.67172463447116e-07,1.12861666555283e-07,-1.9469523674564e-07,-3.20617677641123e-07,8.88324170578233e-07,2.87144453772201e-07,1.7011528839947e-07,9.07525517943757e-08,-6.424151218576e-07,1.25666687036742e-07,-2.17887392529248e-07,1.07167991841566e-06,3.04051465613065e-07,-1.94411679611492e-07,-4.76856008324285e-07,-3.47507216611513e-07,1.51116243164467e-06,9.98949318297444e-07,6.66717885194895e-08,2.868555582681e-07,8.78039653643832e-07,-7.63787259366793e-07,-4.93641416622099e-08,9.46687574298711e-09,2.58034103065755e-07,3.14711353954335e-08,2.09228873736556e-06,1.23063712597726e-06,1.86919481546379e-06,2.18865501227584e-07,2.84777037124223e-08,7.52615016330267e-07,1.5226137989205e-07,2.39315346434795e-07,9.71537387382284e-08,5.48788141561421e-07,1.57769755095396e-07,1.70208958218617e-06,2.03904994750979e-07,2.13052816017825e-07,8.94109637795974e-09,4.2376740025216e-07,-4.20561567217184e-08,1.44262894986913e-07,2.39337870046442e-07,2.07580230825383e-08,-1.28706522617829e-08,6.23136919188916e-07,4.18562529374509e-07,1.34029998662485e-07,6.17936713114343e-08,-1.11052067215561e-07
2000,2,6.15648034658139e-08,1.26752932208883e-07,-6.88162745694885e-07,-2.52288664537539e-08,7.44786727316789e-08,-3.85538704988758e-07,3.90653410732268e-07,-1.72355719731863e-07,-4.08133993314606e-07,-2.52579956216834e-07,2.99433121001763e-07,5.74615295865836e-09,6.58099881047664e-07,-2.6467033784737e-07,1.50482505602667e-07,1.12207047175942e-08,-7.91359849046322e-08,1.57283505129921e-07,-5.05501784268471e-07,-5.56358595560441e-08,-9.72759179493525e-08,-5.98385571668255e-07,-3.65649462128955e-07,-5.72153037306414e-07,3.4642654365564e-07,-1.48076260786241e-07,1.28262141025633e-07,-3.00910065760072e-07,-1.24953649507126e-07,-1.15680920381134e-07,2.684318850015e-07,1.6124227178812e-06,-1.9289266703022e-07,-9.41917662151384e-08,1.30556426930137e-07,-3.75899206611584e-07,1.08226681823225e-07,-2.20712603890019e-07,-3.8437206188056e-07,2.29662161759009e-07,-5.74889221870078e-08,-8.46594785517902e-08,4.90742016148046e-08,-1.33247304476925e-08,9.13181169916463e-08,-1.86549988887582e-07,1.28694941223302e-07,-8.55256391884642e-07,-6.10757456516156e-08,-1.97368228445204e-07,1.57776963183757e-08,-8.15092229985913e-08,-2.13811310437485e-08,-8.94657370894239e-08,-2.44694521427958e-07,3.25627227188138e-08,-1.39933876757818e-08,-9.86887673491301e-08,2.23559557396832e-08,-1.15778513836216e-07,-5.91266326970197e-08,-3.30128011755205e-09
2000,3,7.75507663826623e-08,-7.11670569526073e-08,1.94753376432926e-07,4.40647017841299e-09,-2.01049830170843e-07,-1.18041127966934e-07,-4.12306951481759e-07,1.58856302763651e-07,-2.22538075987324e-07,1.92243945266176e-07,-1.20461522580774e-07,-4.98586380869696e-08,-1.29834587182884e-07,6.8602823474921e-07,-1.49017528499989e-07,-4.63464571045436e-07,4.50167631056481e-07,3.06988908945113e-08,4.09759686023743e-08,-1.06478660320976e-07,4.2237699095669e-07,4.78916157063847e-07,-2.3820025669421e-07,-5.04078606056052e-07,3.07564264357892e-07,-1.42372968401332e-07,-5.4772593627856e-07,6.53265191002805e-08,-1.07054514221141e-07,-2.82375120671036e-07,-1.45455289652291e-07,-7.34914208473359e-07,-1.33404974543368e-08,-1.36336906170644e-07,-6.70747291857565e-08,-2.60904452804838e-07,8.87110013262718e-07,-4.09916660257804e-07,-1.62074068838029e-06,3.29655653271759e-09,7.8020971893877e-08,-1.20884379772638e-07,2.4967738592198e-07,-2.5559632354255e-08,3.25313572516124e-08,-2.28177121236515e-10,1.41661288623717e-07,-8.59125284058523e-07,-3.72362219868488e-08,-1.77125549854574e-07,-1.26910863341379e-08,-2.54246724674381e-08,-9.09172642580881e-09,-1.43450432277801e-08,-2.29342034891435e-07,-4.56401402328499e-08,5.2268915048785e-08,-6.852070190686e-08,6.78498844551526e-08,-2.33967370514149e-08,-1.47060512747314e-07,5.34292757068196e-08
2000,4,7.78911129957874e-08,1.37284949002461e-06,-7.24594315843684e-07,1.8445528505848e-07,-1.13475306372826e-07,-1.74367395158839e-07,5.89640721278522e-07,9.42212411733524e-08,-7.8834965200108e-07,-1.78214839655444e-07,-1.43804917025765e-09,-1.54061321483275e-07,-2.17352546294009e-07,-4.58094447338675e-07,-2.9599015736878e-07,1.34078606277318e-08,-4.38525050251366e-07,-2.4980736600282e-07,5.325874185444e-07,-3.87438226080811e-08,-6.23486540734266e-08,-5.74112938435363e-07,6.82215962224929e-08,4.42644888945114e-07,-2.70184797800503e-08,3.25637698805749e-07,-7.41911070445223e-07,-3.01020393969382e-07,-4.4942074794151e-07,-9.89885278985769e-08,-4.95483740218747e-07,1.45423041372289e-06,-4.65997976091747e-07,5.11698495144253e-08,-1.96634128486331e-07,-3.36510621432177e-08,-3.18819521935429e-07,-5.78011902743273e-07,1.35133932902434e-06,-1.26602730862958e-07,6.38150596895956e-08,-2.9988242916082e-07,-4.80994206942413e-07,-2.64515915135312e-07,-1.04807828534062e-07,-4.81024427967095e-07,-1.12601238648692e-07,-8.24729793251227e-07,-9.69782131260875e-08,-8.32898545060674e-08,-1.1927753357347e-07,-1.94433715820593e-07,1.22859427170185e-07,-1.80430395069034e-07,-6.08140838979365e-08,-1.75249792704756e-07,2.94277290304898e-09,-3.09302054406629e-07,-1.80009202484696e-07,-2.24653575581393e-08,2.42157078118271e-07,6.86592532804176e-08
2000,5,-4.35629420210167e-07,-4.4571895048687e-07,9.01387824502272e-07,8.84044100354343e-10,9.86960114574362e-09,7.26888888637917e-07,-8.01049789031665e-07,1.70962128688568e-07,-1.4016728075878e-07,1.36446177563702e-07,-1.35728180757016e-07,-4.17581347916635e-07,8.69685329484818e-08,6.60047951919075e-07,-6.93562589602395e-07,1.93954846089009e-08,-7.60540482623954e-08,1.92548328401403e-08,7.11673169019534e-08,3.43405904427489e-08,9.6798552482367e-08,-2.1451675043638e-07,9.18482463260143e-08,3.58753781850972e-07,-1.67537639950746e-07,7.48310617875383e-08,-2.19276121747231e-07,-2.72438603676466e-07,1.22085100605895e-06,5.54947074497685e-08,-3.58871136724238e-07,-6.66770758875012e-07,-7.3778248700211e-08,5.68693771254963e-07,-3.38254709009922e-07,-1.01823055237184e-07,-1.29838298156795e-06,-5.51146276767326e-07,1.28596014913571e-07,-7.71764093375996e-08,-6.21557718632323e-08,2.76018651762337e-08,8.88957707749517e-09,3.0893919386952e-07,6.87242521662944e-08,-4.04573784236623e-07,2.06229232138829e-08,-8.11381703429502e-07,-5.37501572511383e-08,-8.78810450653324e-09,-3.87114852243694e-08,-5.94019919189531e-08,-5.95960282003707e-08,4.03311374200479e-08,-2.64943412488754e-08,-1.04195650345059e-07,1.08002523453784e-07,-6.78322869817053e-08,-3.57550628932553e-07,1.0861735839419e-07,2.72972628506108e-08,-8.73211828260208e-08
2000,6,-8.1605272230679e-08,-3.7532295623122e-07,-3.46869455461828e-08,4.75131536896862e-08,-6.7352811008646e-09,1.06070585869562e-07,5.91750406102681e-08,3.72571276958187e-08,-3.76481241245173e-07,-6.3800298653509e-07,9.11485904044905e-08,7.13715938799032e-07,2.68570804140558e-07,-1.17752019758367e-08,-4.83188949875941e-07,-7.94773297956657e-08,-2.0550260010604e-07,-3.88027553142412e-08,3.15190203875494e-07,-4.45701646850765e-08,5.45837774780124e-08,-3.69523806828706e-07,6.07196040014997e-08,7.58621458571846e-07,-2.32962556368582e-07,-4.87496617610253e-07,2.66872700173832e-08,-7.42979801462533e-07,-2.82497181612293e-08,2.22658215077272e-07,-9.40311936064441e-08,-2.69709393879119e-07,3.25824747799405e-07,-6.48531438542818e-07,5.15409102485394e-08,2.88668518249983e-07,-3.09438565642188e-07,2.56850720182401e-07,-4.29737136001473e-07,-7.25606356015305e-07,4.24190801243417e-08,2.18563724201501e-08,-3.71171721501971e-07,1.73893513429743e-08,-2.1067573914774e-07,8.893730395145e-07,-3.07318400467904e-07,-1.34860377929761e-07,-1.95305513925091e-08,8.59573224416375e-08,1.12392393728725e-07,-1.08403615316736e-07,-6.67355400601051e-08,6.21228623438726e-08,1.08983258641591e-07,1.48647746347277e-07,2.72283140518503e-08,-1.7731987994913e-08,-4.14584282045176e-07,-5.60463189485429e-08,-1.60981504868199e-07,-1.99362605700669e-08
2000,7,2.01130375552013e-07,-4.92635282157712e-07,9.6340779941314e-08,2.52594080529166e-07,2.02511962926589e-07,-1.48602286658555e-07,-1.12492625715156e-06,-2.19776369645906e-08,-2.48843295953691e-07,-4.65119328884003e-07,9.0919123185081e-08,-2.39598028460048e-07,-1.49168592200337e-07,-1.29808030248264e-07,1.10364373727109e-07,2.51615902089188e-07,-1.54219800989278e-07,-9.90746875506548e-08,1.04129824560713e-06,2.57105525830864e-10,-2.43546162690384e-07,-1.40630029791812e-07,-3.73317571520127e-07,-6.12189642840982e-07,-5.77532690855431e-07,9.76521903456269e-07,-3.80085747443909e-07,-3.28483608051063e-07,-6.77917852164285e-09,-2.05098523164473e-07,-3.76384087197729e-07,-4.52078308781236e-07,3.39660190832301e-07,-1.96473512635605e-07,1.84199519844294e-07,3.62876781399258e-07,-2.81785232429434e-06,-3.52324951265771e-08,-1.25741099276031e-06,9.06563104689809e-08,-1.40501424806995e-07,-2.52691625543654e-07,7.06394570412535e-08,-2.31704097938079e-07,-1.3924913225771e-07,-5.54540550036127e-08,-3.35283835964315e-07,-3.73815342728474e-07,-6.65669015453999e-08,1.96630667342165e-08,-8.452948053788e-08,-9.3198760103105e-08,-1.54365796019567e-08,-2.05188672577008e-08,4.09096197466306e-08,3.6561955637303e-08,-3.60258352540008e-07,-1.74395582329508e-07,9.96025461013644e-08,-7.48169456174789e-08,-1.03547270450557e-07,4.50729048266853e-08
2000,8,4.98155319456739e-07,-1.94085950129602e-07,5.56870346662457e-08,1.51947663192111e-07,-1.47069933077912e-07,1.11294047091131e-06,-1.03110426788234e-07,-4.89301093160175e-08,6.92735132675425e-08,1.054697238254e-06,-5.61485948920014e-08,3.67021894628438e-08,-3.00646590751813e-07,5.69934369378319e-07,-4.27434039185164e-07,-5.54239590388272e-07,-1.50962345171015e-07,2.06597514159246e-07,-9.843089354277e-08,-2.94257918446513e-07,4.38730111597428e-08,-1.30159893947597e-07,1.00643843196048e-07,-1.45339996549673e-07,-3.7818776624978e-07,-2.35203685330103e-07,-6.86882918559629e-07,6.57909413930053e-08,-5.25916378984807e-07,8.70545110636767e-08,-4.29136653506593e-07,-4.15837131449636e-07,6.28531498754589e-07,-1.36653807125824e-07,8.53475226182453e-08,4.71387087862023e-07,-2.64163765014345e-07,3.03953856414348e-07,-4.13440644749916e-07,1.07515517381291e-07,-1.33052523357698e-07,5.12091762319282e-08,6.44455209074205e-09,-4.74805287869769e-07,4.07484285750465e-08,-4.29168621986509e-07,-2.40966438359057e-07,3.95201471864724e-06,1.20809422644994e-08,1.72600138921077e-07,3.71387966102256e-08,-1.17459124605037e-07,1.15590778935465e-07,4.53170002050552e-08,2.17448064284589e-07,5.49195866934337e-08,-6.87542254637234e-09,-1.11655426893856e-07,5.15955162858731e-08,-1.93038338352239e-07,3.11869130529556e-08,1.53210535857811e-07
2000,9,4.92722938718993e-07,6.31297722867916e-07,-3.78610466076583e-08,9.84621196311885e-08,4.75576125033041e-08,-3.88641792466122e-07,2.024740529056e-07,-8.33023021934768e-08,-1.91389155334143e-07,2.73894454628138e-07,-1.06212333754654e-07,-4.71857300916889e-08,-8.79769994471411e-08,-3.78290088381169e-07,1.02870446168052e-07,-2.68257734194721e-07,2.62367651580512e-08,5.04492640294543e-08,1.21129852866773e-07,-4.52273557384311e-08,-1.14081526578401e-07,-3.21152799145792e-07,-2.21416341666215e-07,4.96460439412217e-08,5.39179868688604e-07,-7.90970134033734e-08,-5.43303405580041e-07,5.59583796069845e-08,-7.35071267616843e-07,1.93348397595568e-07,-1.57171065046169e-07,-1.30253392496757e-07,-7.67381087576189e-08,3.68997720295071e-07,-2.45918771513666e-08,5.10185378921562e-07,-1.37321977665178e-06,-2.60569836554464e-07,-1.15859151119542e-07,-3.29910531818022e-07,-8.13884712954459e-08,-2.25349191278727e-07,-8.23305926922315e-07,-2.16929128067092e-07,-1.65544417367631e-07,4.32447952124048e-07,7.61376514056665e-07,1.61130290108222e-08,-1.18819809828444e-08,1.85849540230444e-07,-2.1473477490216e-08,-6.72880952914898e-08,4.90142482863267e-09,-2.48485908321861e-07,3.24711285595952e-07,3.1490290875823e-08,-1.33129953289799e-07,-1.11687277027355e-07,-1.29185567849826e-08,-5.20687898995487e-08,9.5750530115294e-08,-2.86168022495187e-08
2000,10,-4.08610907376776e-07,-5.80508662830337e-07,3.63987856306703e-07,-6.40186165928386e-08,2.16052831967732e-07,-2.16779200506639e-07,-2.40751967394088e-07,1.52127578177141e-07,-1.07551019615026e-07,5.80920774599355e-07,4.26953331678441e-08,-6.32572270281154e-08,-4.82720996880277e-07,-1.74223030731157e-07,1.07821770597347e-06,1.02849921136121e-06,9.16649455254092e-07,-3.77792624338515e-07,-1.52080595482608e-08,-1.20519281833577e-07,6.07421089689876e-07,2.37622700870061e-07,5.67648993612108e-07,6.94814898950034e-07,9.27221699199343e-07,2.06385805051809e-07,-2.54248196000473e-07,5.36311396318558e-07,1.39274880620486e-07,5.79871086775739e-08,8.24853360903318e-08,-5.27130010251593e-07,-3.51025840858571e-08,1.77324387168979e-07,-1.84599301528144e-07,-1.46646500846889e-07,2.87589497100547e-07,3.48183502270822e-07,-5.75617458023603e-07,1.99516949524503e-07,3.55487656531524e-08,-3.18006951146909e-07,1.01894213714732e-06,7.74999927605656e-07,6.24040306654722e-08,-2.47330713430652e-07,-8.05942568506153e-08,NaN,9.44229457331623e-08,5.27975706180506e-08,8.05850239631174e-08,1.66273541199912e-07,-8.24744360314196e-09,2.24174776558626e-07,1.78380025874355e-09,-2.66811385549042e-08,3.29700378287825e-07,1.05612151984088e-07,1.43450896122064e-07,2.3939526582073e-07,-4.12377833190966e-09,-1.01350965138385e-08
