Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,-1.72966585962235e-07,-1.75562058639983e-06,-1.11485296716742e-07,-1.2465101168617e-07,2.11584858375394e-06,4.61580566056556e-06,5.08631953780082e-06,1.92257376727107e-06,-1.19044919538307e-07,4.62532374088107e-06,4.0062199344982e-06,-1.03747239158983e-06,2.09078722956049e-06,1.74433778976039e-06,1.52891766634126e-06,1.02381663456276e-06,-4.19045638137256e-06,-7.39428836784724e-07,7.11246959919491e-06,2.87787025255445e-06,1.32639553335983e-06,-7.45240310081754e-07,1.33549000134952e-06,7.64699582911835e-06,2.27014514974554e-06,-9.52110249360975e-07,-1.04235437173197e-06,-2.02578761390491e-06,5.92159764229634e-06,1.46903393206142e-06,6.93073069496032e-07,-1.29121939477621e-06,-1.55103417729895e-07,5.05478228174088e-07,5.02387712199059e-08,2.41844988198186e-07,-1.65000987175922e-06,2.46719257608614e-06,2.52464026457403e-06,1.10668535787571e-06,1.08001189380011e-06,-5.92853055571599e-07,-5.84041488150736e-07,-4.33635631657935e-08,1.35821181003946e-07,-6.55095097990429e-07,-2.79020049337724e-07,-2.4810473662508e-06,7.71830106888951e-07,9.00741222464473e-07,1.13632409659156e-06,8.17583811581017e-07,2.49005239697833e-07,1.50582266117781e-06,5.79346791009264e-07,9.45722395763458e-07,1.51425436876167e-06,8.49964283771533e-07,4.5188114108714e-07,9.78703999457925e-07,1.14468015357004e-06,-8.93452881221423e-08
2000,2,-2.18231691598708e-06,1.38484073114656e-06,5.36280863643042e-07,-6.5744533485469e-09,1.68634455447381e-06,1.85058692424583e-06,1.60235826343781e-06,2.46004560107608e-06,-1.46541276484908e-07,1.29174333256483e-06,1.16633294514019e-06,2.62770619102644e-06,-2.28109149408871e-06,2.97907579103446e-06,3.15523814962242e-06,2.75089346994386e-06,-7.70552043924941e-07,-9.78570312773291e-07,3.38728821972593e-06,-5.15103628134364e-07,-4.17777160162622e-07,1.25605442509556e-06,2.76374059225763e-06,-4.67868309063176e-06,7.22894267549368e-07,2.36281596123139e-06,4.13473413321271e-06,1.11103673566893e-06,1.68753404059383e-06,1.29631807432918e-06,-8.32072778792116e-07,-1.55864657425487e-07,7.70820288297754e-07,1.05694652576557e-06,-5.76519414221191e-07,1.37625487570935e-06,1.81377231975108e-06,7.74193446729057e-07,-7.61504748221662e-06,4.22048235284697e-07,-2.02904967029242e-07,-1.99477133654695e-07,4.23656897884046e-06,3.19320761269643e-07,7.21123562828199e-07,3.74215295428345e-06,1.32117258712859e-06,-4.10683331276432e-07,7.01754917896364e-07,1.29382509723636e-06,7.93369081283672e-07,6.20638364481079e-07,4.25957125694798e-07,1.87206744180997e-06,1.04721697922102e-06,8.91278766599999e-07,5.50878626587017e-07,7.80845026099647e-07,4.85015211314497e-07,4.13196367983561e-07,9.84826577961502e-07,1.83596486403935e-07
2000,3,-1.53831080467458e-06,3.78634411850944e-06,2.45711616253261e-07,-1.99828143970309e-06,-5.65349456213399e-07,-1.65074083562282e-06,2.87082137695904e-06,9.53882420092643e-08,1.90752652513633e-06,-1.0337466690804e-06,-2.05216991569535e-06,1.57477496725268e-06,1.96664200357034e-06,5.07087760325124e-07,-8.29042973806603e-08,-3.24485650803534e-07,2.95755768922512e-06,5.00523900692931e-06,1.55736328359135e-06,2.23978548687676e-06,5.53104011508055e-07,6.70810573733753e-06,-1.18469771537914e-06,2.49141876562628e-06,-1.4129951745784e-06,-2.6059077926253e-06,-8.32388195410478e-07,-3.21569198737293e-06,-2.9370761775322e-06,7.93579249186655e-07,-2.57681930011746e-06,7.20917560889229e-07,1.245494627024e-06,3.30039463990247e-07,-2.14447759379968e-06,5.61608789531265e-07,-8.01144247061835e-06,2.4021434055067e-07,-5.651962038874e-07,-1.82486045824403e-07,1.73129929161963e-07,-9.85197228440583e-07,-2.89094604234897e-06,-4.17177666298529e-07,9.53935725160929e-08,8.87393491158738e-07,2.11746805877219e-06,-5.09410110762107e-07,9.81233922077824e-08,2.27720508373243e-08,5.71574408822214e-07,3.21321839962954e-07,-9.56226680514858e-07,-5.51748100294406e-07,1.54961963357209e-07,8.52176533837361e-07,3.41572340954861e-08,2.05640552060509e-07,8.63154839739597e-07,2.2533799821337e-07,-2.91585707376907e-07,-1.4420174329268e-06
2000,4,-9.48665788373287e-07,2.33238657934631e-06,-2.30625827482115e-06,9.22703485355803e-07,-9.23036895113247e-07,-2.116194934543e-06,-3.61371217133216e-06,-1.45743224256839e-06,-5.89853064589898e-07,-2.2627949532844e-06,-2.94676219010593e-06,-2.90930801565727e-06,8.43733369050572e-07,-2.95052731891823e-06,-1.80005645777953e-06,-1.29827591215274e-06,1.86339708705139e-06,2.34513530289747e-06,-3.90355239453047e-07,4.88509146561022e-07,-7.84391597779124e-07,-4.11025584361354e-06,-2.07841881821096e-07,-4.59869553759605e-06,4.49530316935807e-07,-7.69367806741399e-07,-5.17073979860119e-07,2.68778973348923e-06,-5.79944314917478e-06,4.36862558837917e-07,1.47280942146753e-06,-5.28005995679399e-07,7.19763477429943e-07,-4.19611206687224e-06,-5.70161894056356e-07,-2.98136186382563e-07,3.40333138971229e-06,-4.47504517888261e-06,6.71552440927896e-06,-5.65249612835073e-07,-1.0240911376764e-06,5.37493849607054e-07,-1.6811478345977e-07,-3.52371358482621e-07,1.29416637514978e-07,-5.38962334184932e-06,3.932626775065e-07,-3.0459509375941e-06,-4.06585117847392e-07,2.80210659959876e-07,-4.54499058465054e-07,-1.07898017273158e-06,2.90571092659883e-07,-5.33897252924284e-07,4.61721559076304e-07,-6.56297306043755e-07,-1.97648891326678e-07,-6.00316328228796e-07,-1.7231536788361e-06,-1.49647136736043e-06,-3.68169159768503e-07,5.99428832206689e-07
2000,5,3.41518045769563e-06,-2.73383667341478e-06,2.13774002380265e-06,6.4418937849819e-07,-6.35710781807533e-07,-2.959102399826e-06,-6.77575634859973e-06,-1.06603451515961e-06,9.9000802438157e-07,-6.46440113935055e-06,9.67005408046501e-08,-1.27489317446284e-06,-2.25862871691854e-06,1.77579499138199e-07,-3.07083205222396e-06,-1.85442629396689e-06,-3.04052739294897e-06,-1.97640266465455e-06,-3.3359746541157e-06,3.59995356231527e-08,-9.53492850214703e-08,1.65320585723783e-06,-2.49143947205941e-06,3.32158223013134e-06,-1.0186018313938e-06,-1.12423570655501e-07,1.48949866203417e-06,8.65357178985052e-07,5.0093946626763e-06,-9.85358958465052e-07,-1.07878689255811e-07,-4.84883723953805e-07,-1.0062559323287e-06,3.17857517203968e-06,1.66438771315182e-06,-1.49199487839063e-06,2.50958799636592e-06,3.04794835195707e-06,6.90502974264551e-06,-2.36763899559634e-06,1.02516185381001e-07,6.32432733846272e-07,-1.50027594449383e-06,4.99597550745448e-07,-1.59856590430138e-06,-1.30256854662374e-07,-1.74129966449641e-07,1.32362594796899e-06,-2.44393543124303e-07,-9.13602708159759e-07,-4.56271997592181e-07,1.16373028776098e-07,-1.68661857002128e-07,-9.17801283004012e-07,-8.47657470324218e-07,-1.04074591487375e-07,-1.09831227779804e-06,-1.27019566881658e-08,-1.76898118853958e-07,4.24975538488144e-07,-4.84253326222837e-07,1.61397256371765e-07
2000,6,8.15967856882019e-07,9.70263382361872e-07,-1.18654067750462e-06,2.15965396937914e-06,2.9525423582269e-07,-3.13575062188249e-06,1.78803820132228e-06,-7.1756290763105e-07,7.21030035285028e-07,-1.40149190571915e-06,-1.24876474001698e-06,-2.65979059558109e-06,-1.76188258300219e-06,-3.89336141125376e-06,-1.94787317614327e-06,-6.35147592039962e-07,9.29136727252335e-07,-2.44905309799261e-06,-3.68548654443352e-06,-2.92615002688039e-06,1.65715066955939e-07,8.57300987445131e-07,-1.38127739500881e-06,8.7616147843419e-07,3.41315416537655e-06,7.62953743021098e-06,-2.91290022140093e-06,7.7956752830779e-07,-8.4708948267415e-07,-1.96899904662285e-06,7.41733330384436e-07,-2.18508844740974e-06,1.1884060900887e-07,-2.83578072046605e-07,-8.34613018289819e-07,-1.39165114213975e-06,-1.24878093573372e-06,-1.68443132009201e-07,-1.98349382291343e-06,2.51872359431139e-06,-6.1666445820425e-08,3.00978616734564e-06,-2.61428052083209e-07,1.68438731788518e-07,-1.45345667238874e-07,3.16734167828581e-06,-1.89935076527019e-06,2.24054639425302e-06,-2.84061313466421e-07,-1.3470222844426e-06,-1.39285402982949e-06,-6.65481009704691e-08,1.31720654620429e-06,-1.78766528106823e-06,-1.00832104447641e-06,-1.50028841489082e-06,-1.03064194142168e-06,-2.00409519117054e-09,7.88105662267591e-07,-4.89311881289772e-07,1.49600099596237e-06,1.34655604401921e-06
2000,7,1.9507230859982e-07,-2.07323853108451e-06,3.1266714618283e-06,-1.32584957591021e-06,-3.81663146362867e-07,-9.63288414813154e-07,4.7889256248541e-06,-9.64959996511175e-07,-1.36536109830841e-06,2.5987037610747e-06,2.61455763908276e-07,2.72773211298541e-06,-1.61244567506586e-06,-4.29057804050444e-06,-1.04926205964913e-07,-1.59396462606305e-08,1.5967024293799e-06,-3.86990195413027e-06,-8.17192528788414e-06,-4.01387344715689e-06,-1.85660792423446e-06,-1.71400809586351e-06,-1.31167560156825e-06,-1.17370361227182e-05,-5.36235604354726e-06,-1.38505230021657e-06,-9.57469476646582e-08,5.41921927969992e-06,-6.63985412755104e-06,-2.29440345204203e-06,-8.86562128033345e-07,-4.04592214183784e-07,-2.28829869851028e-07,1.20236817045474e-06,6.592539096314e-07,9.81530976414756e-08,9.3818842736975e-07,-1.45434023464289e-06,-2.88333011427881e-06,-1.87936718480928e-06,-1.41227430079485e-06,-6.59712971590883e-08,-4.01422451412402e-07,8.32461369594969e-08,-7.38241909370598e-07,-2.91343943276703e-06,-8.16029601332611e-07,1.11293368735054e-05,-1.00596357317904e-06,-8.63581585384134e-07,-9.64691204570666e-07,-9.81088074491986e-07,-1.10725211961854e-06,-9.76252066400578e-07,-5.44489922578633e-07,-2.62776696681805e-07,-2.30236085629023e-06,-1.21044526256008e-06,-9.15463392151376e-07,-6.68146339006774e-07,-1.57928298494697e-06,-1.0097203797595e-06
2000,8,1.28827375066855e-06,-3.2074969617919e-06,-2.05098366573549e-07,2.34734258351627e-06,-1.72096989925979e-06,3.9744122780482e-06,NaN,-2.56941135215417e-06,-1.08816255549763e-06,7.55769188516424e-07,-6.21950952323373e-07,8.76639813028792e-07,2.64217927975117e-06,-4.47793807715758e-07,-4.62528478752659e-08,-9.3626366652208e-07,1.88794772990692e-06,5.36058689160624e-06,-4.34169626081558e-06,-3.36054216506653e-06,8.28985474859024e-07,-4.0278674921178e-06,-1.07136013453681e-06,-1.27283394293508e-06,-9.72954771062023e-07,-3.17450096266333e-06,-3.29689522257305e-06,-3.27047199312451e-06,-1.80836006025606e-06,7.62312092458009e-07,1.57397165671161e-06,-7.64566623207925e-07,-9.31230236769254e-07,-2.07106482421976e-06,1.202975149664e-06,-4.5588862263359e-07,3.67360994950644e-06,-1.98516269042801e-06,-3.10569051811317e-06,-1.45748133573251e-06,-3.48825004463046e-07,3.00738733475942e-06,-5.5962175760631e-08,-5.79412645558827e-07,-1.25713074937643e-06,2.16600983735338e-07,-1.21102279979266e-06,-1.11529324114362e-06,-3.25249810859362e-07,-4.11301414406861e-07,-7.75324546839753e-07,-6.22646356201639e-07,7.48552191420969e-07,-3.21957172215393e-07,-4.32749506719564e-07,-1.25315463401686e-06,9.11100265499959e-08,-5.6905792007683e-07,-7.48036632736605e-07,-6.75562175560147e-07,-1.31294946466751e-06,1.62740351062738e-06
2000,9,2.59781660871634e-06,-7.75728629100958e-07,-2.08980114187924e-06,-1.53756138396369e-06,-2.73820401444695e-06,-5.07899516692896e-07,-3.33121659724151e-06,-1.90273826596784e-06,-2.22374904841598e-06,6.23190721717088e-07,-1.0561341994075e-06,2.93250273725989e-06,-8.99093675839015e-07,2.61346552033615e-06,1.53241127424509e-06,-1.35066420271129e-06,7.37084652644635e-07,-2.32578754970553e-06,-3.18547568137917e-06,7.20642083586017e-07,1.14734110152959e-07,-6.31199606963804e-06,8.52811700175001e-07,-3.24102801418029e-06,-1.20901635938947e-06,-4.45001283338696e-06,-3.91998095819711e-06,-7.53879723055653e-07,-4.5906718618918e-06,-1.59853371125014e-06,7.58392039030114e-07,2.88599052366516e-06,-3.44891020872379e-06,-9.31363347351547e-07,3.07216536795809e-06,-5.08765661107188e-08,1.47674413550955e-06,8.23086261810631e-07,1.27632368777418e-06,-3.46001456825928e-07,5.35835665380391e-07,-2.71942083498431e-06,5.02097184652892e-06,1.7510274897708e-06,1.31912249463886e-06,7.63858714195514e-08,-1.03879105409133e-06,-2.56665054869351e-06,-6.29805873985243e-07,-7.75399708081522e-07,-3.15830230119333e-07,-4.34497577903521e-07,-1.10816767208679e-06,-9.19627120766743e-07,-7.163454686897e-07,-7.87564153516796e-07,6.30376368073467e-07,-6.30272713983827e-07,-2.24213176623028e-07,-2.87132557535684e-07,-2.27547950068826e-06,-6.7705237345583e-07
2000,10,7.1748119293757e-07,-1.11682802923694e-06,7.09046945076257e-07,-2.87746585452054e-07,-3.9176035889825e-07,1.29880477603866e-06,-1.84951097452017e-06,5.19217358992085e-08,-3.86810659789093e-07,1.54757139610878e-06,-1.14898031381876e-06,-1.11146102959649e-07,-4.67137779796723e-07,3.4899904829513e-06,3.54868649665548e-07,3.14026847998867e-06,3.54417509241575e-06,-1.72544701642196e-06,-2.96964929008883e-07,6.84254743314742e-07,-1.46166428808786e-06,1.68951793348904e-06,1.13414135143058e-06,1.04833772928707e-05,-1.21558154052861e-06,2.61092935196471e-06,7.37327377552485e-06,-4.4714042860496e-06,4.01360329305511e-06,5.22327847070133e-07,5.64483042760539e-07,NaN,1.31951849200065e-07,2.60156198604638e-06,9.53175598960857e-07,-8.05869914990965e-07,-4.30777776694262e-06,1.30059406767909e-06,-1.49556097966124e-06,6.14489952216135e-07,9.1783285175544e-07,-1.76380950321744e-06,-5.45725785133073e-06,-1.34022150002349e-06,-8.38268476266109e-08,8.88504472976422e-07,-4.85166921983317e-07,-1.35445704782655e-06,1.99339443627496e-07,-2.80547331082755e-07,1.05848834955097e-07,4.24546975739615e-07,3.17607446426974e-08,1.10263578679034e-06,-8.93270840203642e-07,-3.88641489875952e-08,4.30728810823946e-07,-3.41992042148254e-07,7.71922725727318e-07,1.4504730878006e-06,8.48605821154638e-07,-2.4046570793875e-07
