Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,2.14876410617038e-05,2.68853651957046e-05,1.67301437009875e-05,1.76699053093588e-05,1.9754654828133e-05,1.94197190903062e-05,2.47826318940391e-05,2.77547070660585e-05,2.30813097138792e-05,1.52094167780158e-05,2.02375200341033e-05,2.00460061134936e-05,1.93064670711171e-05,1.82942287401273e-05,1.68240337301251e-05,2.308634119018e-05,9.36232306028538e-06,3.60811425099363e-05,7.37331669783529e-06,2.80157567091596e-05,1.18037840397166e-05,1.91045793406882e-05,2.61368443566968e-05,3.26136829078902e-05,2.63603324987325e-05,2.85831361296638e-05,1.36114447816976e-05,1.47204165274078e-05,3.00012883262482e-05,1.79104159241208e-05,2.21205169277015e-05,3.95152054691822e-06,1.69089114258172e-05,1.87747286695779e-05,1.21192055935374e-05,2.16810558153641e-05,3.60249630452532e-06,2.27294167577825e-05,1.56820604998257e-05,2.62859564614537e-05,1.83455208237443e-05,1.65122484763578e-05,1.27665700283877e-05,2.07007669355199e-05,1.95457869921661e-05,1.49726458558617e-05,1.92110712963399e-05,1.65328731848341e-05,2.04291454311698e-05,1.73177024511995e-05,2.05394575442747e-05,2.19389311707322e-05,1.94031452261476e-05,1.17595800275291e-05,1.90750060992238e-05,2.10444718204528e-05,1.94396250184313e-05,2.43386843944748e-05,2.11804910443779e-05,1.90073223848928e-05,2.34510424620515e-05,1.73192674539994e-05
2000,2,1.79439644226805e-05,2.05503618427553e-05,1.5740344987856e-05,1.45522246494746e-05,1.84164752253073e-05,1.97588938230887e-05,1.08396603839933e-05,1.43968154343569e-05,1.17822189214658e-05,1.33087149518318e-05,1.51421251477028e-05,1.66998343475576e-05,9.59851081153221e-06,2.22162117784284e-05,1.83013009194602e-05,2.3697911272614e-05,1.78106677047178e-05,1.46606063389252e-05,3.40798060866438e-05,1.51934600054805e-05,7.48804987782305e-06,1.90200730390778e-05,1.6489885049929e-05,1.12530448242741e-05,1.49707968674546e-05,2.27763154446974e-05,1.52586496898941e-05,6.98951116996195e-06,1.94262099531075e-05,1.43218970378205e-05,1.59034133231933e-05,6.25754424039266e-06,1.02014870343858e-05,1.8356662975198e-05,1.36261792248578e-05,1.42389969963129e-05,1.84204440904784e-05,1.64306909274272e-05,7.49249135636864e-06,1.52863318608974e-05,1.31327652985663e-05,1.37049769583335e-05,2.16128574618439e-05,1.3422394729067e-05,1.31399124076742e-05,1.47151485964685e-05,1.0406651810749e-05,1.2193436963187e-05,1.47690757424039e-05,1.40809843886803e-05,1.35501543206377e-05,1.52336347146032e-05,1.55673350026597e-05,1.9964919175668e-05,1.31056288113092e-05,1.34905314937925e-05,1.36876805852675e-05,1.42054500899947e-05,1.7355737416903e-05,1.56042314908487e-05,1.80491465625392e-05,1.42621718956434e-05
2000,3,2.04285305284705e-05,2.10798662019049e-05,1.66876609037856e-05,1.31742904228699e-05,9.91997073380302e-06,1.48405387672778e-05,2.78154883069324e-05,1.43191120053995e-05,1.83101084196855e-05,9.60455310602873e-06,1.22919308665342e-05,1.68462480571317e-05,8.9212014097099e-06,1.76153694400041e-05,1.3141466301055e-05,2.57999523071308e-05,9.43828272736639e-06,2.5515051951226e-05,9.18596909413029e-06,1.76007640927521e-05,1.45714441661166e-05,2.59731250735973e-05,1.71409794165237e-05,1.71724416975584e-05,1.20751287294473e-05,2.18277032863001e-05,6.77804769630395e-06,1.39264720382249e-05,1.48772227045009e-05,1.52827210141767e-05,1.80672514564852e-05,1.37341255231906e-05,1.42028442119772e-05,1.631343083087e-05,8.86330022584533e-06,2.15522681415016e-05,1.87439949130308e-05,1.73518699921629e-05,5.68439710473581e-06,2.06415947446902e-05,1.37426930544626e-05,1.17189110449715e-05,9.06697499231726e-06,1.82589127324173e-05,1.20067764609301e-05,1.47732506866708e-05,1.36362335959262e-05,1.87423203226319e-05,1.56909498161908e-05,1.6164260018707e-05,1.46470936542584e-05,1.7450193334401e-05,1.35104923603211e-05,1.08547408596588e-05,1.75810606895528e-05,1.4807721361827e-05,1.43102704220526e-05,1.74781730272087e-05,1.96740360776419e-05,1.61035759219807e-05,1.52614681641236e-05,1.25985919231068e-05
2000,4,1.78407069638308e-05,2.84005298581933e-05,1.36238487104188e-05,1.47818016249662e-05,1.13739012596531e-05,5.37720115805257e-06,6.32534227014415e-06,1.22700985088509e-05,1.36714231450096e-05,7.92922492514517e-06,1.16822427678776e-05,1.4756072786505e-05,9.2264035844532e-06,9.7833967068194e-06,1.40455082962338e-05,2.26780230765658e-05,1.09114794891376e-05,1.83754502775803e-05,4.40157011890987e-06,1.93354254118706e-05,9.93112754652403e-06,1.67044452361501e-05,1.31695536894662e-05,9.87722274894408e-06,1.2745682748853e-05,2.71861080947411e-05,1.48301844651786e-05,5.7467857227997e-06,1.61918531036416e-05,9.9701391281239e-06,1.736319470052e-05,1.22097822111993e-05,1.05224299204823e-05,1.34101075484743e-05,1.34045278897201e-05,1.34923209427556e-05,3.96163833630334e-06,8.2413940002372e-06,1.1198251797163e-05,1.75033068330677e-05,1.30682939929695e-05,1.08168154229737e-05,8.5003765700691e-06,1.1667880884575e-05,1.48990178961566e-05,1.00238955778234e-05,1.1729864623732e-05,8.25793156289612e-06,1.33961955295812e-05,9.58180790615241e-06,1.26746529674241e-05,1.43425661152156e-05,1.54436727307838e-05,6.60137955039528e-06,1.05097163725118e-05,1.33865918480783e-05,1.11422790716078e-05,1.33220737750302e-05,1.6612200536095e-05,1.46238620434424e-05,1.70372638794816e-05,1.46688617177091e-05
2000,5,2.75601815527514e-05,2.50688364566182e-05,2.65282206650355e-05,1.61636156378666e-05,1.61892418069857e-05,3.15127529585423e-05,2.26902372930841e-05,1.57291669075176e-05,2.04555421869557e-05,8.1922155413731e-06,1.83845009435399e-05,1.29332272738021e-05,1.32101256575731e-05,1.54951717245334e-05,1.04769294731824e-05,2.39692024328183e-05,1.5335385071028e-05,2.68190458312697e-05,1.51690679028162e-05,1.85250262415093e-05,1.03401223872238e-05,2.62262219683743e-05,1.84681785941538e-05,2.20164946879804e-05,1.24186664413157e-05,2.41729924405591e-05,1.45377302795791e-05,2.26928887306929e-05,3.33935498697221e-05,1.67583393883764e-05,2.16063724753917e-05,8.08473960132497e-06,1.04904723724837e-05,2.06905178717904e-05,1.8016835002259e-05,1.67618394659744e-05,3.38965941588215e-05,2.40031325205612e-05,2.1270032522015e-05,2.00603713163765e-05,1.60982037473975e-05,2.36541950285026e-05,1.91681706241e-05,1.92708349333552e-05,1.06317820763216e-05,1.85339333599525e-05,1.334470566032e-05,1.77526939079806e-05,1.77897773417943e-05,1.79835699613682e-05,1.48317427045108e-05,1.95201105466104e-05,1.75840980794568e-05,2.02551787421878e-05,1.74474804447351e-05,1.49744773389473e-05,1.44953348423236e-05,1.96854399744072e-05,2.03966254806093e-05,1.87583643839809e-05,2.19191827026477e-05,1.55582207628222e-05
2000,6,2.60083679396288e-05,2.52037323750379e-05,1.37652436652839e-05,1.53358455324871e-05,1.15805873169279e-05,1.19790258110827e-05,9.38611598201222e-06,1.59731509468509e-05,1.78285414993604e-05,1.37806252985235e-05,1.35482313673031e-05,1.51537419936839e-05,1.09872248717869e-05,1.31834068656046e-05,1.81233820493259e-05,1.69844758308063e-05,1.76785244677169e-05,1.74624300381235e-05,6.95046400777819e-06,1.27366515967285e-05,8.75174260872447e-06,1.95705133593545e-05,1.69631757225146e-05,1.62838046650772e-05,2.67642111875531e-05,1.97007831215648e-05,2.8645397840611e-06,7.82281354334979e-06,2.16864636179424e-05,1.08710246133724e-05,1.99789508144033e-05,8.20671991613406e-06,1.11661916902013e-05,1.10548823876373e-05,1.61978184463203e-05,1.3119289262723e-05,1.33968594962378e-05,1.45843591383493e-05,1.1212297587648e-05,2.40999428805023e-05,1.45959276427236e-05,1.31067130135808e-05,1.64653354551358e-05,1.63754616891356e-05,1.37312550357156e-05,1.73510566308238e-05,1.23167240070598e-05,9.00055278888434e-06,1.50564431646504e-05,1.09254541331684e-05,1.31574620040683e-05,1.71632276731741e-05,1.61166152535239e-05,1.01522630471839e-05,1.11731458775043e-05,1.28551446590533e-05,1.38246988062706e-05,1.6994948297829e-05,2.23473229333862e-05,1.44837075912243e-05,1.79188521515419e-05,1.5204300364366e-05
2000,7,2.11522892612189e-05,2.2660192083954e-05,2.19612755497001e-05,1.62835623069981e-05,1.61134277769697e-05,1.17640855587031e-05,1.50471529821729e-05,1.4403748757853e-05,1.53760727151566e-05,1.0412697764988e-05,1.87096148025973e-05,1.60576812095479e-05,4.09263722172589e-06,1.44462256960559e-05,1.18540624257222e-05,2.48431775948707e-05,1.63417337198293e-05,2.2392889594719e-05,8.79330471242447e-06,1.63222996471223e-05,1.11432386460916e-05,1.68035651404691e-05,1.61335104329353e-05,5.85703415926677e-06,8.04768043054204e-06,3.15158750328448e-05,1.39042760769023e-05,9.07683782111718e-06,1.66151494379552e-05,9.81883558872159e-06,1.70073226701033e-05,1.25680400562357e-05,9.25702838443009e-06,1.9529483888735e-05,1.79228089926718e-05,1.60654093824081e-05,6.21673272405792e-06,1.12191221360175e-05,1.04571847496743e-05,1.57502455204202e-05,1.55628009283264e-05,1.25412313700863e-05,6.11508155013382e-06,1.88664558470967e-05,1.29414081426898e-05,1.64305164504046e-05,1.30386842109283e-05,2.93781409795e-05,1.52296991261499e-05,1.16201205335856e-05,1.38118457222643e-05,1.66858002900038e-05,1.67962741621953e-05,1.05887014363389e-05,1.1955675359345e-05,1.46587728295485e-05,1.18964211638292e-05,1.60995812708626e-05,1.62942319379335e-05,1.79093703212994e-05,1.84753406738548e-05,1.59599349518009e-05
2000,8,2.68336955126623e-05,1.58424300435411e-05,1.67636396236786e-05,1.55929972454993e-05,1.19050145422207e-05,1.48742241065277e-05,0,1.38639061205927e-05,1.73500854776123e-05,1.70924990073217e-05,1.67664506859513e-05,1.92353177608969e-05,1.45647647771371e-05,1.56296977229253e-05,1.87049222044586e-05,2.22244726615115e-05,1.56115526561997e-05,2.05207370231969e-05,6.67925250917199e-06,1.40689076665612e-05,1.0102525902337e-05,1.6905585421805e-05,2.11363334246317e-05,1.60976798870006e-05,1.31203909365532e-05,2.65057482880157e-05,9.79916817640393e-06,7.28452080680525e-06,1.91745341797691e-05,1.37422229929366e-05,2.2216178967478e-05,1.23706708737419e-05,1.56085344609196e-05,1.43473284779158e-05,1.29577536079918e-05,1.47670622709941e-05,1.7264799813751e-05,1.61063336702657e-05,9.77597245540794e-06,2.0653465082347e-05,1.26068715523743e-05,1.47213943598038e-05,2.40876464103851e-05,1.17850313004496e-05,1.45815853194197e-05,1.5026861132361e-05,1.08544431815443e-05,1.24775882708536e-05,1.54668330435197e-05,1.2759754897513e-05,1.53328706420246e-05,1.64592476185448e-05,1.55419161781585e-05,1.17026103037522e-05,1.310251804053e-05,1.54699555332481e-05,1.50452201461642e-05,1.60735567690553e-05,2.11591187717831e-05,1.45118694499182e-05,1.62250015279037e-05,1.52374141215593e-05
2000,9,2.34042985445887e-05,1.86737199014147e-05,1.5177301825108e-05,1.52146826474762e-05,1.27664269047259e-05,1.32940633842339e-05,1.35966561212334e-05,1.48593181544399e-05,1.59277558339694e-05,1.92596251854523e-05,1.79710850911157e-05,1.9257811562148e-05,5.9324084147426e-06,1.77712760366521e-05,1.81958752441979e-05,1.63352560378427e-05,1.27432545609005e-05,3.3673755489555e-05,5.32057275955151e-06,1.96128441613073e-05,1.1374502554892e-05,1.40349202428112e-05,2.08861423682252e-05,7.97290007793329e-06,1.52140325955987e-05,2.67388267977526e-05,4.49678254308917e-06,2.03454833337132e-05,1.88648531687136e-05,1.19432204120851e-05,2.27406822143693e-05,1.01765874371083e-05,1.04094587747212e-05,1.76434584391178e-05,2.00003624879971e-05,1.72361124879601e-05,1.89190848394376e-05,2.15243140368284e-05,1.00572127491089e-05,1.7304285949814e-05,1.63750563094887e-05,1.28890735198538e-05,1.42838515575983e-05,1.91225895166158e-05,1.54426336604222e-05,1.67881330371075e-05,1.70034717487044e-05,9.31472618351614e-06,1.63974796984046e-05,1.36531333043707e-05,1.58546701197293e-05,1.7861972210973e-05,1.59618907671857e-05,9.5541143790904e-06,1.50959497103551e-05,1.63576916612401e-05,1.47960400349744e-05,1.85842391938004e-05,1.84513807759396e-05,1.63909160787461e-05,1.65434950619898e-05,1.56869726676061e-05
2000,10,1.85302772283894e-05,2.92325605768691e-05,1.98612104665891e-05,2.10956951252792e-05,2.03088986168513e-05,1.02585837233793e-05,1.14449504357347e-05,2.61639678723214e-05,1.92529678316211e-05,2.07783412560892e-05,2.66891463727998e-05,1.34840223246633e-05,1.36562256855169e-05,2.14390642181647e-05,2.76610074385882e-05,2.46875758209346e-05,1.69658927961775e-05,1.92052997534674e-05,5.97380579880474e-05,2.0761219578433e-05,1.16748268748677e-05,1.87242709500309e-05,2.6668603678504e-05,5.31106816069964e-05,1.47039945734325e-05,4.21054508725983e-05,1.08881328975257e-05,3.1314419186914e-05,2.38852978459579e-05,1.74018784906818e-05,1.83286408002879e-05,0,1.4784121466342e-05,2.31591044953269e-05,1.15461724484533e-05,2.75049040246829e-05,6.66496550689919e-06,3.38229544215395e-05,7.93814596662803e-06,4.9675191455493e-05,1.7568705852597e-05,4.2325647292807e-05,4.10092877834972e-06,3.49814002987314e-05,2.07539831764402e-05,2.62863574911415e-05,1.23020326342418e-05,Inf,2.09456693247197e-05,2.03429167529066e-05,1.75397707622363e-05,2.24573040048346e-05,2.2472807575627e-05,1.46030934290826e-05,2.2559721277898e-05,1.77270329176858e-05,1.71224564198937e-05,2.31628245373558e-05,2.66382568143684e-05,1.95558211607486e-05,2.91814130099704e-05,1.93936752888708e-05
