Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,1.48072324727235e-05,-1.16778341566141e-05,2.52262212875745e-06,-1.00851135841549e-05,2.33171255987231e-05,5.25444196575986e-05,9.52305833587334e-05,0.000119042163364411,3.20423302528567e-05,2.09180231519962e-05,-1.26273818924409e-05,-2.27862513929217e-06,9.39586807040706e-05,1.0381208695236e-05,2.11084903730674e-05,1.76249545232428e-06,-5.26290472924098e-05,0.000102406513021409,-7.19976502325977e-05,8.0216242912789e-05,-1.09539389890899e-05,-1.09115762473023e-05,4.29588325874113e-05,7.58388755827056e-05,0.000110540255482713,9.26120979013561e-06,4.3801876837219e-06,2.09062194498752e-05,4.214142223089e-05,3.16327229811542e-05,-4.47612345528918e-06,-3.70036181230075e-05,2.71102475992351e-05,1.55022256540524e-05,-1.87837597647141e-05,1.31824487508409e-05,-8.75172985787941e-05,5.51951191821472e-05,-9.92881471284152e-06,1.81682472470911e-05,-1.58914088553935e-06,-2.17012138177728e-06,2.77426895026112e-05,1.88168440603596e-05,3.57599088519024e-05,6.54245505814297e-07,2.14565218999865e-05,-6.83228044983723e-06,1.690846900113e-05,1.14187836418569e-05,2.36621535768e-05,2.12538953211152e-05,5.54916010610921e-06,-1.30202287472111e-05,1.79606206321318e-05,2.30930042286632e-05,2.46787656900658e-05,4.56372159814272e-05,1.26600295517589e-05,2.267866339086e-06,1.93584655467837e-05,-5.95072363217188e-06
2000,2,-3.69352069374547e-05,1.08064960993094e-05,-8.83567403523944e-06,-3.11481197020193e-06,3.35889043910966e-05,-1.25083740882622e-05,-2.41650523241065e-05,1.78154309013586e-05,-3.98284692681314e-05,1.45441632527102e-05,7.78687906017819e-06,2.70372359890766e-05,-3.73910123262696e-05,6.03080096636861e-05,2.94202890584974e-05,1.85967486828185e-05,2.04651168806194e-05,-0.000167211833877288,-1.67566751642232e-05,-2.45751957774491e-05,-3.44730943438467e-05,-4.30778065932158e-06,2.47693713270036e-06,-3.06835544256801e-05,-3.33837015001955e-06,-5.52383154641875e-07,2.94242970489899e-05,-0.000100904763865523,-1.29562700037541e-05,-2.10536661701601e-06,-3.85876784179498e-05,-1.68134931819282e-05,-2.84457248388137e-06,1.84685311553503e-05,-8.66819656974267e-07,-5.95785053774433e-06,-8.9620359961783e-05,7.3111679447064e-06,-2.63619473390367e-05,-2.89640176770871e-05,-1.16959206280604e-05,-4.62006306064315e-06,3.36425445603465e-05,-1.31897725083133e-05,3.7455415882605e-06,4.20977672380437e-06,-5.29680806967068e-06,1.04022808643875e-05,-4.67020248869635e-06,-7.41747830494379e-06,-3.70512342763075e-07,-1.04251965886242e-05,3.21044164921171e-06,1.68646340446507e-06,-9.82873672210728e-06,3.83051499848995e-07,-1.46756065473385e-06,-1.81878093523614e-05,-1.07251785870628e-05,-1.9252092581041e-06,9.70985021742196e-06,-2.17640755170853e-06
2000,3,-4.24198626165588e-06,-1.54244427739551e-05,7.21862421704185e-06,-5.85003074002712e-06,-9.91356523090064e-06,-2.55138821816813e-05,0.000119664916311854,-5.1435316958659e-05,1.81568565114193e-05,-3.52470922442968e-06,-2.6115360030142e-05,8.93662771997891e-06,5.28124409345014e-06,2.52412794437459e-05,-1.74329059570055e-05,2.89232071234726e-05,-1.56872780386376e-05,5.25377546179997e-05,-2.40195391263484e-05,7.0082921713955e-06,3.5375970783246e-05,6.68365329417485e-05,-1.48205642361802e-05,2.11126586958697e-05,-9.09221784565585e-05,-1.23791817185605e-05,-1.61112417716568e-05,4.8614160889261e-05,-2.73185664091218e-05,6.3856015515158e-05,-2.60705324094705e-05,2.31032249755689e-05,2.42658931008737e-05,1.00328694608174e-05,-3.46599342091327e-05,1.98917290474754e-05,-7.84466425835222e-09,7.31839555148439e-06,-1.62840325104459e-05,7.51303512214497e-06,4.4061371985117e-06,3.69849973296305e-06,-5.42112983593644e-05,7.04072189681223e-06,-1.13020328101464e-05,6.08788420192154e-06,8.65585319479158e-06,2.99712736112803e-05,2.8240010069028e-06,1.85335983336969e-05,5.41148690392289e-06,4.02786644942667e-06,-9.03417847713153e-06,-2.20533058090652e-05,2.88156388369236e-05,6.32144181526666e-06,4.20875262382821e-06,-5.04076044551287e-06,9.20577844878314e-06,9.55070329249736e-06,-6.85223098934821e-06,-1.0846046516896e-05
2000,4,-1.34795847249643e-05,3.39261519360603e-05,-2.2600188700657e-05,6.33980688043666e-06,-1.77878196788656e-05,-0.000135834299060269,-9.31759873814404e-05,-6.90893693390688e-05,-3.94282130520002e-05,-1.86159330843292e-05,-5.78366920238559e-05,-1.74780240297719e-05,-3.35671830952098e-05,-4.62929813545958e-05,-1.46909143793988e-06,4.66473587222192e-06,-5.04660629694226e-07,3.7692577453948e-05,-6.5082400153272e-05,2.08548575182283e-05,2.07143011904259e-05,-3.03683246183464e-05,-4.23616433133165e-05,-4.18589129865394e-05,-3.46466298567532e-05,1.37165901640472e-06,3.70073563344133e-05,-1.94290912749965e-05,-3.80548171564165e-05,-1.98506915204055e-05,2.6713258804948e-05,4.19937712765083e-05,-1.13454864566744e-05,-3.01826814705852e-05,-4.23992366002855e-06,-2.9250619334907e-06,-1.64928235956251e-05,-8.03340240675948e-05,-9.63984180724141e-06,-9.17388966845595e-06,-6.35956452814634e-06,-2.33918031026153e-05,-3.60253379450266e-05,-3.29522155493116e-05,7.33073037689807e-06,-2.79229520279191e-05,-1.29824285974575e-05,-4.37910145928678e-05,-1.45870846116334e-05,-1.18585164693515e-05,-1.74228595488594e-05,-2.02054416557981e-05,-3.27418498725435e-06,-3.21277604156469e-05,-6.88647201247181e-06,-1.57603490046943e-05,-2.05996214868592e-05,-3.51392271530279e-05,-1.23027715302686e-05,-1.06151915224491e-05,-1.2953208754374e-05,4.66853457080146e-06
2000,5,2.28588226408966e-05,-2.38665325327716e-07,3.99033159755782e-05,-5.06038437802885e-06,-9.86584645403504e-06,7.31340751825073e-05,3.32789591585089e-05,-3.82102962735785e-05,2.42657997846714e-05,-4.33141993100151e-05,4.31788693365321e-05,-3.31244229699389e-05,-5.84686916285784e-06,-2.13693711358513e-05,-4.30476298628992e-05,1.08161356528188e-05,-1.664319552734e-05,-5.00919238366425e-05,1.62221544610915e-05,-1.98404570149763e-05,1.82136186822443e-06,2.50694805116501e-05,-2.51553340943035e-05,1.03210592319976e-05,-7.12828881567351e-05,-5.9969893997193e-06,-9.24684928559649e-06,8.2247134420426e-05,5.42356441963062e-05,-2.08287750599804e-05,5.32077875296783e-06,2.48430673304462e-06,-2.96589295448379e-05,2.28323577476255e-05,2.68108939244983e-05,-8.13668740354858e-06,0.000136850425814931,4.34677267874789e-05,5.47047879705884e-05,-2.63655716558855e-06,1.46435874477455e-05,3.96084522804563e-05,-2.89203761635659e-06,3.47207305212904e-06,-4.92664479234566e-05,7.06595677899359e-06,-7.03736703884628e-06,1.27043586023875e-05,6.74623389440641e-09,-1.02415675740236e-06,-1.2056637924762e-05,6.88277590806078e-06,-1.19406347006505e-06,1.74144249389183e-05,-5.81598748709418e-06,-1.1565835539307e-05,-1.32370465054775e-05,1.73771484621247e-06,-1.56891596554608e-06,1.89400826627416e-05,3.6912528399814e-06,-5.23261784083945e-06
2000,6,2.56214667217256e-05,7.0267017897402e-05,-1.68013592172971e-05,2.44955711408557e-05,-1.66648220381046e-05,4.29508868542778e-05,-4.67018479708702e-05,1.21129123384417e-05,2.55980805146823e-05,3.46479016118574e-06,-3.57892350147604e-06,-7.39389376679187e-06,3.9696557341737e-05,-4.07386609019766e-05,-1.35864205533684e-06,-4.83834261083929e-05,5.71255517827093e-05,-3.78892973081936e-06,9.9890133110604e-05,-5.2796176681776e-05,-9.85487369997386e-06,2.66112439445973e-06,2.55599335834383e-06,3.18392810295487e-06,0.00016083958032951,-2.58888979999183e-05,-5.29123584732561e-05,-9.99963484920241e-06,2.55626755215412e-05,-8.44237111285204e-06,3.92707767818802e-05,-1.28386010236553e-05,-6.43921197689471e-06,-3.62723168732412e-05,2.22582610127544e-05,-1.76677533339964e-05,5.58286993041555e-05,-2.21218717603238e-05,3.83511529125318e-05,5.10504116365703e-05,1.47848536535069e-05,2.46370583382425e-05,4.76113637441514e-05,1.46712446065902e-05,-8.49186676702622e-06,1.63350502850936e-05,-8.10486623597522e-06,-2.51602757798804e-05,5.18961342851936e-06,-5.87749135217639e-06,-7.85095645178754e-06,8.58458044152846e-06,1.56275119222426e-05,3.67167581266363e-05,-1.65859397602355e-05,-1.44392218404438e-05,3.37918136994461e-06,1.45523337420662e-05,2.10048751212699e-05,-7.72190763430721e-06,9.96647836229992e-06,2.02555162934408e-05
2000,7,3.4244493057124e-06,-1.90432516723217e-06,1.65238323338928e-05,8.24551072990551e-06,2.34236826807334e-06,6.34845715642839e-05,1.93650694587797e-05,9.23930048207588e-06,-1.60518549597065e-05,-1.41567009766741e-05,8.2700732962834e-05,1.06429232234729e-05,-0.000110305362751652,-1.52244743462013e-05,-1.23777417037429e-05,-1.00561781444786e-05,4.88080443372665e-05,3.87287489236048e-05,0.00017755091861479,-3.42855673616153e-05,8.50270152193422e-06,-2.08797232097565e-05,-8.2124886593951e-06,-5.98923973787847e-05,-0.000103309158816498,3.41622112539503e-05,1.86936117039214e-05,1.58488180533919e-05,-4.29495169202507e-05,-4.08443832882006e-05,7.55118654304881e-06,3.07891030141349e-05,-2.62433069952027e-05,7.116877809201e-06,3.27641122359789e-05,1.95978497083535e-06,-2.0068693296503e-05,-4.09772991498513e-05,-1.97764084295339e-06,-2.98143483319197e-05,1.21873146600566e-05,-1.3881755994844e-05,-4.86607930794075e-05,4.1936838444622e-05,-1.48740261936051e-05,8.28927765601214e-06,5.31044002326095e-06,5.60938878281218e-05,8.23116937513087e-07,4.73369837707694e-06,-2.5443482990265e-06,8.9974744037563e-07,1.95363253962722e-06,4.53803831189764e-05,-5.63215189479591e-06,4.51780409153592e-06,-1.50365806853056e-05,5.45652502008007e-06,-1.48321857917206e-05,8.42833294434754e-06,-6.98249447551714e-06,9.34231294102899e-06
2000,8,2.61837866182038e-05,-4.58014939851727e-05,-6.57111991430634e-06,2.38458719566024e-05,-1.93565013220573e-05,7.75014444749495e-05,-0.000142642680848075,-1.41727971800697e-05,1.17812348818654e-05,1.82282540081461e-05,1.33688406717563e-05,2.64482922234841e-05,4.37832440304497e-05,-3.23038510738352e-06,6.34399424674677e-06,-9.56975744773535e-06,9.30846278852926e-06,0.000105552143772975,8.10926459874777e-06,-2.56701835115365e-05,1.13396561320824e-05,-1.84327731127893e-05,1.46436773047434e-05,-1.44963995656252e-05,2.13987329182495e-05,5.09284621572493e-06,-1.8258132504631e-05,-0.000102187852385285,-2.17769456728662e-05,4.86709732910987e-05,4.20993132532063e-05,1.3610409870157e-05,2.05002859317983e-05,-2.48358679053981e-05,-1.16763912962387e-05,8.27973235431329e-07,0.000117220683011411,-1.11478676220153e-05,2.93453519315498e-06,3.69983298197747e-06,-8.48171250876834e-06,2.06347906077704e-05,4.10333668617899e-05,-2.28899984125155e-05,1.42203176112517e-05,-4.44077474750723e-06,-9.22647464866272e-06,6.24250242634109e-08,2.7511057484039e-06,6.43440849747737e-06,8.65231328624308e-06,-1.11223099657611e-06,2.93271222986136e-06,2.45832122329459e-05,1.9301880831282e-06,6.77475571634825e-06,1.19472805397562e-05,2.82157576049366e-06,5.99440425742706e-06,-1.08157129294118e-05,-1.46955311012831e-05,1.75064970376969e-05
2000,9,-1.47684272843625e-06,-7.07266215920166e-05,-1.80705080974065e-05,-1.19717907673594e-05,-1.11427185192413e-05,-5.81708375011483e-05,-5.07835805308221e-05,-4.10046971845869e-05,-3.5055198348411e-05,2.01437530569009e-05,3.43749969971418e-06,2.95981542157414e-05,-7.57409231013932e-05,5.24745217366819e-06,1.02561464986497e-05,-4.77027545341572e-05,-1.4297278549145e-06,-1.54456134262642e-05,-0.000108504894402278,1.12699452818711e-05,-4.61598689573626e-06,-3.91991251393909e-05,1.6449480508948e-05,-4.0584193336699e-05,-3.26671757404945e-05,9.1522826742312e-06,-2.99507365361956e-05,1.52787440300971e-05,-1.77886967469236e-05,-7.66748769751153e-05,1.94792587526201e-05,-7.95176315864967e-06,-3.06448109348403e-05,-3.93168247459207e-06,2.63071037761956e-05,-1.19933085367065e-05,5.06953706938538e-05,2.68974619920726e-05,-4.79904365627287e-08,-2.84760030513653e-05,-7.32299003467491e-06,-1.45608385368254e-05,2.66299742820409e-05,-1.87780664305397e-05,1.80305337260217e-05,-6.6180993778086e-06,8.84694000834055e-06,-3.02608409737928e-05,-1.17590734657309e-05,-2.20211895609778e-05,-7.81179027591191e-07,-1.43697545448286e-05,-1.16551369314935e-05,-2.47571555375843e-05,-2.14600360833038e-05,4.25137025849756e-07,-2.8111480067957e-06,-1.46740223337175e-05,-1.31158652443956e-05,-1.48873993159176e-05,-2.23864853045447e-05,-2.53748792080174e-06
2000,10,-1.22804341243111e-05,-1.84616676683468e-05,7.60913960935324e-06,-1.43265722128073e-05,-4.06064708492226e-06,-1.22816954671347e-05,-3.66943783704162e-05,-1.03236035636797e-05,1.2482485721755e-05,2.75344956342974e-05,4.70626752205935e-07,-2.93024109302513e-05,1.30497480884851e-05,-2.08934862049967e-06,1.72100827466775e-06,1.2520990855481e-05,-2.85035527780379e-06,-0.000107317548544221,4.2801328456377e-05,-9.4270210249518e-06,-1.30684931721753e-05,5.61710808957735e-06,3.55824972049029e-05,3.85790006231932e-05,1.44774376869745e-05,4.01194844316242e-05,9.78569508971059e-07,5.12274320700319e-05,3.04127032590188e-05,-2.0223813242928e-06,-3.09506042435151e-05,-4.69061774389613e-05,1.29704777461068e-05,9.83601032347969e-06,3.82984502255947e-08,-3.03646018283779e-06,-9.51665466605452e-06,3.72542725923541e-05,4.84631344292822e-08,1.50082171872241e-05,-1.02688669589345e-05,4.70505688563762e-06,-3.90629136051271e-05,-1.04220770992655e-05,1.17111019822459e-05,-3.25314505895479e-06,-1.18023739596198e-05,-9.52259309273784e-06,-1.67348924482686e-06,1.22670910339867e-07,-5.39254021966415e-07,-2.45044667413684e-06,-1.95378192615746e-06,-2.14239158183953e-06,5.91386405973741e-07,-4.71423826392477e-06,6.86173917027478e-06,-7.6035381544728e-06,2.52671058390593e-06,-8.85508021680065e-07,6.75322981820038e-06,-9.01300357270183e-06
