Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,1,1,3,0,0,0,1,0,15,0,0,3,1,0,6,4,0,0,0,0,0,6,2,0,0,0,1,3,1,4,6,0,1,1,1,3,0,6,1,3,5,1,0,3,1,1,1,1,87,11,9,61,6,1,10,5,4,32,16,13,4,2
2000,2,2,1,1,1,1,0,0,0,2,0,2,2,2,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,1,1,1,0,1,0,1,0,3,2,0,0,2,1,0,1,0,39,2,11,22,4,0,2,6,5,8,8,6,2,2
2000,3,3,1,1,4,0,0,0,2,2,1,0,1,0,2,1,0,0,0,0,1,2,3,1,0,1,0,0,1,1,0,1,0,1,1,0,2,0,0,0,2,4,0,0,0,1,1,2,0,43,3,11,21,8,0,3,5,6,6,9,6,3,5
2000,4,2,6,0,7,0,0,1,2,1,0,0,1,0,0,2,3,0,0,0,0,1,0,3,1,0,1,0,1,0,1,1,1,0,1,0,3,0,0,1,3,6,0,0,1,0,0,1,0,51,5,8,23,15,0,5,2,6,6,7,10,8,7
2000,5,2,0,5,3,0,1,0,2,3,0,0,2,1,2,1,2,0,0,0,2,0,2,2,1,0,0,0,0,2,2,1,0,1,3,0,3,0,0,0,3,3,0,0,2,1,0,2,0,54,6,12,29,7,1,5,7,5,8,8,13,3,4
2000,6,2,1,1,5,0,0,0,1,2,0,1,4,1,0,1,2,0,0,1,0,1,2,2,1,0,0,0,0,1,5,1,0,5,0,0,7,0,3,0,2,8,0,0,1,0,2,0,0,63,13,14,28,8,1,12,10,4,10,7,11,3,5
2000,7,3,0,1,6,1,0,0,1,2,0,2,2,0,1,3,4,0,0,0,1,0,2,1,0,0,2,0,0,1,1,0,0,5,1,1,5,0,1,0,4,4,0,0,0,0,0,0,0,55,6,12,26,11,0,6,10,2,4,12,10,4,7
2000,8,6,0,2,12,1,2,0,1,3,1,1,1,0,2,1,2,0,1,0,1,0,1,3,0,0,0,0,1,0,2,0,0,7,1,1,7,0,2,0,5,2,0,0,1,1,0,0,2,73,12,15,28,18,2,10,10,5,8,13,7,4,14
2000,9,5,2,1,5,0,0,0,0,1,1,0,1,0,0,4,0,0,0,0,1,0,1,1,0,1,0,0,1,0,3,1,0,2,3,1,5,0,1,0,2,3,0,0,0,0,1,3,0,50,9,9,23,9,0,9,7,2,4,12,7,3,6
2000,10,1,0,2,6,1,0,0,2,2,1,1,2,0,0,4,5,1,0,0,0,3,2,5,1,2,1,0,1,1,2,3,0,3,2,1,1,0,1,1,2,9,0,1,2,1,0,0,0,73,6,17,37,13,2,4,6,11,10,9,18,5,8
2000,11,5,1,2,9,1,0,0,2,1,0,3,3,0,0,3,2,0,0,0,8,0,3,7,2,2,1,1,1,2,2,6,0,3,3,1,2,0,1,1,4,5,0,0,1,1,0,3,0,92,6,30,38,18,1,5,20,10,11,15,12,7,11
2000,12,2,1,0,8,0,0,0,0,5,0,2,1,1,0,3,4,0,1,1,2,0,3,1,0,1,1,1,3,1,0,5,0,6,4,0,3,0,2,0,11,9,0,1,2,1,1,0,0,87,9,14,52,12,3,6,11,3,16,19,17,3,9
2001,1,4,2,1,9,0,0,0,3,2,0,2,3,2,1,1,2,0,1,0,1,0,4,2,0,1,0,0,0,1,1,1,0,4,1,1,0,0,1,0,2,10,0,0,1,0,0,0,0,64,1,16,34,13,0,1,10,6,9,11,14,3,10
2001,2,2,1,3,5,2,0,0,5,1,0,0,2,0,2,2,3,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,2,2,0,2,0,0,0,5,8,1,0,3,0,0,0,0,56,4,7,36,9,1,3,4,3,9,11,16,4,5
2001,3,4,1,0,7,1,0,0,1,0,1,2,0,0,0,2,2,0,1,0,2,1,1,3,0,1,0,1,0,1,4,2,0,1,2,2,0,0,1,1,4,2,1,0,1,0,1,1,0,55,5,12,24,14,1,4,6,6,7,11,6,5,9
2001,4,3,1,0,10,0,0,1,1,2,0,1,2,1,1,4,1,1,2,0,1,2,0,2,0,1,0,1,0,2,1,7,0,3,0,2,0,0,1,0,4,3,1,0,2,0,0,2,0,66,3,16,31,16,2,1,9,7,16,11,4,4,12
