Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,-40177.9392184587,-58107.6443057521,-25123.9236503816,-1128281.26276357,65450.5714041474,-142438.084948513,-27435.2503693858,792894.208474725,404725.497370441,-178314.590697969,-1255602.60856429,57333.3171157232,67846.8208383261,-57871.1538742403,17427.731200607,-104866.084786904,11810.4652594281,261648.18778218,-995698.176820819,11023.6001426168,-395381.713919623,-206584.989116115,423918.39163758,139504.329885302,66894.5779890196,38806.7542677608,6221.48761413805,315451.427392897,-109286.388868433,-390799.40624225,-427875.382899566,-85407.8819380611,845239.133096618,51398.9381188629,-308890.164801565,78167.1773180906,-235245.584432252,86283.7379953647,-162529.88340238,-148578.33745344,-1436174.18227382,-56466.3125772811,87168.210613561,134735.02551439,230993.784730768,5526.23316830653,394434.499918723,-882.11361972196,-2546669.18857962,-1218276.68508559,389743.879247233,-424205.540930249,-1275388.24588543,-1129723.03162208,-111245.023826152,316374.878771711,79245.44192826,1279459.55963934,-339897.099343032,-1448053.24274566,-149627.68463552,-1315641.59645087
2000,2,-225990.976489814,126458.431857769,-82745.5931591049,824685.074561812,535373.009348052,-207358.48193122,-48434.1279233732,-407303.515606597,-345474.851700176,78732.8161181591,284401.418474505,-105843.084725708,382531.275761507,195666.315079154,205011.5618389,16437.908555693,143387.574521047,-404830.834783639,-346712.349677764,122959.350514152,-358540.139847151,-27247.8148528212,-243844.385597998,19777.6857643011,6842.587396199,-121975.083550003,-54638.3347312793,-604359.909135314,-66676.7402296773,-118700.517816399,-183233.013935748,-33938.8953199801,-90338.6741369218,180699.215834973,57591.4161405354,-724401.968577292,-119845.265035241,49611.2101733377,197680.368410391,-386310.226105876,116845.336798925,108723.865185566,-57135.4275224947,-65318.3603619151,-91787.9134187438,-175215.101304132,-301691.627722606,106269.37841151,-2091413.52436894,-2053330.96586278,133000.700017869,-1920429.06808073,1412344.49806487,-664572.379252262,-1319950.15210494,82445.1579273604,86942.9343960099,-1648874.96792652,-421189.614479359,255029.912196737,652962.410569295,607220.374999836
2000,3,252280.207546198,-642768.021752007,130389.482706339,1616709.69527529,-42651.5731832674,149739.48409865,189266.579606321,-1180557.20822216,-125435.023966843,44926.9429289051,653452.257923764,-233012.287484933,-215737.105038476,208225.030151364,-315564.113920886,381310.233069476,-183559.050296311,-420028.65560542,-73854.736919069,-478488.103711041,326116.059938432,228882.055984435,-101877.979776854,35849.7999359795,-221288.061083788,42988.4083348457,40980.141030799,740632.23079301,-19525.3092347641,659346.837409944,425323.449132526,-5776.27934095467,126267.524441646,75459.4291066465,-262380.071390672,543633.886554634,190904.036142924,91540.4824707545,-79292.6195929538,247778.201642367,263370.398945002,204767.233867605,-66399.3698743721,250263.640999819,-122170.478913341,94556.3477039051,-197911.225280824,68432.6508387547,2286799.51110774,2272283.19737441,-233293.767014831,688891.700725406,388093.871559739,132195.082684672,2053668.95617887,-193480.550169628,-114094.359166393,-539181.458163198,348151.834360519,808586.886874177,-337526.559100997,1005499.41231557
2000,4,286436.284515473,51923.6377252275,-39011.2720520375,-276835.172704777,-192968.561727773,-279375.501251548,-69929.3657990418,-444278.938282184,-551528.089402477,21462.4189410708,102201.248134766,639997.748579794,-270234.459370171,-107961.101627424,660075.035416786,266357.763078207,-142650.332801965,51028.2507423353,-91567.5958877902,437507.522481075,479716.913382344,-49165.5745165376,-605459.375507175,-79107.3726122724,-104347.64364024,-29005.2990132358,176614.033348902,-344927.475866063,60360.9287012696,-169593.893363588,73509.5096316859,163370.646404008,-645776.134520401,142585.11184325,10003.364980259,351398.553190543,80175.0866743753,-52667.7061551283,-200400.471325897,10629.3276502411,916670.734062368,-246620.297995104,-115024.699838488,-533109.564525149,178451.008913986,43900.8902461664,-251909.436334595,-88526.0329117795,-2310259.4975625,-616153.28752479,-1034756.61418871,82127.4418573603,-494886.564666782,-393314.183269926,-208557.970331669,-13231.3076036759,-943310.371606983,-1828307.42167051,865470.480367994,1222403.83324508,-367082.104699872,-41567.5399541408
2000,5,-68424.8995479234,315205.065958953,245399.410489328,-1735871.73886443,-118535.090232045,473173.302469083,182817.90463034,-435411.245605813,170193.670536058,9872.34360969882,272695.628193833,-476440.88781072,295313.707500877,-112290.446784962,-533312.194640855,323119.83081247,127650.280215358,19847.7196424003,251756.142438057,-486242.127456998,-42932.6564992019,6526.06139285117,-37496.3427247615,-42326.2085375963,-117646.939737982,21176.4618683902,-127411.027060881,74852.3563193819,40190.2552705532,-5472.00515207928,-84856.6772909993,34736.7827259538,-623679.550912644,-37437.1298088813,202844.228600935,306189.682741155,9679.80124336184,11977.1664924962,-69931.6017431356,239589.014077887,298664.716025351,110681.516226557,65661.7953566385,-221381.469382574,-268370.557534073,19621.71638426,-49059.757886027,-6843.29253810237,-1161961.10264653,970512.622773129,-1629097.19666732,107631.044400848,-761575.598542549,619625.228787875,418048.630939171,-1587079.324258,-61073.0413106531,-290576.846671376,-326642.717489667,868138.854757756,333757.78513133,-1390738.25733303
2000,6,251606.559704414,562389.88233736,-179943.269231676,-549316.462548185,-438646.417569341,480885.261095809,-216230.379091782,630962.205344327,309902.347829469,85948.412686085,-222162.608752099,538077.181614262,402874.47428523,-96456.2603933287,95162.4696316635,-647934.510268573,97966.8013239681,211560.601943079,479225.100316477,36080.0656133723,-274566.558795774,-5504.3962052539,256390.453586763,37906.0595275589,165044.837366041,-304077.064380359,-154340.11793763,-208504.647000777,201788.775175016,802242.308846106,175786.04309454,-11677.9178550884,-206692.535674467,-435713.219457825,445151.603317088,-290750.411887295,150359.343989269,-229631.304564705,199020.528160626,372977.869491165,558219.98210825,-506.39522745274,126836.422811917,206286.096388412,-99055.2658892744,14246.9874493775,33312.920163611,-90257.4770174033,4111209.06265265,1365476.29087709,1041510.94300737,1459884.03709479,137314.344437562,1456212.26663985,-144852.069652852,175174.64385863,798363.239855409,1216310.2610708,660386.458643056,-751370.788886141,60239.8352549933,284.477989137173
2000,7,-35827.9629195305,184532.535585027,-100489.380028486,1647837.65814136,102567.521061686,145496.166933904,200369.692838766,1074466.56805957,-97235.0260150237,-209558.903943147,497507.849213181,-552487.269279199,-572970.29636441,113052.483830373,-299599.932610861,-361816.741299484,143725.634049445,631260.893106989,1265403.60488035,317013.614513874,660399.281173992,-73076.1322272734,-40633.3723242343,-46408.2130618279,146501.354068197,177075.370193428,135037.092923373,-723449.835341673,-60239.2603371749,-227720.767939006,278805.225773187,113024.01851634,-852715.590497741,-67632.8549207402,306195.246539689,70295.6271904986,65496.6976564932,-404439.545375566,121616.792421926,-296018.364862146,1688198.03223372,-142444.935403002,-79185.2444282512,707194.252091174,-115382.344991286,258730.206042428,167018.085019672,-33612.2355109334,5850186.2194522,766660.566109631,2177.48354627192,2803990.18395095,1626612.16613213,1354164.47105635,-679510.596404295,-547408.029015116,505527.531721519,2586194.0648673,-634685.905929988,936361.714080341,42942.3412054777,1928621.41922125
2000,8,4391.75366109004,-114218.262034429,-70498.9647946346,-1896050.64685954,-341439.729754351,-280468.941510909,-237614.368401171,738806.802273989,137560.597537986,49483.5593543941,-103940.706421139,222486.688713889,-258122.960235443,10368.0515378057,7579.27754638065,-90153.2319659293,-167596.825522192,-462204.863424022,365006.536886541,363733.981303481,-115092.984953567,163139.460915085,206847.010834199,-97772.1154812503,76249.7547406839,146214.719566682,110683.843007309,-85229.958379392,-126485.371537433,-232119.025649765,104199.131669248,15692.6612401925,704016.174341425,-223837.384541659,-379493.527414192,153853.523417824,38110.0582213432,137064.917171066,142538.406629445,298918.6202586,-756145.132846802,53788.1186432489,118141.261109824,-493655.196274811,369199.386971707,-111482.373964133,-54287.4879821478,13591.9586695842,-1544730.41326278,353946.830211278,1298628.91341528,-592402.223213702,-2396793.33890165,284385.11576679,94480.4920144677,1224322.84503509,64275.4677275009,-103478.878863703,436279.77692535,-1026807.59082185,-555690.270319751,-1775853.32793091
2000,9,-310724.490817084,-705143.137258583,5582.23834781395,1031363.84086707,150207.252877586,-233101.529814821,-33825.9123914504,21166.2299209069,-186158.752026992,138355.355219007,135340.868456054,37143.1517061577,-339656.926310328,-124549.980732139,29515.6907179342,-469499.453747295,-108344.698155519,417496.865588201,19298.7054565782,42616.4669844648,58729.9280027621,257001.156103964,121236.799939398,-160920.353678849,-6572.95984711451,267791.691037979,-9403.06191509299,215301.580765944,182518.490483912,-618340.230742692,365117.163888982,-88606.7819120937,507101.621174023,162378.414504967,71741.7767518489,-353758.62270601,122384.331569694,285776.71555853,2459.95229595184,-352774.776417737,-659575.785095043,69915.5129380126,149.577887563501,-727487.199744377,95265.50054962,-118596.103877024,400771.917937686,-63228.0487084545,101360.901627362,-1020228.59100835,780300.409459464,-1258875.99366531,943172.710198969,-201331.161020375,-814960.018965134,1110628.98176051,-263009.532114023,26816.4065548107,-401340.930374363,-852683.748319462,-18217.3932188321,1212368.83733551
2000,10,-469839.501657084,82635.8183129071,24016.2598397885,-681080.438718475,28387.8285911805,-163199.573646792,-57425.245045556,-278475.660575991,305276.624281027,138431.098898786,353274.395492124,-580705.775975516,171931.801213961,-270329.870093052,-32453.0010137404,-93857.6948243594,-59132.2964392127,-350217.328780909,304096.215628162,-229476.56446204,-19437.6686001769,-15136.0203323474,508167.971503003,-4581.20810139342,209790.9320675,116588.978180142,-250227.538787635,1095058.89208043,92452.6600306958,-487527.963763917,-530354.896229806,-217599.999111846,305860.936109072,-114424.880163938,-25391.0782159485,85341.845577524,-182978.637856862,232238.016203334,18637.9895413676,337707.077255752,-1643162.06555843,165038.839860359,-33010.6247055132,453466.872180667,275865.105190573,-79519.3003142821,-95977.6911909343,-34759.1293179225,-1403978.82247698,275815.458656065,53033.1400656626,-1837013.80671211,614055.731875025,-579488.694199878,975733.667028241,-326424.388342001,416248.15308952,-135177.586715691,-114328.339992372,-1710943.26773386,485472.419118695,-229256.353103068
