Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,-96454.6226321277,-19352.5076692509,23110.2846408002,48565.3177544232,-48182.7383211656,-24759.6787213152,-11328.7762774291,-667897.412230256,-296206.9715354,-40219.2761071294,-552329.740658334,-346410.955389462,-176169.575760277,-122294.631138409,-168224.663211588,-108001.275777037,-53423.3693275081,-208291.414918041,53757.907223413,-181113.835521664,-245606.540238675,-65258.1888559356,-267946.579526361,-88469.5819477048,-82155.4961904995,-18921.1049951416,13209.5850392118,-264142.547382032,-30807.9045492548,-625806.094377325,-425527.037393406,-81665.8094849175,-528393.95220001,-45734.5375250909,-79886.0702861489,-387420.598831662,965.873937193188,-124442.080339612,-97821.7711469252,-295375.848427791,-671552.036041683,-82115.7606664139,7259.68230274651,-183082.205942809,-148032.464046777,-56989.4772100304,-212941.428593044,-10289.5596320154,-8094177.47013,-1280359.24013731,-2894850.31584856,-3401256.26367746,-517711.65046661,-2989.99954626057,-1277369.24059101,-1821189.91236251,-1073660.40348609,-1973765.375847,-625313.323127426,-802177.564703036,-338358.43388807,-179353.216578506
2000,2,-84551.3003505939,-169636.387148411,-63523.5956664197,-1226491.91060448,-39892.6431114599,-272032.730262704,1090.04583615134,388205.364229423,181905.738278024,-56557.5294174367,-505028.505622059,43536.5285149938,-14136.8421492658,-36958.8118258035,33090.5277886302,-121932.539750299,-7166.57584213023,29430.9963262836,-876502.77273376,-14568.0481863944,-244548.119997417,-77602.8018101538,120529.681194484,18894.177574528,-37871.510000102,-51434.143032667,-47483.3415225666,57302.2013474568,-66653.9308197157,-287268.022420195,-77191.3409626056,-32960.4273669242,363592.4229791,-77187.2622200924,-150868.026186372,44522.2047418216,-110644.716822058,35580.4088888969,-56102.8711637309,-14275.4553864384,-918712.52637396,-44701.0276938709,-8573.33740597114,86583.7373482487,-75950.9693592796,16127.8716869731,104683.436953664,-8376.49931624555,-4352311.17884284,-1507847.09092008,-309833.066669468,-662962.132137939,-1871668.88911544,-1322403.47458919,-185443.616330873,-7784.16536069661,-302048.901308762,661732.821631379,-143339.029758533,-1181355.92401069,-418357.982965292,-1453310.90615015
2000,3,-9377.48540181061,239694.537777754,-105.945832365891,1290832.45890625,475689.234573195,-290232.757744079,-64073.1987035412,-296504.808068379,-170745.920116171,59826.9329082555,274060.814731741,30545.062684461,173900.401660272,135599.57036502,-65721.1295656688,-1707.24511107476,-18419.4136094879,-349434.039340286,-676341.697932212,-13358.2946154168,7613.11977613438,-7387.47413867572,27288.312955278,48776.3836054804,131336.720075864,53350.6652529021,-84063.1481275501,-760997.711734969,63606.0045904508,-855662.61041608,-212684.659420403,37735.4653105378,-211527.9666072,88822.7204088019,154209.255642289,-913055.358080084,-90362.4830701994,-134698.119967957,92830.5469449128,-213081.002473276,624300.268716061,103781.021788001,-34806.1289274637,-394281.637005921,154085.317338642,-110011.407634591,-32599.3432139824,34033.3199732958,-1709322.85087362,-3723941.30964209,653424.410067633,-1316691.08365533,2677885.13235657,-1194225.629411,-2529715.68023113,47120.2729796022,606304.137088036,-1732433.79025725,-295567.09157946,711309.798181385,1078758.10046935,1599127.03188721
2000,4,180145.804585716,-175100.462789155,122121.142791423,1747342.13489813,185857.25372784,208109.331179052,89945.981046,467840.680393457,251824.308630066,66866.1364397933,763451.311335362,85404.4973857068,43945.5988289784,163302.165895722,277322.94989695,280682.898489515,19377.0606142057,528545.705840192,648120.817450543,38783.9277544292,285528.519554613,180069.468933236,171349.378887738,96830.4030497903,-24892.6996854971,77875.0170024054,-8663.48082730139,1243143.80668553,13176.6911622635,1381886.59273243,699988.866359379,28808.2651773969,550445.890917911,174706.145480548,-76866.9040095971,1237882.14706535,80132.6056796546,343753.677662309,-34738.4599421367,502680.255957245,842067.641281225,212784.42489634,-20461.6299687466,778144.484235233,102077.251977576,190969.770055052,19967.1127084335,68824.4033497322,15111358.8907717,4789527.25061075,2091355.50881862,5910809.78163761,2319666.34970511,926614.704127414,3862912.54648335,1458052.74010183,633302.768716827,3351013.47422169,1140218.47937315,1419577.82804277,547113.866839031,1772552.48286604
2000,5,-22642.0882445434,-141539.617221171,-62189.3075023754,-1279907.51092235,-341191.067542986,-89537.0570166518,-35862.5006592864,-445747.648682749,-309954.127683573,-48226.0584981957,-42703.7314463919,336057.196716819,-104560.568962299,-112657.534911778,113504.111129558,12074.058579444,-67998.7275657197,-190551.095550786,-75831.9223588125,24325.2372294702,120700.849991713,-37091.0824908281,-321094.221305574,-47825.3737108482,-86720.1907182473,-77157.159211172,-41971.1390017555,-424397.435823458,-41603.2633085269,-545833.959515315,-123779.21114717,24195.4824594625,-223547.579376396,-70667.1510332541,-69852.0474370944,-169810.801210932,-23467.4381017332,-122647.30102458,-30462.1793793848,22904.9735855726,61660.5596372392,-158921.909871086,-28752.54517274,-389138.695376415,-75313.9581317143,-30071.4049454795,-143451.287465976,-49186.269261427,-5988441.69946164,-1467601.02576713,-559918.527168568,-1630197.91140928,-2330724.23511652,-327558.829217411,-1140042.19654975,-49320.164342463,-510598.362826109,-1647751.98507003,76675.913979724,-59121.8403189629,-905650.718625395,-1425073.51649111
2000,6,64570.6295960811,203058.761645705,59208.434991949,-157887.762368746,-49353.3570839632,283507.348337355,75665.2212841637,333000.050243193,195589.263164742,31538.3696995417,358223.624158254,-224543.570440274,88300.5819022448,46984.9282420143,19355.7320544701,204920.712213929,92327.0139011015,467874.433284282,573339.637688299,-44997.4504383691,86684.2206805833,80695.0853724442,108879.200339606,30701.5803431306,-27660.930390746,51880.7156238614,50629.6195461091,773887.942602563,27610.7640327655,1087257.88371307,191700.529072378,17762.3394079023,-129192.136908663,77345.7687125993,24180.3517432571,805017.914635941,84456.0445459132,149680.92597989,-4710.93181198166,255778.70017826,541873.846760949,113347.100484012,20897.1218658761,251367.970187314,21705.0902380352,67140.1487726986,43758.3468613401,18320.7943795979,7441678.60904494,3771320.5268362,319488.221601907,3035767.45186939,315102.408737242,1105156.78588465,2666163.74095153,3248.81323232129,316239.408369629,1732018.54198869,420400.14720129,883348.762679372,427104.729124634,-112002.320387412
2000,7,198036.371381846,272156.386597623,-24244.4676386928,90263.3182393201,-111192.345613966,258595.92337864,-15640.0207606674,858504.318053809,212620.064476691,53141.0360612244,449528.394014759,336116.082846147,191340.582046409,89442.0593949065,330032.713880452,-69077.9914794248,83455.286575224,-165181.656948099,729061.862303125,266998.664924834,78044.2073218897,22996.6713823208,289928.245392321,79893.5353045361,62649.3921456065,3353.73484492349,44324.562379259,86319.453207165,44528.8904264353,1063509.68296717,232300.749054948,35925.3594439304,303481.513651434,39256.8747784235,43425.8176604989,338144.552614553,91977.621999778,185727.661064289,48107.8942479382,474463.683668552,268664.215141358,95514.2724031729,12209.5190138071,368317.191309848,188200.598180405,132962.498511092,178023.88365625,29169.7200248315,8875378.58353108,2707598.46443874,2329586.27908646,3049738.87587675,788454.964128952,1219624.77564984,1487973.68878885,1534148.53909344,795437.739993002,1809610.80476189,1025529.44031316,214598.630801696,466565.230048796,321889.734080244
2000,8,99988.4912965861,156513.9207238,-40477.1451114819,1528080.1809349,69174.6780514768,359370.871173928,89831.7887584859,788921.785406861,55894.9393793643,-21914.251326373,258135.380258015,-187975.534121169,-34488.6566529169,73541.5880119884,-65417.3009076449,-32514.0744426763,99880.9598933659,642459.587837651,1024706.9452262,387773.227705324,474172.626709107,-3490.535737094,37501.5001920317,-3224.48759134684,82861.0578875418,58288.4399269281,112641.078469386,376752.000517698,18894.202057312,818317.091373503,401919.504718427,58165.4028986546,-28799.7231072653,50081.8076009145,115318.837550351,765817.656785442,133014.673895703,34292.6999557652,77839.3038752936,-103241.288194175,984245.76875647,-5400.16708269971,33876.1621982803,723810.223662676,51581.8941473244,116012.657966095,237114.812575298,-4267.5813218095,10865583.0027819,3724377.43953349,1435840.98623186,3742318.91094626,1963045.66606989,1763490.69085687,1960886.74867663,666248.163310174,769592.822921667,2853143.18768533,-72160.633542303,961336.356803194,268064.753437243,1694980.91263257
2000,9,-67997.9180840584,-213848.996243507,-61108.9033435232,-1770741.76791024,-245259.038448578,-61838.4212897465,-97036.936250865,68003.8744987845,-55413.1993429372,-16381.646139379,-272297.635760393,-10692.3642459861,-77555.0305055447,-41023.8003703041,-21339.4544648477,-96866.4178004232,-22121.9426531929,-662289.471923678,51972.7305189075,-66381.9565907614,-121770.388780234,-8254.96273520752,3603.94441784546,-29681.9595307355,-446.876536574913,-41972.8529978577,37309.9920687751,-701579.920083484,-78417.3148748801,-633697.063621162,-305336.21543876,18507.2090159186,62045.8010618128,-120955.125234416,-104633.838306357,-542925.271575928,-13491.6716751467,-16227.9306357428,42074.6009050885,83854.6879315013,-1051525.11948175,-19597.6241742379,22329.918632103,-574607.107243458,-61612.0381853641,-68477.4645778148,-83925.0017188271,-862.468867137737,-8050490.35859202,-1864041.64967888,-547861.499107912,-3055577.66412719,-2583009.54567833,14160.6056017056,-1878202.25528054,-371251.157254145,-176610.341853797,-1711384.45091451,-13737.647352634,-1330455.56586012,-646021.901276343,-1936987.64440199
2000,10,-211675.737945192,-269954.913986432,-51360.3658551073,-2218443.52843457,-373788.157595483,270914.301946269,-69156.6864430776,-1972514.61073688,-29362.5065225093,-42400.0410804133,-954533.375163462,306873.193778883,-157608.582900409,-347895.946791614,-992955.692213242,-141884.178882042,-42140.41405235,2258.49467673246,-734332.065400072,-156864.269104396,-215069.402825911,-83343.6739058727,-173203.584002703,-232224.955732698,91129.6457760666,-105993.886133749,194150.082741937,-971905.253639325,133757.926161855,-851430.349131615,-152501.890619208,-33722.3411908198,47849.5835462119,-283094.535328418,615298.197990834,-1619583.60594803,-6405.31332831352,-695682.511446121,212826.508179284,-1274954.23551047,-137261.015133936,-483515.829142321,143539.861606542,-1529982.59643614,-103295.727608954,-465440.474888231,114285.997827929,-216963.957009919,-16269562.4178372,-3617192.75520498,-1265932.57287092,-8088912.21718968,-3297524.87257181,-174273.546485991,-3442919.20871896,-642388.869114857,-623543.703756103,-4912382.78241539,-2562929.33957479,-613600.095199522,-1591083.81451917,-1706441.05805263
