Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,7.69706545493868e-06,6.30125746774325e-06,7.09763672163106e-06,8.35439037639142e-06,4.04072485120903e-06,9.19881430593453e-06,6.19565797350976e-06,8.98418263409988e-06,9.99396915446318e-06,1.38267425254689e-06,1.19349477124199e-05,4.82589036065588e-06,2.7580667244453e-06,6.09807624670909e-06,3.73867416225002e-06,1.50244442666251e-05,0,2.36597655802861e-05,5.73480187609411e-06,1.28721044339382e-05,2.24833981708887e-06,7.45544559636613e-06,6.7449920920508e-06,6.1150655452294e-06,9.30364676425853e-06,5.29317335734514e-06,0,5.88816661096311e-06,1.24143262039648e-05,1.03400339355749e-05,8.8482067710806e-06,0,4.34147725798008e-06,4.94071807094156e-06,1.58076594698313e-06,8.55831150606479e-06,3.60249630452532e-06,4.17479083306209e-06,0,9.77298381259176e-06,7.2952948304948e-06,1.83469427515086e-06,3.19164250709694e-06,6.30023341515822e-06,3.04045575433695e-06,3.1521359696551e-06,4.43332414530921e-06,3.30657463696682e-06,7.596213195221e-06,7.92192771703806e-06,7.08955635157412e-06,8.39959078551279e-06,6.3684027517682e-06,4.60157479338095e-06,8.97171897039766e-06,8.15768851466991e-06,4.76335182570833e-06,9.02396854554503e-06,7.24354455630241e-06,8.288438941609e-06,5.26004690737604e-06,6.93898989199324e-06
2000,2,4.83106734456782e-06,6.06404119950158e-06,4.88493465140359e-06,6.25490357740575e-06,3.68329504506145e-06,6.07965963787343e-06,2.70991509599831e-06,3.97524008262094e-06,4.11442565511504e-06,1.33087149518318e-06,8.03841211544717e-06,5.20158774759991e-06,6.85607915109443e-07,7.61698689546118e-06,4.92727332447006e-06,1.45017068981668e-05,1.6191516095198e-06,8.14478129940288e-06,2.27198707244292e-05,5.88746575212369e-06,9.36006234727881e-07,9.51003651953888e-06,6.77263135979228e-06,1.60757783203915e-06,6.9095985542098e-06,1.00215787956668e-05,3.81466242247351e-06,4.11147715880115e-06,7.40046093451716e-06,7.81194383881118e-06,5.7830593902521e-06,0,3.82555763789468e-06,4.70683666030719e-06,2.09633526536274e-06,4.59322483752029e-06,6.14014803015947e-06,6.25931082949609e-06,0,5.36362521434998e-06,4.94610641114834e-06,0,3.60214291030732e-06,4.31434116291441e-06,2.69536664772804e-06,5.42137053554103e-06,3.12199554322469e-06,0,5.36166446383006e-06,5.84815077433092e-06,5.0626950208976e-06,5.53648965688519e-06,5.07214398652233e-06,5.98947575270039e-06,5.82472391613743e-06,5.37913597537295e-06,4.33279097663144e-06,4.9109328617383e-06,5.84338897956029e-06,6.37127790975831e-06,4.53542657212524e-06,5.35439900519034e-06
2000,3,6.58984855757114e-06,1.05399331009525e-05,6.38057622791804e-06,4.6497495610129e-06,9.0181552125482e-07,1.06003848337699e-06,3.09060981188137e-06,4.65371140175483e-06,8.9560312922375e-06,0,6.81039412875545e-06,6.1769576209483e-06,0,3.85336206500089e-06,2.69568539508821e-06,1.3415975199708e-05,1.34832610390948e-06,1.84275375203299e-05,4.59298454706515e-06,1.05221959250149e-05,2.49796185704855e-06,1.34503683416843e-05,6.01437874263988e-06,1.43103680812986e-06,3.01878218236183e-06,4.1976352473654e-06,0,4.32200856358705e-06,5.78558660730589e-06,7.85968509300518e-06,6.66767613275051e-06,0,4.03290638117871e-06,3.262686166174e-06,2.21582505646133e-06,5.09108696255944e-06,0,7.66710534537429e-06,0,6.88053158156339e-06,5.13376464678201e-06,0,0,5.7385154301883e-06,1.50084705761626e-06,1.55507901964956e-06,3.94733077776812e-06,0,5.60582651552799e-06,5.3171907956273e-06,5.46359842658846e-06,6.75652801188568e-06,3.97530948050601e-06,1.76705083761887e-06,6.26451587788663e-06,6.52398158550059e-06,3.24006122763455e-06,7.04822456087032e-06,6.95375413089069e-06,6.23203402553432e-06,3.97772308533009e-06,3.97405248581221e-06
2000,4,3.82300863510659e-06,8.96858837627158e-06,4.86566025372098e-06,7.36301062073787e-06,1.37865469813976e-06,2.3898671813567e-06,0,1.84594402345545e-06,4.7324157040418e-06,0,6.69781918691646e-06,4.45466348271848e-06,6.59028827460943e-07,2.87746961965276e-06,3.67858550615648e-06,1.27763510290512e-05,2.72786987228439e-06,1.11565233828166e-05,7.33595019818311e-07,9.86501296524009e-06,2.64830067907307e-06,6.32060090016491e-06,5.43959826304037e-06,0,3.47609529514173e-06,5.09739526776396e-06,1.48301844651786e-06,2.99832298580854e-06,4.26101397464252e-06,5.57470144798326e-06,8.3272464380045e-06,0,2.51945505138308e-06,4.32584114466911e-06,1.38667529893656e-06,4.45617939393764e-06,1.98081916815167e-06,2.50825034789828e-06,0,5.42355986376744e-06,4.20325245387907e-06,1.44224205639649e-06,0,4.70809228675831e-06,3.23891693394709e-06,2.6730388207529e-06,2.41497212841541e-06,0,4.83717829529676e-06,3.91821141143779e-06,4.66670229083807e-06,5.02744685933348e-06,5.39947956377028e-06,1.50031353418075e-06,4.67098505444971e-06,5.37890246463569e-06,3.1337659888897e-06,4.78151180638782e-06,4.75786326033788e-06,5.58718981726203e-06,3.6381657242643e-06,6.25583808549358e-06
2000,5,1.50662325821708e-05,1.0102366930279e-05,7.90202317681909e-06,8.58692080761665e-06,2.18773537932239e-06,1.26051011834169e-05,0,2.92635663395675e-06,9.37545683568803e-06,0,9.79361265216613e-06,4.65596181856875e-06,3.10826486060543e-06,5.63460789983031e-06,2.36575826813796e-06,1.34372801517315e-05,1.91692313387849e-06,1.71185398922998e-05,5.83425688569856e-06,8.63097813524864e-06,2.06802447744476e-06,1.41621598629221e-05,4.78804630218802e-06,3.38715302892006e-06,4.13955548043858e-06,2.9007590928671e-06,2.07681861136845e-06,1.16902760127812e-05,1.08037955460866e-05,9.49639232007995e-06,9.00265519807989e-06,0,3.436534053055e-06,5.1726294679476e-06,1.02953342870052e-06,4.19045986649359e-06,1.93694823764694e-05,9.16483241694154e-06,0,6.41931882124049e-06,5.03584835174997e-06,1.89233560228021e-06,3.83363412482e-06,8.50183894118614e-06,2.05776427283645e-06,4.83493913737892e-06,2.42631012005818e-06,0,6.68419249076623e-06,7.21921088054925e-06,5.47585437402825e-06,7.37976980773939e-06,6.3882303884169e-06,6.75172624739595e-06,7.32953516399832e-06,6.28393245473681e-06,3.57131438144205e-06,7.3820399904027e-06,8.74141092026115e-06,6.55476937281149e-06,5.16961856194522e-06,6.95771363306334e-06
2000,6,9.48953965364835e-06,8.00589146030616e-06,4.58841455509463e-06,8.64384020921998e-06,3.36210599523714e-06,1.99650430184712e-06,2.34652899550306e-06,4.15301924618124e-06,7.09503182117403e-06,2.29677088308726e-06,7.5267952040573e-06,4.66268984421042e-06,1.83120414529782e-06,6.27781279314505e-06,5.43701461479777e-06,1.11052341970657e-05,0,1.03349075735833e-05,3.90963600437523e-06,6.18102209841234e-06,3.04408438564329e-06,9.54659188261196e-06,4.52351352600389e-06,4.44103763593014e-06,1.16366135598057e-05,9.8503915607824e-06,0,3.47680601926657e-06,5.00456852721749e-06,4.77847235752634e-06,9.31057902030447e-06,0,2.79154792255033e-06,4.42195295505491e-06,2.77676887651205e-06,4.55722679652483e-06,6.6984297481189e-06,7.29217956917465e-06,0,7.9504966203719e-06,5.65964541248465e-06,1.45630144595342e-06,0,6.88244042007146e-06,2.61547714966011e-06,3.15473756924069e-06,4.7898371138566e-06,0,5.88701279218095e-06,3.97289241206125e-06,4.98687532059976e-06,6.7555718056055e-06,6.59576780838167e-06,2.45619267270578e-06,4.45876713421535e-06,5.32219364865263e-06,4.24680290127267e-06,6.63217494549423e-06,8.01774181579503e-06,6.22799426422644e-06,5.20499991068599e-06,7.29979193630071e-06
2000,7,9.91513559119635e-06,8.15766915022344e-06,8.5702538730537e-06,7.73176339756746e-06,4.43119263866665e-06,5.57246158043831e-06,2.50785883036214e-06,5.15809921733923e-06,6.29021156529136e-06,4.627865673328e-06,1.25728611473454e-05,6.02163045358046e-06,0,3.14048384696867e-06,2.63423609460492e-06,1.1881519719286e-05,2.72362228663822e-06,1.25248365529784e-05,1.91158798096184e-06,7.60470779013652e-06,2.30549765091549e-06,6.91911505784023e-06,5.74243591680747e-06,0,0,7.41550000772819e-06,0,7.02722928086491e-06,9.13833219087539e-06,6.00039952644097e-06,6.2177308686399e-06,0,2.93873916966034e-06,6.04484025127513e-06,1.37867761482091e-06,7.40405823710982e-06,2.07224424135264e-06,3.48179652497096e-06,0,7.75396702543764e-06,5.03274656886176e-06,1.56765392126078e-06,0,6.58132180712676e-06,2.77315888771924e-06,3.73420828418287e-06,5.34920377884239e-06,6.52847577322222e-06,6.09064547711099e-06,5.69538802468505e-06,5.81974858588614e-06,6.34769133839479e-06,6.20215777367283e-06,2.64717535908473e-06,6.68707265861671e-06,7.15533766086138e-06,2.79915792090099e-06,6.09419178049601e-06,6.87796725018298e-06,6.44331453485844e-06,5.8014354772974e-06,6.40175663804827e-06
2000,8,1.20407608069639e-05,7.11292777465113e-06,5.02909188710359e-06,7.97781254420895e-06,1.11609511333319e-06,6.61076626956786e-06,0,2.37962567741517e-06,8.29786696755373e-06,2.62961523189564e-06,1.03951994252898e-05,5.89469415253292e-06,2.18471471657056e-06,3.12593954458506e-06,4.96253038077473e-06,9.87754340511622e-06,1.41923205965452e-06,1.13217859438328e-05,2.22641750305733e-06,6.94066111550353e-06,3.13526665934596e-06,7.17206654258392e-06,8.08153925059446e-06,3.21953597740012e-06,3.02778252381998e-06,7.69521724490778e-06,0,3.64226040340262e-06,6.39151139325636e-06,8.43582005506999e-06,9.49236737701332e-06,2.47413417474838e-06,3.72476390544673e-06,3.70253638139764e-06,2.39958400147996e-06,5.31614241755789e-06,1.2331999866965e-05,5.78176080471075e-06,0,6.3107809973838e-06,5.52016860873194e-06,8.1785524221132e-07,0,4.4193867376686e-06,2.7922184654208e-06,4.50805833970829e-06,2.45100329905839e-06,0,5.97214949110413e-06,5.68592586661107e-06,5.67993096719914e-06,6.20803343446081e-06,6.01441240890764e-06,3.47421243392643e-06,6.40304049039474e-06,6.34441996588265e-06,4.28560816284678e-06,5.90521633755075e-06,7.66106024495594e-06,5.89389919638315e-06,4.19297792294141e-06,6.82636152645855e-06
2000,9,9.7217855492907e-06,4.2793941440742e-06,3.93485602873171e-06,7.45334656009966e-06,2.88274155913165e-06,5.11310130162842e-06,4.53221870707779e-06,3.3665642693653e-06,6.45174919856988e-06,1.20372657409077e-06,1.15393283216638e-05,9.78675669551784e-06,7.41551051842824e-07,8.20212740153174e-06,4.73092756349146e-06,9.07514224324597e-06,1.41591717343339e-06,1.82399508901756e-05,1.18234950212256e-06,8.71681962724769e-06,3.37022297922726e-06,4.51122436376073e-06,8.41680364092657e-06,0,1.17031019966144e-06,4.61014255133665e-06,0,1.04810065658523e-05,4.96443504439831e-06,6.60020075404701e-06,9.41785829079939e-06,2.54414685927707e-06,3.6433105711524e-06,2.0163952501849e-06,5.64112788122994e-06,6.85737808660778e-06,3.15318080657293e-06,5.79500762529996e-06,2.01144254982179e-06,8.38176350694116e-06,7.08359177432938e-06,1.7185431359805e-06,2.85677031151966e-06,7.64903580664632e-06,5.25706677801606e-06,6.18510164525013e-06,4.34972533106392e-06,0,6.38948984203003e-06,5.85923939377853e-06,6.83117049246854e-06,6.68912632798684e-06,5.72580851167584e-06,2.12313652868675e-06,7.1743127336341e-06,7.68670897548243e-06,5.03065361189129e-06,6.62634758139604e-06,7.13096841582207e-06,6.49885444525721e-06,3.08944787302218e-06,6.97198785226936e-06
2000,10,7.07519675993049e-06,1.28446099504425e-05,7.31728806663809e-06,1.11215798568417e-05,3.29333491084076e-06,3.66377990120691e-06,0,8.98166061288645e-06,6.80660478895696e-06,0,1.61191874132751e-05,4.69009472162201e-06,3.41405642137923e-06,7.14635473938822e-06,5.26876332163586e-06,1.18071014795774e-05,0,1.23462641272291e-05,1.79214173964142e-05,9.30675360412511e-06,1.94580447914462e-06,8.4259219275139e-06,1.18527127460018e-05,6.63883520087456e-06,1.05028532667375e-06,1.48607473667994e-05,3.62937763250858e-06,1.32849051095999e-05,7.41267864184902e-06,1.04785504890127e-05,8.12028389886174e-06,0,4.22403470466913e-06,6.94773134859808e-06,2.09930408153697e-06,8.08967765431851e-06,6.66496550689919e-06,1.24247587670962e-05,0,2.16233186335676e-05,7.42207359548216e-06,2.22766564698984e-06,0,1.02531690530764e-05,5.18849579411006e-06,8.30095499720258e-06,3.51486646692622e-06,NaN,8.1538813946505e-06,8.27992401170937e-06,6.86338855913593e-06,8.77542389409322e-06,8.43249526405228e-06,4.09911394500564e-06,9.8946145955693e-06,7.5327335344274e-06,5.37175103369214e-06,8.82393315708793e-06,1.00793404162475e-05,8.07995006042906e-06,7.79051297551247e-06,8.72715387999188e-06
