Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,264616,163679,192132,827553,279937,45309,18651,280002,265119,77010,201685,217845,48668,114095,265671,208782,49766,56875,21274,194199,155781,194314,220803,77434,33328,66613,40430,41114,100705,125403,214267,31440,317797,181388,170016,566059,11451,149357,33324,283142,692415,82329,23341,221942,127698,143036,189708,35779,8323282,924147,1758673,3631709,2008753,191571,732576,1121234,637439,1349249,1007743,1274717,883486,1125267
2000,2,283925,175864,207781,873118,304748,45309,19784,300592,284450,82332,215529,232577,51497,122314,287292,222062,52489,60413,23421,205372,165458,209483,237735,82735,35060,71045,43080,43892,108392,132487,229447,33341,342001,196350,181567,603572,12304,160409,35612,304320,740001,88160,24931,237736,136844,154582,202721,38467,8902601,981485,1879217,3898627,2143272,201534,779951,1198200,681017,1447413,1085020,1366194,951743,1191529
2000,3,300917,188119,220872,922674,332403,45309,21035,320816,301883,87894,229927,247670,54396,130669,306656,234398,56003,63924,25968,217605,178587,221824,254136,88737,36779,75469,46398,47155,116116,141410,242420,35772,366697,209052,194030,651654,13243,170458,38112,324260,785173,93709,26892,255644,146958,165436,219336,41150,9495745,1054032,2009686,4144768,2287259,213813,840219,1281235,728451,1541616,1153657,1449495,1023597,1263662
2000,4,313934,198743,231100,970009,354180,45315,22143,338370,314744,93006,241405,257157,56681,136565,323043,244174,58969,67175,28458,229034,190503,230967,268361,94481,38208,79432,49466,50140,122356,149905,253036,37982,387867,220568,205023,690474,14027,177531,40412,338604,821620,98088,28600,269005,155348,174691,233776,43508,9988184,1115354,2117951,4340705,2414174,224835,890519,1349239,768712,1616695,1206548,1517462,1083794,1330380
2000,5,325766,208130,239974,1015172,371842,45315,23013,354980,325781,97574,251298,261623,58225,142058,335956,253238,61403,69631,30039,237709,198420,239425,278935,99703,39465,83231,51921,52884,128115,155797,261957,39653,403243,229891,214259,722823,14696,183856,42313,351572,856019,102094,29822,280357,162981,181834,243698,45577,10403268,1164700,2196640,4513250,2528678,233196,931504,1397571,799069,1681409,1252719,1579122,1136266,1392412
2000,6,338710,217631,249154,1059322,392452,45315,23893,372664,337969,101974,260303,266201,59891,147263,349835,262891,63809,72276,31702,246592,206852,248645,290019,105028,40756,86842,54573,55808,134155,161186,272103,41382,418973,240262,223634,753941,15378,190848,44218,364168,892057,106058,30951,291486,170786,189231,252858,47710,10829755,1212663,2275308,4696192,2645592,241728,970935,1444927,830381,1750470,1301358,1644364,1191850,1453742
2000,7,351159,227176,257878,1104172,411740,45315,24805,389482,350445,106350,269632,270708,61605,152416,363189,273078,66495,75188,33201,256323,215684,257916,300631,109674,42235,90427,57293,58379,139556,166860,282408,43100,433851,249729,231793,784873,15973,197869,46312,380389,928647,110011,32157,303372,178544,196974,262356,49687,11257057,1260546,2354853,4882528,2759130,250434,1010112,1492870,861983,1820543,1352653,1709332,1244621,1514509
2000,8,367562,238122,270117,1154973,437304,45315,25847,409057,366576,111910,281862,277489,64497,159192,381238,286816,70146,78729,35205,269365,230005,270954,314538,115234,44330,94165,60508,61428,146234,174843,297985,45841,454738,261364,242037,819573,16672,208669,49493,399835,980458,115122,33701,317342,187781,206034,276365,52218,11808789,1317391,2467715,5128583,2895100,261547,1055844,1559819,907896,1910239,1419589,1798755,1310309,1584791
2000,9,387447,249427,285241,1202711,466265,45315,27122,429045,385475,119684,294552,284937,69213,167200,401346,304617,75960,83448,37280,292858,253297,285003,330675,123147,47343,98468,64666,64440,153502,187253,315152,49885,478853,274444,257265,861164,17426,219458,54188,418922,1038978,122141,35932,333739,199550,218092,298604,55843,12466573,1389436,2621605,5407529,3048003,276579,1112857,1649804,971801,2011531,1492718,1903280,1388477,1659526
2000,10,407094,260585,302021,1254770,496479,45315,28734,451762,407116,126529,308950,293905,75477,177716,422717,324051,83529,88765,39810,316170,276033,300289,351883,132119,52176,102459,69174,67716,162011,201780,334435,54469,503888,289264,268692,909270,18293,230220,60375,439000,1095302,128663,38620,351196,211747,231742,323340,58853,13174504,1473507,2794382,5703708,3202907,294741,1178766,1746253,1048129,2123970,1569100,2010638,1467698,1735209
