Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA,northeast,midwest,south,west,new_england,middle_atlantic,east_north_central,west_north_central,south_atlantic,east_south_central,west_south_central,mountain,pacific
2000,1,1.34698645461427e-05,2.01640238967784e-05,8.11158482472121e-06,9.31551493296742e-06,1.5713929976924e-05,1.02209047843717e-05,1.54891449337744e-05,1.87705244319587e-05,9.5180658613935e-06,1.38267425254689e-05,8.30257232168342e-06,1.41064487465326e-05,1.56290447718567e-05,1.21961524934182e-05,1.08421550705251e-05,6.59609748290858e-06,9.36232306028538e-06,1.24213769296502e-05,1.63851482174117e-06,1.51436522752214e-05,9.55544422262769e-06,8.85334164568477e-06,1.85487282531397e-05,2.64986173626607e-05,1.7056685734474e-05,2.32899627723186e-05,1.19100141839854e-05,7.06579993315573e-06,1.65524349386197e-05,6.83180813600485e-06,1.17108619029008e-05,3.95152054691822e-06,1.23389353647855e-05,1.33399387915422e-05,1.00115176642265e-05,1.2552190208895e-05,0,1.57714320360123e-05,1.25456483998606e-05,1.55019743234214e-05,1.05138072557131e-05,1.37602070636315e-05,9.57492752129081e-06,1.3500500175339e-05,1.6070980415781e-05,1.10324758937929e-05,1.42851555793297e-05,9.91972391090045e-06,1.2094529389039e-05,8.72026151797988e-06,1.30852954374768e-05,1.23193998187521e-05,1.28112897462471e-05,6.90236219007142e-06,9.29502415852009e-06,1.25912148813383e-05,1.41613162385923e-05,1.3926412995769e-05,1.24698994893307e-05,9.90873527605888e-06,1.77526583123941e-05,1.02674484580713e-05
2000,2,1.24227446003173e-05,1.41494294655037e-05,1.03126398196298e-05,8.23349552536062e-06,1.43648506757397e-05,1.36792341852152e-05,8.12974528799494e-06,1.0421575351736e-05,7.29375457043121e-06,1.19778434566486e-05,6.72983339897903e-06,1.09507110475788e-05,7.54168706620388e-06,1.39644759750122e-05,1.26701314057802e-05,8.4888040379513e-06,1.6191516095198e-05,6.51582503952231e-06,1.13599353622146e-05,9.3059942533568e-06,6.55204364309516e-06,9.00950828166841e-06,9.4227914571023e-06,9.64546699223491e-06,8.06119831324477e-06,1.27547366490305e-05,1.14439872674205e-05,2.8780340111608e-06,1.20257490185904e-05,6.34720436903408e-06,9.50074042684273e-06,3.12877212019633e-06,6.21653116157886e-06,1.31791426488601e-05,1.15298439594951e-05,9.49266466420861e-06,1.22802960603189e-05,9.78017317108764e-06,7.49249135636864e-06,9.11816286439496e-06,8.01610349393008e-06,1.37049769583335e-05,1.80107145515366e-05,8.62868232582882e-06,1.01076249289801e-05,9.29377806092748e-06,6.93776787383265e-06,1.2193436963187e-05,9.13442836200812e-06,8.11927728863419e-06,8.15987315132907e-06,9.33246609828251e-06,1.03675899095582e-05,1.39754434229676e-05,7.14852480616866e-06,7.85524618625891e-06,8.86252699765522e-06,9.03084298064628e-06,1.0814630350231e-05,8.9089902975434e-06,1.33286005384905e-05,8.81042018126775e-06
2000,3,1.28502046872637e-05,1.02205411888024e-05,9.81627111987391e-06,8.30312421609446e-06,9.0181552125482e-06,1.37805002839008e-05,2.4724878495051e-05,9.42674873688798e-06,8.9560312922375e-06,8.5373805386922e-06,5.48153673777878e-06,1.03885196352312e-05,8.9212014097099e-06,1.26610467850029e-05,1.01088202315808e-05,1.23839771074228e-05,8.0899566234569e-06,7.08751443089612e-06,4.59298454706515e-06,6.88725551455519e-06,1.12408283567185e-05,1.1131339317256e-05,1.08258817367518e-05,1.57414048894285e-05,8.05008581963154e-06,1.76300680389347e-05,6.77804769630395e-06,9.12424030090599e-06,8.2651237247227e-06,7.42303592117156e-06,1.11844889968718e-05,1.37341255231906e-05,9.99459407509506e-06,1.26429088939243e-05,6.647475169384e-06,1.61217753814382e-05,1.87439949130308e-05,9.68476464678858e-06,5.68439710473581e-06,1.32106206366017e-05,8.29300442941709e-06,1.17189110449715e-05,9.06697499231726e-06,1.2520397302229e-05,1.02057599917906e-05,1.24406321571965e-05,8.97120631310936e-06,1.87423203226319e-05,9.79678533395502e-06,1.06875534992109e-05,8.86381659632702e-06,1.03433268330102e-05,9.31278794384275e-06,9.08769002203991e-06,1.1114463654315e-05,8.06913511890862e-06,1.05301989898123e-05,1.02163659038878e-05,1.19570650299462e-05,9.57240426322072e-06,1.10402110123447e-05,8.41315366677267e-06
2000,4,1.33805302228731e-05,1.71897943878539e-05,8.75818845669777e-06,7.02832831979524e-06,9.99524656151329e-06,2.98733397669587e-06,4.21689484676277e-06,1.02069846002831e-05,8.76373278526259e-06,7.92922492514517e-06,4.98442358096109e-06,1.00229928361166e-05,8.56737475699226e-06,6.90592708716664e-06,9.69808906168526e-06,8.94344572033581e-06,8.18360961685318e-06,7.2189268947637e-06,3.66797509909156e-06,9.47041244663048e-06,6.95178928256682e-06,1.03838443359852e-05,6.87107149015625e-06,8.46619092766635e-06,9.26958745371129e-06,2.12391469490165e-05,1.33471660186607e-05,2.49860248817378e-06,1.19308391289991e-05,4.28823188306404e-06,8.85877280638777e-06,9.76782576895946e-06,8.0029748690992e-06,8.65168228933823e-06,1.20178525907835e-05,8.66479326598986e-06,1.98081916815167e-06,5.73314365233892e-06,8.95860143773038e-06,1.1340170624241e-05,8.40650490775814e-06,9.37457336657719e-06,8.5003765700691e-06,6.75508893317497e-06,1.16601009622095e-05,7.35085675707048e-06,8.96989647697152e-06,8.25793156289612e-06,8.24987426052492e-06,5.4854959760129e-06,7.78704169240435e-06,8.96787818151377e-06,9.60875126670947e-06,5.10106601621454e-06,5.60518206533965e-06,7.9268036320947e-06,7.48621875123649e-06,8.36012756085418e-06,1.12898450245306e-05,8.55082963337494e-06,1.26892121602389e-05,8.11101765567443e-06
2000,5,1.17590107958406e-05,1.49664695263392e-05,1.58040463536382e-05,7.38727745949374e-06,1.40015064276633e-05,1.73320141271983e-05,2.26902372930841e-05,1.25589472207311e-05,1.04408496579253e-05,8.1922155413731e-06,8.5908882913738e-06,7.75993636428125e-06,9.32479458181629e-06,8.45191184974547e-06,7.77320573816757e-06,9.80558281342567e-06,1.34184619371495e-05,9.70050593896988e-06,9.33481101711769e-06,9.47302478258997e-06,8.27209790977904e-06,1.10150132267172e-05,1.29961256773675e-05,1.69357651446003e-05,8.27911096087716e-06,2.1272233347692e-05,1.24609116682107e-05,1.10026127179117e-05,2.06254278607107e-05,6.88953952633251e-06,1.23786508973599e-05,8.08473960132497e-06,6.87306810610999e-06,1.41071712762207e-05,1.69873015735585e-05,1.20475721161691e-05,1.45271117823521e-05,1.48383001036196e-05,2.1270032522015e-05,1.2838637642481e-05,1.08146907226106e-05,2.17618594262224e-05,1.533453649928e-05,1.02022067294234e-05,8.23105709134579e-06,1.36989942225736e-05,1.01096255002424e-05,1.77526939079806e-05,1.07036400910043e-05,1.03776156407895e-05,8.98040117340633e-06,1.16271193373736e-05,1.0965364532695e-05,1.31658661824221e-05,9.7196009783456e-06,8.37857660631575e-06,1.0398827169493e-05,1.20005470613213e-05,1.09488379203271e-05,1.15108145083519e-05,1.64393870269858e-05,8.4072373066182e-06
2000,6,1.58158994227473e-05,1.69013264162019e-05,8.66700527073431e-06,6.41317176813095e-06,8.21848132169079e-06,9.9825215092356e-06,7.03958698650917e-06,1.17136440276907e-05,1.03696618924851e-05,1.14838544154363e-05,5.8709002591647e-06,9.32537968842084e-06,8.54561934472314e-06,6.90559407245956e-06,1.23238997935416e-05,5.22599256332503e-06,1.76785244677169e-05,7.12752246454022e-06,2.60642400291682e-06,6.55562949831612e-06,5.32714767487576e-06,9.06926228848136e-06,1.18742230057602e-05,1.03624211505037e-05,1.51275976277474e-05,9.8503915607824e-06,2.8645397840611e-06,4.34600752408322e-06,1.58478003361887e-05,5.49524321115529e-06,1.04744013978425e-05,8.20671991613406e-06,7.55360026101853e-06,6.63292943258236e-06,1.34210495698083e-05,7.59537799420804e-06,6.6984297481189e-06,6.14078279509445e-06,1.1212297587648e-05,1.56525402213572e-05,8.34053008155633e-06,1.16504115676273e-05,1.64653354551358e-05,9.25569573733749e-06,1.11157778860555e-05,1.26189502769627e-05,7.52688689320324e-06,9.00055278888434e-06,8.77403399090508e-06,6.43608570753923e-06,7.77614456771488e-06,9.96877881291206e-06,9.29142943441592e-06,7.53232419629772e-06,6.08490573610566e-06,7.12355149896582e-06,9.21646587084707e-06,1.00439187876475e-05,1.37325152376915e-05,7.72464404865295e-06,1.24578686386911e-05,7.68853825243507e-06
2000,7,1.02456401109029e-05,1.45025229337306e-05,1.28553808095806e-05,8.20035511863216e-06,1.12793994438788e-05,6.19162397826479e-06,1.25392941518107e-05,9.14832691377147e-06,8.73640495179355e-06,5.78483209166e-06,5.83739981841035e-06,9.53424821816907e-06,4.09263722172589e-06,1.06776450796935e-05,8.23198779564038e-06,1.15214736671864e-05,1.36181114331911e-05,9.86805304174058e-06,6.88171673146263e-06,8.53211117917756e-06,8.83774099517606e-06,8.896005074366e-06,1.0117625186756e-05,5.85703415926677e-06,8.04768043054204e-06,2.22465000231846e-05,1.39042760769023e-05,2.04960854025227e-06,6.6460597751821e-06,3.7093378890726e-06,1.07895918014634e-05,1.25680400562357e-05,5.58360442235465e-06,1.30196559258234e-05,1.60845721729106e-05,7.96285508519359e-06,4.14448848270528e-06,7.35045933049424e-06,1.04571847496743e-05,7.02703261680286e-06,1.02203468783039e-05,1.09735774488255e-05,6.11508155013382e-06,1.228513403997e-05,1.01682492549705e-05,1.26963081662218e-05,7.68948043208593e-06,2.28496652062778e-05,8.79965597807525e-06,5.69538802468505e-06,7.67026772149049e-06,9.93752648850641e-06,1.02676870320134e-05,7.9415260772542e-06,4.96464485260937e-06,7.11666015999186e-06,8.92231587287189e-06,9.88411204199851e-06,8.43369793772437e-06,1.0958708185271e-05,1.23168937825699e-05,9.24698181051417e-06
2000,8,1.27288042816475e-05,8.72950226889002e-06,1.06169717616631e-05,6.99353697057278e-06,1.04168877244431e-05,6.61076626956786e-06,0,1.1380818457203e-05,8.48645485317995e-06,1.31480761594782e-05,6.20358675380199e-06,1.30303765477044e-05,1.23800500605665e-05,1.12533823605062e-05,1.33606587174704e-05,1.16413904417441e-05,1.41923205965452e-05,8.84514526861937e-06,4.45283500611466e-06,6.94066111550353e-06,6.96725924299102e-06,9.22122841189361e-06,1.21223088758917e-05,1.28781439096005e-05,1.00926084127333e-05,1.88105310431079e-05,9.79916817640393e-06,3.27803436306236e-06,1.27830227865127e-05,5.0342797102837e-06,1.27238115904647e-05,9.89653669899353e-06,1.06421825869907e-05,1.01819750488435e-05,1.00782528062158e-05,8.41722549446666e-06,4.93279994678599e-06,9.49860703631052e-06,9.77597245540794e-06,1.29084156764669e-05,6.93750919746041e-06,1.39035391175924e-05,2.40876464103851e-05,7.15519757527296e-06,1.14791203578411e-05,1.05188027926527e-05,8.40343988248592e-06,6.23879413542681e-06,9.02285788915732e-06,6.53657619311194e-06,9.211494262867e-06,9.80550921955861e-06,9.02161861336146e-06,7.86269129783349e-06,6.10660343065424e-06,8.69098625463377e-06,1.03036962213125e-05,9.91571085556651e-06,1.23124182508221e-05,8.2712703008066e-06,1.16674168290543e-05,7.8421891345625e-06
2000,9,1.1882182338022e-05,1.36162540947816e-05,1.06803235065575e-05,7.45334656009966e-06,9.88368534559423e-06,8.18096208260547e-06,9.06443741415557e-06,1.14927538850746e-05,9.2743894729442e-06,1.68521720372708e-05,6.43175676945193e-06,9.15535303774249e-06,5.19085736289977e-06,9.56914863512036e-06,1.20092776611706e-05,7.26011379459677e-06,1.13273373874671e-05,1.54338045993794e-05,4.13822325742895e-06,1.06781040433784e-05,8.00427957566474e-06,9.02244872752146e-06,1.21576052591162e-05,7.97290007793329e-06,1.28734121962758e-05,2.21286842464159e-05,4.49678254308917e-06,9.24794696986963e-06,1.39004181243153e-05,4.8715767470347e-06,1.30931200628187e-05,7.63244057783121e-06,6.41916624441138e-06,1.41147667512943e-05,1.38464047993826e-05,9.45206168694586e-06,1.57659040328646e-05,1.53153772954356e-05,8.04577019928714e-06,8.38176350694116e-06,9.01548044005557e-06,1.11705303838733e-05,1.14270812460786e-05,1.14735537099695e-05,1.01855668824061e-05,9.71944544253591e-06,1.14674576909867e-05,9.31472618351614e-06,9.63950716652282e-06,7.2964113205544e-06,8.73754365315743e-06,1.0753636331096e-05,9.94819244207366e-06,7.43097785040364e-06,7.24904515794279e-06,8.34289144899923e-06,9.56810588928344e-06,1.1805561782947e-05,1.02507670977442e-05,9.48947772980035e-06,1.31550683625461e-05,8.43233665916362e-06
2000,10,1.11181663370336e-05,1.63879506264266e-05,1.14985955332884e-05,9.44451622763544e-06,1.64666745542038e-05,6.59480382217243e-06,1.14449504357347e-05,1.6791800276266e-05,1.20574141975809e-05,1.93931185056833e-05,1.03057099855366e-05,8.20766576283851e-06,1.02421692641377e-05,1.42927094787764e-05,1.97578624561345e-05,1.10915195717242e-05,1.52693035165598e-05,6.85903562623837e-06,4.18166405916332e-05,1.14544659743078e-05,8.26966903636465e-06,9.36213547501545e-06,1.29639045659394e-05,4.31524288056846e-05,1.15531385934112e-05,2.6006307891899e-05,7.25875526501716e-06,1.70805922837713e-05,1.56489882439035e-05,6.54909405563292e-06,9.51233256723804e-06,0,1.00320824235892e-05,1.50534179219625e-05,9.09698435332687e-06,1.91455704485538e-05,0,2.07079312784936e-05,6.6151216388567e-06,2.68830447876786e-05,9.30107956902195e-06,4.00979816458172e-05,2.05046438917486e-06,2.35219760629401e-05,1.5133112732821e-05,1.79854024939389e-05,8.78716616731556e-06,Inf,1.21468980689539e-05,1.16347208095571e-05,1.00871013672149e-05,1.28821493617723e-05,1.35003002995911e-05,9.99159024095124e-06,1.22693220985059e-05,9.89299004188132e-06,1.05196791076471e-05,1.38593297956435e-05,1.54789870678087e-05,1.04219645706984e-05,2.07306870704315e-05,1.01816795266572e-05
