Year,Month,State,Accidents
1999,1,Alabama,5
1999,2,Alabama,1
1999,3,Alabama,2
1999,4,Alabama,4
1999,5,Alabama,2
1999,6,Alabama,6
1999,7,Alabama,5
1999,8,Alabama,6
1999,9,Alabama,4
1999,10,Alabama,2
1999,11,Alabama,6
1999,12,Alabama,8
2000,1,Alabama,1
2000,2,Alabama,2
2000,3,Alabama,3
2000,4,Alabama,2
2000,5,Alabama,2
2000,6,Alabama,2
2000,7,Alabama,3
2000,8,Alabama,6
2000,9,Alabama,5
2000,10,Alabama,1
2000,11,Alabama,5
2000,12,Alabama,2
2001,1,Alabama,4
2001,2,Alabama,2
2001,3,Alabama,4
2001,4,Alabama,3
2001,5,Alabama,3
2001,6,Alabama,3
2001,7,Alabama,1
2001,8,Alabama,4
2001,9,Alabama,2
2001,10,Alabama,4
2001,11,Alabama,5
2001,12,Alabama,6
2002,1,Alabama,3
2002,2,Alabama,2
2002,3,Alabama,2
2002,4,Alabama,3
2002,5,Alabama,1
2002,6,Alabama,3
2002,7,Alabama,6
2002,8,Alabama,2
2002,9,Alabama,9
2002,10,Alabama,5
2002,11,Alabama,4
2002,12,Alabama,5
2003,1,Alabama,7
2003,2,Alabama,2
2003,3,Alabama,2
2003,4,Alabama,1
2003,5,Alabama,5
2003,6,Alabama,3
2003,7,Alabama,0
2003,8,Alabama,3
2003,9,Alabama,3
2003,10,Alabama,3
2003,11,Alabama,5
2003,12,Alabama,4
2004,1,Alabama,3
2004,2,Alabama,1
2004,3,Alabama,2
2004,4,Alabama,2
2004,5,Alabama,3
2004,6,Alabama,2
2004,7,Alabama,1
2004,8,Alabama,6
2004,9,Alabama,4
2004,10,Alabama,2
2004,11,Alabama,1
2004,12,Alabama,4
2005,1,Alabama,2
2005,2,Alabama,2
2005,3,Alabama,2
2005,4,Alabama,1
2005,5,Alabama,3
2005,6,Alabama,2
2005,7,Alabama,0
2005,8,Alabama,6
2005,9,Alabama,6
2005,10,Alabama,4
2005,11,Alabama,5
2005,12,Alabama,4
2006,1,Alabama,3
2006,2,Alabama,3
2006,3,Alabama,6
2006,4,Alabama,0
2006,5,Alabama,5
2006,6,Alabama,3
2006,7,Alabama,5
2006,8,Alabama,3
2006,9,Alabama,3
2006,10,Alabama,3
2006,11,Alabama,2
2006,12,Alabama,1
2007,1,Alabama,0
2007,2,Alabama,1
2007,3,Alabama,1
2007,4,Alabama,1
2007,5,Alabama,3
2007,6,Alabama,2
2007,7,Alabama,5
2007,8,Alabama,4
2007,9,Alabama,3
2007,10,Alabama,0
2007,11,Alabama,4
2007,12,Alabama,0
2008,1,Alabama,2
2008,2,Alabama,3
2008,3,Alabama,2
2008,4,Alabama,2
2008,5,Alabama,1
2008,6,Alabama,4
2008,7,Alabama,5
2008,8,Alabama,2
2008,9,Alabama,2
2008,10,Alabama,6
2008,11,Alabama,0
2008,12,Alabama,3
2009,1,Alabama,4
2009,2,Alabama,4
2009,3,Alabama,2
2009,4,Alabama,5
2009,5,Alabama,1
2009,6,Alabama,2
2009,7,Alabama,1
2009,8,Alabama,3
2009,9,Alabama,0
2009,10,Alabama,3
2009,11,Alabama,1
2009,12,Alabama,2
2010,1,Alabama,4
2010,2,Alabama,4
2010,3,Alabama,2
2010,4,Alabama,1
2010,5,Alabama,2
2010,6,Alabama,5
2010,7,Alabama,5
2010,8,Alabama,2
2010,9,Alabama,1
2010,10,Alabama,1
2010,11,Alabama,6
2010,12,Alabama,2
2011,1,Alabama,4
2011,2,Alabama,2
2011,3,Alabama,2
2011,4,Alabama,2
2011,5,Alabama,0
2011,6,Alabama,1
2011,7,Alabama,1
2011,8,Alabama,3
2011,9,Alabama,2
2011,10,Alabama,3
2011,11,Alabama,3
2011,12,Alabama,2
2012,1,Alabama,1
2012,2,Alabama,1
2012,3,Alabama,1
2012,4,Alabama,2
2012,5,Alabama,3
2012,6,Alabama,0
2012,7,Alabama,1
2012,8,Alabama,2
2012,9,Alabama,0
2012,10,Alabama,1
2012,11,Alabama,1
2012,12,Alabama,1
2013,1,Alabama,9
2013,2,Alabama,1
2013,3,Alabama,2
2013,4,Alabama,1
2013,5,Alabama,3
2013,6,Alabama,2
2013,7,Alabama,2
2013,8,Alabama,0
2013,9,Alabama,1
2013,10,Alabama,1
2013,11,Alabama,2
2013,12,Alabama,1
2014,1,Alabama,5
2014,2,Alabama,2
2014,3,Alabama,6
2014,4,Alabama,2
2014,5,Alabama,2
2014,6,Alabama,0
2014,7,Alabama,4
2014,8,Alabama,2
2014,9,Alabama,1
2014,10,Alabama,1
2014,11,Alabama,2
2014,12,Alabama,2
2015,1,Alabama,3
2015,2,Alabama,4
2015,3,Alabama,3
2015,4,Alabama,2
2015,5,Alabama,1
2015,6,Alabama,1
2015,7,Alabama,1
2015,8,Alabama,1
2015,9,Alabama,0
2015,10,Alabama,2
2015,11,Alabama,1
2015,12,Alabama,1
2016,1,Alabama,2
2016,2,Alabama,2
2016,3,Alabama,3
2016,4,Alabama,2
2016,5,Alabama,3
2016,6,Alabama,0
2016,7,Alabama,4
2016,8,Alabama,1
2016,9,Alabama,0
2016,10,Alabama,2
2016,11,Alabama,1
2016,12,Alabama,1
2017,1,Alabama,1
2017,2,Alabama,2
2017,3,Alabama,1
2017,4,Alabama,2
2017,5,Alabama,0
2017,6,Alabama,1
2017,7,Alabama,5
