Year,Month,State,Gun Homicides
1999,1,Alabama,27
1999,2,Alabama,24
1999,3,Alabama,21
1999,4,Alabama,17
1999,5,Alabama,26
1999,6,Alabama,25
1999,7,Alabama,25
1999,8,Alabama,29
1999,9,Alabama,27
1999,10,Alabama,20
1999,11,Alabama,21
1999,12,Alabama,31
2000,1,Alabama,24
2000,2,Alabama,14
2000,3,Alabama,20
2000,4,Alabama,12
2000,5,Alabama,41
2000,6,Alabama,27
2000,7,Alabama,30
2000,8,Alabama,35
2000,9,Alabama,27
2000,10,Alabama,21
2000,11,Alabama,25
2000,12,Alabama,18
2001,1,Alabama,23
2001,2,Alabama,25
2001,3,Alabama,20
2001,4,Alabama,28
2001,5,Alabama,23
2001,6,Alabama,33
2001,7,Alabama,19
2001,8,Alabama,27
2001,9,Alabama,23
2001,10,Alabama,26
2001,11,Alabama,25
2001,12,Alabama,30
2002,1,Alabama,27
2002,2,Alabama,23
2002,3,Alabama,26
2002,4,Alabama,18
2002,5,Alabama,20
2002,6,Alabama,22
2002,7,Alabama,28
2002,8,Alabama,37
2002,9,Alabama,32
2002,10,Alabama,22
2002,11,Alabama,17
2002,12,Alabama,20
2003,1,Alabama,19
2003,2,Alabama,33
2003,3,Alabama,27
2003,4,Alabama,14
2003,5,Alabama,25
2003,6,Alabama,28
2003,7,Alabama,33
2003,8,Alabama,36
2003,9,Alabama,26
2003,10,Alabama,23
2003,11,Alabama,26
2003,12,Alabama,32
2004,1,Alabama,20
2004,2,Alabama,14
2004,3,Alabama,24
2004,4,Alabama,15
2004,5,Alabama,21
2004,6,Alabama,28
2004,7,Alabama,27
2004,8,Alabama,27
2004,9,Alabama,21
2004,10,Alabama,19
2004,11,Alabama,21
2004,12,Alabama,25
2005,1,Alabama,34
2005,2,Alabama,19
2005,3,Alabama,20
2005,4,Alabama,22
2005,5,Alabama,34
2005,6,Alabama,15
2005,7,Alabama,30
2005,8,Alabama,35
2005,9,Alabama,26
2005,10,Alabama,25
2005,11,Alabama,28
2005,12,Alabama,31
2006,1,Alabama,32
2006,2,Alabama,20
2006,3,Alabama,18
2006,4,Alabama,26
2006,5,Alabama,28
2006,6,Alabama,26
2006,7,Alabama,27
2006,8,Alabama,32
2006,9,Alabama,21
2006,10,Alabama,35
2006,11,Alabama,32
2006,12,Alabama,36
2007,1,Alabama,25
2007,2,Alabama,25
2007,3,Alabama,31
2007,4,Alabama,30
2007,5,Alabama,31
2007,6,Alabama,40
2007,7,Alabama,42
2007,8,Alabama,28
2007,9,Alabama,23
2007,10,Alabama,34
2007,11,Alabama,31
2007,12,Alabama,38
2008,1,Alabama,31
2008,2,Alabama,17
2008,3,Alabama,33
2008,4,Alabama,29
2008,5,Alabama,26
2008,6,Alabama,28
2008,7,Alabama,37
2008,8,Alabama,33
2008,9,Alabama,26
2008,10,Alabama,26
2008,11,Alabama,35
2008,12,Alabama,28
2009,1,Alabama,25
2009,2,Alabama,18
2009,3,Alabama,32
2009,4,Alabama,31
2009,5,Alabama,33
2009,6,Alabama,21
2009,7,Alabama,31
2009,8,Alabama,19
2009,9,Alabama,27
2009,10,Alabama,27
2009,11,Alabama,24
2009,12,Alabama,29
2010,1,Alabama,23
2010,2,Alabama,21
2010,3,Alabama,16
2010,4,Alabama,20
2010,5,Alabama,19
2010,6,Alabama,29
2010,7,Alabama,39
2010,8,Alabama,17
2010,9,Alabama,24
2010,10,Alabama,21
2010,11,Alabama,15
2010,12,Alabama,39
2011,1,Alabama,28
2011,2,Alabama,17
2011,3,Alabama,32
2011,4,Alabama,24
2011,5,Alabama,25
2011,6,Alabama,24
2011,7,Alabama,24
2011,8,Alabama,22
2011,9,Alabama,21
2011,10,Alabama,29
2011,11,Alabama,23
2011,12,Alabama,23
2012,1,Alabama,29
2012,2,Alabama,17
2012,3,Alabama,21
2012,4,Alabama,18
2012,5,Alabama,16
2012,6,Alabama,35
2012,7,Alabama,20
2012,8,Alabama,19
2012,9,Alabama,36
2012,10,Alabama,28
2012,11,Alabama,28
2012,12,Alabama,39
2013,1,Alabama,22
2013,2,Alabama,16
2013,3,Alabama,35
2013,4,Alabama,21
2013,5,Alabama,22
2013,6,Alabama,38
2013,7,Alabama,22
2013,8,Alabama,23
2013,9,Alabama,19
2013,10,Alabama,31
2013,11,Alabama,27
2013,12,Alabama,41
2014,1,Alabama,32
2014,2,Alabama,14
2014,3,Alabama,21
2014,4,Alabama,24
2014,5,Alabama,28
2014,6,Alabama,26
2014,7,Alabama,24
2014,8,Alabama,25
2014,9,Alabama,21
2014,10,Alabama,21
2014,11,Alabama,23
2014,12,Alabama,33
2015,1,Alabama,20
2015,2,Alabama,29
2015,3,Alabama,35
2015,4,Alabama,29
2015,5,Alabama,42
2015,6,Alabama,36
2015,7,Alabama,36
2015,8,Alabama,21
2015,9,Alabama,33
2015,10,Alabama,36
2015,11,Alabama,39
2015,12,Alabama,35
2016,1,Alabama,52
2016,2,Alabama,30
2016,3,Alabama,42
2016,4,Alabama,45
2016,5,Alabama,32
2016,6,Alabama,41
2016,7,Alabama,22
2016,8,Alabama,27
2016,9,Alabama,43
2016,10,Alabama,44
2016,11,Alabama,37
2016,12,Alabama,39
2017,1,Alabama,39
2017,2,Alabama,44
2017,3,Alabama,36
2017,4,Alabama,30
2017,5,Alabama,38
2017,6,Alabama,39
2017,7,Alabama,56
2017,8,Alabama,44
2017,9,Alabama,48
2017,10,Alabama,35
2017,11,Alabama,51
2017,12,Alabama,46
2018,1,Alabama,48
2018,2,Alabama,38
2018,3,Alabama,39
2018,4,Alabama,32
2018,5,Alabama,30
2018,6,Alabama,51
2018,7,Alabama,59
2018,8,Alabama,31
2018,9,Alabama,37
2018,10,Alabama,30
2018,11,Alabama,37
2018,12,Alabama,36
2019,1,Alabama,48
2019,2,Alabama,46
2019,3,Alabama,37
2019,4,Alabama,31
2019,5,Alabama,41
2019,6,Alabama,36
2019,7,Alabama,33
2019,8,Alabama,45
2019,9,Alabama,45
2019,10,Alabama,33
2019,11,Alabama,34
2019,12,Alabama,57
2020,1,Alabama,44
2020,2,Alabama,33
2020,3,Alabama,40
2020,4,Alabama,49
2020,5,Alabama,61
2020,6,Alabama,48
2020,7,Alabama,46
2020,8,Alabama,55
2020,9,Alabama,45
2020,10,Alabama,51
2020,11,Alabama,47
2020,12,Alabama,45
1999,1,Alaska,3
1999,2,Alaska,2
1999,3,Alaska,4
1999,4,Alaska,4
1999,5,Alaska,2
1999,6,Alaska,1
1999,7,Alaska,3
1999,8,Alaska,0
1999,9,Alaska,6
1999,10,Alaska,1
1999,11,Alaska,1
1999,12,Alaska,0
2000,1,Alaska,4
2000,2,Alaska,1
2000,3,Alaska,2
2000,4,Alaska,1
2000,5,Alaska,1
2000,6,Alaska,0
2000,7,Alaska,3
2000,8,Alaska,1
2000,9,Alaska,0
2000,10,Alaska,1
2000,11,Alaska,1
2000,12,Alaska,1
2001,1,Alaska,4
2001,2,Alaska,2
2001,3,Alaska,2
2001,4,Alaska,4
2001,5,Alaska,1
2001,6,Alaska,0
2001,7,Alaska,2
2001,8,Alaska,3
2001,9,Alaska,2
2001,10,Alaska,1
2001,11,Alaska,3
2001,12,Alaska,1
2002,1,Alaska,2
2002,2,Alaska,3
2002,3,Alaska,2
2002,4,Alaska,3
2002,5,Alaska,2
2002,6,Alaska,0
2002,7,Alaska,1
2002,8,Alaska,3
2002,9,Alaska,1
2002,10,Alaska,3
2002,11,Alaska,1
2002,12,Alaska,5
2003,1,Alaska,2
2003,2,Alaska,6
2003,3,Alaska,1
2003,4,Alaska,2
2003,5,Alaska,1
2003,6,Alaska,0
2003,7,Alaska,1
2003,8,Alaska,2
2003,9,Alaska,3
2003,10,Alaska,6
2003,11,Alaska,5
2003,12,Alaska,3
2004,1,Alaska,1
2004,2,Alaska,1
2004,3,Alaska,4
2004,4,Alaska,0
2004,5,Alaska,2
2004,6,Alaska,0
2004,7,Alaska,3
2004,8,Alaska,1
2004,9,Alaska,1
2004,10,Alaska,1
2004,11,Alaska,3
2004,12,Alaska,3
2005,1,Alaska,2
2005,2,Alaska,3
2005,3,Alaska,1
2005,4,Alaska,1
2005,5,Alaska,4
2005,6,Alaska,2
2005,7,Alaska,3
2005,8,Alaska,4
2005,9,Alaska,0
2005,10,Alaska,1
2005,11,Alaska,1
2005,12,Alaska,2
2006,1,Alaska,0
2006,2,Alaska,3
2006,3,Alaska,3
2006,4,Alaska,0
2006,5,Alaska,0
2006,6,Alaska,4
2006,7,Alaska,2
2006,8,Alaska,4
2006,9,Alaska,3
2006,10,Alaska,7
2006,11,Alaska,0
2006,12,Alaska,2
2007,1,Alaska,5
2007,2,Alaska,3
2007,3,Alaska,3
2007,4,Alaska,0
2007,5,Alaska,1
2007,6,Alaska,1
2007,7,Alaska,2
2007,8,Alaska,4
2007,9,Alaska,1
2007,10,Alaska,0
2007,11,Alaska,1
2007,12,Alaska,4
2008,1,Alaska,2
2008,2,Alaska,2
2008,3,Alaska,0
2008,4,Alaska,2
2008,5,Alaska,1
2008,6,Alaska,1
2008,7,Alaska,0
2008,8,Alaska,2
2008,9,Alaska,2
2008,10,Alaska,0
2008,11,Alaska,2
2008,12,Alaska,1
2009,1,Alaska,1
2009,2,Alaska,2
2009,3,Alaska,2
2009,4,Alaska,1
2009,5,Alaska,1
2009,6,Alaska,1
2009,7,Alaska,1
2009,8,Alaska,1
2009,9,Alaska,3
2009,10,Alaska,0
2009,11,Alaska,2
2009,12,Alaska,2
2010,1,Alaska,1
2010,2,Alaska,3
2010,3,Alaska,5
2010,4,Alaska,3
2010,5,Alaska,2
2010,6,Alaska,1
2010,7,Alaska,2
2010,8,Alaska,3
2010,9,Alaska,2
2010,10,Alaska,3
2010,11,Alaska,3
2010,12,Alaska,2
2011,1,Alaska,1
2011,2,Alaska,1
2011,3,Alaska,2
2011,4,Alaska,2
2011,5,Alaska,1
2011,6,Alaska,0
2011,7,Alaska,2
2011,8,Alaska,1
2011,9,Alaska,0
2011,10,Alaska,4
2011,11,Alaska,3
2011,12,Alaska,2
2012,1,Alaska,0
2012,2,Alaska,0
2012,3,Alaska,2
2012,4,Alaska,4
2012,5,Alaska,1
2012,6,Alaska,3
2012,7,Alaska,3
2012,8,Alaska,0
2012,9,Alaska,2
2012,10,Alaska,2
2012,11,Alaska,0
2012,12,Alaska,0
2013,1,Alaska,0
2013,2,Alaska,3
2013,3,Alaska,2
2013,4,Alaska,1
2013,5,Alaska,1
2013,6,Alaska,1
2013,7,Alaska,1
2013,8,Alaska,0
2013,9,Alaska,2
2013,10,Alaska,4
2013,11,Alaska,1
2013,12,Alaska,3
2014,1,Alaska,1
2014,2,Alaska,2
