Year,Month,State,Gun Suicides
1999,1,Alabama,31
1999,2,Alabama,38
1999,3,Alabama,28
1999,4,Alabama,44
1999,5,Alabama,43
1999,6,Alabama,36
1999,7,Alabama,27
1999,8,Alabama,44
1999,9,Alabama,37
1999,10,Alabama,37
1999,11,Alabama,31
1999,12,Alabama,39
2000,1,Alabama,42
2000,2,Alabama,36
2000,3,Alabama,39
2000,4,Alabama,42
2000,5,Alabama,32
2000,6,Alabama,45
2000,7,Alabama,31
2000,8,Alabama,37
2000,9,Alabama,33
2000,10,Alabama,33
2000,11,Alabama,26
2000,12,Alabama,31
2001,1,Alabama,32
2001,2,Alabama,30
2001,3,Alabama,37
2001,4,Alabama,25
2001,5,Alabama,34
2001,6,Alabama,27
2001,7,Alabama,33
2001,8,Alabama,36
2001,9,Alabama,30
2001,10,Alabama,40
2001,11,Alabama,33
2001,12,Alabama,30
2002,1,Alabama,25
2002,2,Alabama,37
2002,3,Alabama,29
2002,4,Alabama,30
2002,5,Alabama,34
2002,6,Alabama,35
2002,7,Alabama,34
2002,8,Alabama,36
2002,9,Alabama,37
2002,10,Alabama,28
2002,11,Alabama,24
2002,12,Alabama,32
2003,1,Alabama,42
2003,2,Alabama,22
2003,3,Alabama,32
2003,4,Alabama,30
2003,5,Alabama,30
2003,6,Alabama,30
2003,7,Alabama,40
2003,8,Alabama,36
2003,9,Alabama,28
2003,10,Alabama,39
2003,11,Alabama,30
2003,12,Alabama,40
2004,1,Alabama,36
2004,2,Alabama,36
2004,3,Alabama,27
2004,4,Alabama,20
2004,5,Alabama,26
2004,6,Alabama,38
2004,7,Alabama,32
2004,8,Alabama,32
2004,9,Alabama,33
2004,10,Alabama,23
2004,11,Alabama,37
2004,12,Alabama,35
2005,1,Alabama,43
2005,2,Alabama,21
2005,3,Alabama,27
2005,4,Alabama,30
2005,5,Alabama,36
2005,6,Alabama,18
2005,7,Alabama,34
2005,8,Alabama,31
2005,9,Alabama,23
2005,10,Alabama,43
2005,11,Alabama,33
2005,12,Alabama,30
2006,1,Alabama,23
2006,2,Alabama,37
2006,3,Alabama,38
2006,4,Alabama,41
2006,5,Alabama,36
2006,6,Alabama,37
2006,7,Alabama,31
2006,8,Alabama,24
2006,9,Alabama,36
2006,10,Alabama,39
2006,11,Alabama,25
2006,12,Alabama,33
2007,1,Alabama,34
2007,2,Alabama,27
2007,3,Alabama,22
2007,4,Alabama,26
2007,5,Alabama,34
2007,6,Alabama,32
2007,7,Alabama,40
2007,8,Alabama,42
2007,9,Alabama,38
2007,10,Alabama,33
2007,11,Alabama,38
2007,12,Alabama,30
2008,1,Alabama,44
2008,2,Alabama,36
2008,3,Alabama,37
2008,4,Alabama,35
2008,5,Alabama,33
2008,6,Alabama,38
2008,7,Alabama,48
2008,8,Alabama,32
2008,9,Alabama,33
2008,10,Alabama,33
2008,11,Alabama,33
2008,12,Alabama,22
2009,1,Alabama,55
2009,2,Alabama,34
2009,3,Alabama,42
2009,4,Alabama,34
2009,5,Alabama,35
2009,6,Alabama,46
2009,7,Alabama,42
2009,8,Alabama,41
2009,9,Alabama,27
2009,10,Alabama,53
2009,11,Alabama,38
2009,12,Alabama,32
2010,1,Alabama,41
2010,2,Alabama,46
2010,3,Alabama,47
2010,4,Alabama,29
2010,5,Alabama,41
2010,6,Alabama,39
2010,7,Alabama,36
2010,8,Alabama,33
2010,9,Alabama,31
2010,10,Alabama,41
2010,11,Alabama,38
2010,12,Alabama,32
2011,1,Alabama,41
2011,2,Alabama,31
2011,3,Alabama,40
2011,4,Alabama,41
2011,5,Alabama,50
2011,6,Alabama,38
2011,7,Alabama,42
2011,8,Alabama,43
2011,9,Alabama,29
2011,10,Alabama,24
2011,11,Alabama,40
2011,12,Alabama,33
2012,1,Alabama,31
2012,2,Alabama,32
2012,3,Alabama,47
2012,4,Alabama,43
2012,5,Alabama,42
2012,6,Alabama,41
2012,7,Alabama,45
2012,8,Alabama,48
2012,9,Alabama,49
2012,10,Alabama,48
2012,11,Alabama,47
2012,12,Alabama,27
2013,1,Alabama,35
2013,2,Alabama,40
2013,3,Alabama,41
2013,4,Alabama,37
2013,5,Alabama,42
2013,6,Alabama,40
2013,7,Alabama,40
2013,8,Alabama,40
2013,9,Alabama,54
2013,10,Alabama,47
2013,11,Alabama,45
2013,12,Alabama,43
2014,1,Alabama,39
2014,2,Alabama,38
2014,3,Alabama,45
2014,4,Alabama,42
2014,5,Alabama,28
2014,6,Alabama,40
2014,7,Alabama,33
2014,8,Alabama,37
2014,9,Alabama,49
2014,10,Alabama,48
2014,11,Alabama,42
2014,12,Alabama,38
2015,1,Alabama,54
2015,2,Alabama,38
2015,3,Alabama,54
2015,4,Alabama,34
2015,5,Alabama,31
2015,6,Alabama,42
2015,7,Alabama,54
2015,8,Alabama,53
2015,9,Alabama,46
2015,10,Alabama,44
2015,11,Alabama,41
2015,12,Alabama,37
2016,1,Alabama,42
2016,2,Alabama,48
2016,3,Alabama,56
2016,4,Alabama,44
2016,5,Alabama,48
2016,6,Alabama,44
2016,7,Alabama,45
2016,8,Alabama,49
2016,9,Alabama,45
2016,10,Alabama,44
2016,11,Alabama,45
2016,12,Alabama,40
2017,1,Alabama,54
2017,2,Alabama,39
2017,3,Alabama,59
2017,4,Alabama,54
2017,5,Alabama,51
2017,6,Alabama,56
2017,7,Alabama,43
2017,8,Alabama,48
2017,9,Alabama,47
2017,10,Alabama,41
2017,11,Alabama,48
2017,12,Alabama,33
2018,1,Alabama,49
2018,2,Alabama,43
2018,3,Alabama,62
2018,4,Alabama,28
2018,5,Alabama,49
2018,6,Alabama,48
2018,7,Alabama,55
2018,8,Alabama,54
2018,9,Alabama,32
2018,10,Alabama,37
2018,11,Alabama,46
2018,12,Alabama,49
2019,1,Alabama,43
2019,2,Alabama,55
2019,3,Alabama,53
2019,4,Alabama,42
